Date	Price	Open	High	Low	Change %
Sep 02, 2013	13.192	13.234	13.238	13.184	-0.23%
Sep 03, 2013	13.170	13.191	13.198	13.138	-0.17%
Sep 04, 2013	13.209	13.171	13.220	13.156	0.30%
Sep 05, 2013	13.120	13.207	13.223	13.110	-0.67%
Sep 06, 2013	13.180	13.119	13.189	13.104	0.46%
Sep 09, 2013	13.255	13.169	13.281	13.159	0.57%
Sep 10, 2013	13.268	13.255	13.276	13.230	0.10%
Sep 11, 2013	13.312	13.270	13.327	13.245	0.33%
Sep 12, 2013	13.299	13.310	13.326	13.261	-0.10%
Sep 13, 2013	13.294	13.299	13.323	13.255	-0.04%
Sep 16, 2013	13.334	13.306	13.386	13.296	0.30%
Sep 17, 2013	13.359	13.334	13.371	13.326	0.19%
Sep 18, 2013	13.522	13.359	13.542	13.338	1.22%
Sep 19, 2013	13.530	13.521	13.569	13.500	0.06%
Sep 20, 2013	13.524	13.531	13.550	13.498	-0.04%
Sep 23, 2013	13.493	13.546	13.556	13.479	-0.23%
Sep 24, 2013	13.474	13.493	13.519	13.464	-0.14%
Sep 25, 2013	13.526	13.473	13.538	13.461	0.39%
Sep 26, 2013	13.489	13.526	13.529	13.471	-0.27%
Sep 27, 2013	13.522	13.487	13.565	13.473	0.24%
Sep 30, 2013	13.526	13.480	13.557	13.468	0.03%
Oct 01, 2013	13.526	13.528	13.590	13.517	0.00%
Oct 02, 2013	13.579	13.527	13.609	13.509	0.39%
Oct 03, 2013	13.618	13.577	13.646	13.576	0.29%
Oct 04, 2013	13.558	13.618	13.632	13.538	-0.44%
Oct 07, 2013	13.582	13.556	13.592	13.542	0.18%
Oct 08, 2013	13.573	13.583	13.609	13.558	-0.07%
Oct 09, 2013	13.524	13.573	13.605	13.486	-0.36%
Oct 10, 2013	13.520	13.524	13.546	13.488	-0.03%
Oct 11, 2013	13.542	13.519	13.582	13.517	0.16%
Oct 14, 2013	13.561	13.544	13.598	13.542	0.14%
Oct 15, 2013	13.523	13.561	13.571	13.479	-0.28%
Oct 16, 2013	13.535	13.523	13.567	13.472	0.09%
Oct 17, 2013	13.676	13.535	13.681	13.514	1.04%
Oct 18, 2013	13.685	13.674	13.704	13.659	0.07%
Oct 21, 2013	13.683	13.687	13.691	13.651	-0.01%
Oct 22, 2013	13.781	13.683	13.794	13.662	0.72%
Oct 23, 2013	13.777	13.784	13.794	13.741	-0.03%
Oct 24, 2013	13.800	13.776	13.826	13.764	0.17%
Oct 25, 2013	13.805	13.801	13.833	13.774	0.04%
Oct 28, 2013	13.784	13.803	13.817	13.775	-0.15%
Oct 29, 2013	13.746	13.784	13.813	13.735	-0.28%
Oct 30, 2013	13.736	13.745	13.785	13.696	-0.07%
Oct 31, 2013	13.584	13.737	13.740	13.577	-1.11%
Nov 01, 2013	13.487	13.584	13.592	13.481	-0.71%
Nov 04, 2013	13.516	13.489	13.527	13.443	0.22%
Nov 05, 2013	13.474	13.514	13.523	13.449	-0.31%
Nov 06, 2013	13.512	13.476	13.550	13.468	0.28%
Nov 07, 2013	13.420	13.514	13.529	13.296	-0.68%
Nov 08, 2013	13.371	13.420	13.439	13.317	-0.37%
Nov 11, 2013	13.407	13.361	13.417	13.344	0.27%
Nov 12, 2013	13.436	13.407	13.457	13.359	0.22%
Nov 13, 2013	13.487	13.436	13.497	13.392	0.38%
Nov 14, 2013	13.459	13.489	13.499	13.419	-0.21%
Nov 15, 2013	13.495	13.458	13.506	13.432	0.27%
Nov 18, 2013	13.505	13.502	13.543	13.475	0.07%
Nov 19, 2013	13.539	13.505	13.549	13.488	0.25%
Nov 20, 2013	13.439	13.539	13.579	13.417	-0.74%
Nov 21, 2013	13.482	13.440	13.487	13.399	0.32%
Nov 22, 2013	13.558	13.482	13.558	13.462	0.56%
Nov 25, 2013	13.516	13.550	13.561	13.491	-0.31%
Nov 26, 2013	13.572	13.517	13.575	13.514	0.41%
Nov 27, 2013	13.579	13.571	13.613	13.557	0.05%
Nov 28, 2013	13.605	13.580	13.619	13.563	0.19%
Nov 29, 2013	13.590	13.605	13.622	13.579	-0.11%
Dec 02, 2013	13.542	13.590	13.617	13.525	-0.35%
Dec 03, 2013	13.590	13.540	13.613	13.523	0.35%
Dec 04, 2013	13.594	13.589	13.605	13.528	0.03%
Dec 05, 2013	13.668	13.594	13.678	13.542	0.54%
Dec 06, 2013	13.706	13.668	13.708	13.630	0.28%
Dec 09, 2013	13.739	13.720	13.747	13.694	0.24%
Dec 10, 2013	13.761	13.738	13.797	13.733	0.16%
Dec 11, 2013	13.786	13.760	13.811	13.739	0.18%
Dec 12, 2013	13.755	13.787	13.804	13.736	-0.22%
Dec 13, 2013	13.743	13.755	13.771	13.710	-0.09%
Dec 16, 2013	13.761	13.740	13.799	13.724	0.13%
Dec 17, 2013	13.768	13.762	13.784	13.724	0.05%
Dec 18, 2013	13.685	13.770	13.813	13.675	-0.60%
Dec 19, 2013	13.663	13.685	13.695	13.649	-0.16%
Dec 20, 2013	13.672	13.662	13.710	13.624	0.07%
Dec 23, 2013	13.696	13.670	13.717	13.666	0.18%
Dec 24, 2013	13.684	13.697	13.704	13.655	-0.09%
Dec 25, 2013	13.680	13.684	13.710	13.661	-0.03%
Dec 26, 2013	13.691	13.679	13.702	13.662	0.08%
Dec 27, 2013	13.742	13.692	13.893	13.686	0.37%
Dec 30, 2013	13.805	13.744	13.821	13.729	0.46%
Dec 31, 2013	13.746	13.803	13.813	13.742	-0.43%
Jan 01, 2014	13.754	13.742	13.769	13.742	0.06%
Jan 02, 2014	13.672	13.756	13.777	13.630	-0.60%
Jan 03, 2014	13.588	13.672	13.674	13.582	-0.61%
Jan 06, 2014	13.628	13.589	13.653	13.571	0.29%
Jan 07, 2014	13.616	13.627	13.657	13.596	-0.09%
Jan 08, 2014	13.575	13.617	13.636	13.554	-0.30%
Jan 09, 2014	13.609	13.577	13.636	13.550	0.25%
Jan 10, 2014	13.670	13.609	13.689	13.577	0.45%
Jan 13, 2014	13.672	13.669	13.685	13.637	0.01%
Jan 14, 2014	13.679	13.670	13.699	13.648	0.05%
Jan 15, 2014	13.605	13.680	13.684	13.582	-0.54%
Jan 16, 2014	13.620	13.604	13.650	13.582	0.11%
Jan 17, 2014	13.541	13.620	13.623	13.517	-0.58%
Jan 20, 2014	13.552	13.543	13.570	13.508	0.08%
Jan 21, 2014	13.561	13.552	13.571	13.518	0.07%
Jan 22, 2014	13.548	13.559	13.584	13.535	-0.10%
Jan 23, 2014	13.695	13.547	13.699	13.530	1.09%
Jan 24, 2014	13.678	13.697	13.741	13.665	-0.12%
Jan 27, 2014	13.672	13.677	13.718	13.654	-0.04%
Jan 28, 2014	13.669	13.673	13.689	13.629	-0.02%
Jan 29, 2014	13.663	13.668	13.685	13.603	-0.04%
Jan 30, 2014	13.556	13.662	13.666	13.543	-0.78%
Jan 31, 2014	13.487	13.557	13.570	13.480	-0.51%
Feb 03, 2014	13.525	13.493	13.536	13.476	0.28%
Feb 04, 2014	13.519	13.525	13.539	13.494	-0.04%
Feb 05, 2014	13.533	13.519	13.555	13.498	0.10%
Feb 06, 2014	13.590	13.533	13.621	13.485	0.42%
Feb 07, 2014	13.635	13.590	13.642	13.553	0.33%
Feb 10, 2014	13.647	13.634	13.653	13.609	0.09%
Feb 11, 2014	13.639	13.648	13.686	13.631	-0.06%
Feb 12, 2014	13.594	13.639	13.655	13.563	-0.33%
Feb 13, 2014	13.681	13.594	13.694	13.586	0.64%
Feb 14, 2014	13.693	13.681	13.718	13.674	0.09%
Feb 17, 2014	13.708	13.688	13.725	13.687	0.11%
Feb 18, 2014	13.758	13.706	13.770	13.694	0.36%
Feb 19, 2014	13.733	13.757	13.774	13.724	-0.18%
Feb 20, 2014	13.718	13.733	13.763	13.685	-0.11%
Feb 21, 2014	13.740	13.720	13.760	13.704	0.16%
Feb 24, 2014	13.735	13.735	13.770	13.708	-0.04%
Feb 25, 2014	13.746	13.735	13.767	13.714	0.08%
Feb 26, 2014	13.688	13.744	13.758	13.661	-0.42%
Feb 27, 2014	13.709	13.687	13.727	13.642	0.15%
Feb 28, 2014	13.803	13.708	13.824	13.693	0.69%
Mar 03, 2014	13.735	13.786	13.793	13.725	-0.49%
Mar 04, 2014	13.744	13.735	13.782	13.720	0.07%
Mar 05, 2014	13.733	13.742	13.746	13.706	-0.08%
Mar 06, 2014	13.861	13.734	13.874	13.723	0.93%
Mar 07, 2014	13.878	13.860	13.917	13.854	0.12%
Mar 10, 2014	13.877	13.875	13.898	13.861	-0.01%
Mar 11, 2014	13.859	13.874	13.880	13.832	-0.13%
Mar 12, 2014	13.904	13.859	13.914	13.841	0.32%
Mar 13, 2014	13.869	13.903	13.968	13.844	-0.25%
Mar 14, 2014	13.914	13.866	13.937	13.847	0.32%
Mar 17, 2014	13.922	13.911	13.949	13.879	0.06%
Mar 18, 2014	13.934	13.921	13.942	13.880	0.09%
Mar 19, 2014	13.833	13.933	13.935	13.809	-0.72%
Mar 20, 2014	13.779	13.832	13.845	13.749	-0.39%
Mar 21, 2014	13.794	13.779	13.813	13.767	0.11%
Mar 24, 2014	13.839	13.792	13.876	13.760	0.33%
