"","FTSE China A50 (FTXIN9)_history.csv Date","FTSE China A50 (FTXIN9)_history.csv Price","FTSE China A50 (FTXIN9)_history.csv Open","FTSE China A50 (FTXIN9)_history.csv High","FTSE China A50 (FTXIN9)_history.csv Low","FTSE China A50 (FTXIN9)_history.csv Volume"
"1313",2015-09-21,9641.13,9570.67,9662.46,9476.88,
"1314",2015-09-22,9744.12,9641.13,9837.22,9620.61,
"1315",2015-09-23,9486.77,9744.12,9744.12,9471.78,
"1316",2015-09-24,9523.04,9486.77,9573.04,9450.36,
"1317",2015-09-25,9477.7,9523.04,9529.9,9350.94,
"1318",2015-09-28,9427.7,9477.7,9478.27,9328.96,
"1319",2015-09-29,9242.57,9427.7,9427.7,9182.81,
"1320",2015-09-30,9329.07,9242.57,9392.45,9242.57,
"1321",2015-10-08,9528.89,9329.07,9703.09,9329.07,
"1322",2015-10-09,9646.1,9528.89,9674.03,9528.73,
"1323",2015-10-12,9945.4,9646.1,10042.12,9645.73,
"1324",2015-10-13,9878.54,9945.4,9945.4,9829.18,
"1325",2015-10-14,9796.55,9878.54,9926.87,9791.55,
"1326",2015-10-15,9978.19,9796.55,9978.29,9792.48,
"1327",2015-10-16,10072.61,9978.19,10102.59,9978.19,
"1328",2015-10-19,10051.55,10072.61,10173.48,9986.34,
"1329",2015-10-20,10146.74,10051.55,10149.35,9970.45,
"1330",2015-10-21,10129.91,10146.74,10300.34,9874.31,
"1331",2015-10-22,10107.49,10129.91,10131.15,9965.4,
"1332",2015-10-23,10174.34,10107.49,10202.83,10069.48,
"1333",2015-10-26,10197.27,10174.34,10333.67,10155.4,
"1334",2015-10-27,10188.24,10197.27,10206.27,9979.94,
"1335",2015-10-28,10026.32,10188.24,10188.24,10015.44,
"1336",2015-10-29,10020.88,10026.32,10087.13,9986.53,
"1337",2015-10-30,10048.23,10020.88,10145.48,9975.72,
"1338",2015-11-02,9924.42,10048.23,10053.22,9922.94,
"1339",2015-11-03,9881.06,9924.42,9984.93,9855.4,
"1340",2015-11-04,10326.31,9881.06,10339.69,9881.06,
"1341",2015-11-05,10637.29,10326.31,10910.29,10291.21,
"1342",2015-11-06,10850.5,10637.29,10882.03,10554.35,
"1343",2015-11-09,11024.94,10850.5,11281.93,10849.89,
"1344",2015-11-10,10968.44,11024.94,11127.38,10867.55,
"1345",2015-11-11,10886.92,10968.44,10968.44,10750.86,
"1346",2015-11-12,10745.12,10886.92,10912.29,10699.38,
"1347",2015-11-13,10614.73,10745.12,10762.26,10601.97,
"1348",2015-11-16,10622.73,10614.73,10622.73,10455.46,
"1349",2015-11-17,10648.75,10622.73,10907.03,10622.73,
"1350",2015-11-18,10608.99,10648.75,10757.91,10579.28,
"1351",2015-11-19,10712.47,10608.99,10712.47,10568.86,
"1352",2015-11-20,10688.16,10712.47,10763.8,10652.2,
"1353",2015-11-23,10666.59,10688.16,10776.75,10642.6,
"1354",2015-11-24,10636.36,10666.59,10666.59,10520.45,
"1355",2015-11-25,10676.33,10636.36,10677.4,10559.42,
"1356",2015-11-26,10628.97,10676.33,10758.41,10626.53,
"1357",2015-11-27,10124.9,10628.97,10628.97,10063.75,
"1358",2015-11-30,10148.1,10124.9,10199.35,9914.07,
"1359",2015-12-01,10209.19,10148.1,10294.61,10053.64,
"1360",2015-12-02,10724.75,10209.19,10750.63,10179.12,
"1361",2015-12-03,10778.29,10724.75,10852.12,10580.52,
"1362",2015-12-04,10514.53,10778.29,10778.29,10509.01,
"1363",2015-12-07,10496.05,10514.53,10539.66,10420.14,
"1364",2015-12-08,10357.36,10496.05,10496.05,10319.96,
"1365",2015-12-09,10406.26,10357.36,10456.29,10325.98,
"1366",2015-12-10,10358.72,10406.26,10566.71,10343.79,
"1367",2015-12-11,10304.99,10358.72,10360.65,10218.17,
"1368",2015-12-14,10592.76,10304.99,10607.54,10191.45,
"1369",2015-12-15,10488.25,10592.76,10592.76,10445.38,
"1370",2015-12-16,10446.31,10488.25,10533.34,10424.47,
"1371",2015-12-17,10621.09,10446.31,10681.28,10446.31,
"1372",2015-12-18,10719.77,10621.09,10907.53,10595.41,
"1373",2015-12-21,11026.18,10719.77,11082.52,10675.5,
"1374",2015-12-22,11001.04,11026.18,11040.84,10927.12,
"1375",2015-12-23,11036.81,11001.04,11234.12,10989.47,
"1376",2015-12-24,10957.31,11036.81,11051.11,10853.94,
"1377",2015-12-25,10998.66,10957.31,11012.24,10922.33,
"1378",2015-12-28,10683.51,10998.66,11042.15,10683.51,
"1379",2015-12-29,10776.15,10683.51,10789.56,10653.15,
"1380",2015-12-30,10776.23,10776.15,10781.7,10646.3,
"1381",2015-12-31,10711.64,10776.23,10780.67,10668.49,
"1382",2016-01-04,10101.04,10711.64,10711.64,10098.94,
"1383",2016-01-05,10178.16,10101.04,10259.92,9903.94,
"1384",2016-01-06,10297.45,10178.16,10314.27,10129.51,
"1385",2016-01-07,9750.36,10297.45,10297.45,9712.31,
"1386",2016-01-08,9906.67,9750.36,10058.83,9648.7,
"1387",2016-01-11,9505.45,9906.67,9906.67,9503.75,
"1388",2016-01-12,9566,9505.45,9640.87,9489.66,
"1389",2016-01-13,9465.21,9566,9669.15,9460.25,
"1390",2016-01-14,9573.67,9465.21,9591.96,9250.05,
"1391",2016-01-15,9314.24,9573.67,9576.2,9266.94,
"1392",2016-01-18,9302.18,9314.24,9398.95,9179.94,
"1393",2016-01-19,9545.43,9302.18,9574.18,9263.75,
"1394",2016-01-20,9384.26,9545.43,9545.43,9324.5,
"1395",2016-01-21,9174.4,9384.26,9475.93,9170.45,
"1396",2016-01-22,9254.13,9174.4,9309.02,9106.72,
"1397",2016-01-25,9263.61,9254.13,9302.21,9198.29,
"1398",2016-01-26,8796,9263.61,9263.61,8770.46,
"1399",2016-01-27,8793.39,8796,8885.54,8610.4,
"1400",2016-01-28,8643.35,8793.39,8825.69,8586.86,
"1401",2016-01-29,8887.48,8643.35,8939.86,8639.03,
"1402",2016-02-01,8734.08,8887.48,8887.48,8655.96,
"1403",2016-02-02,8859.86,8734.08,8901.5,8723.7,
"1404",2016-02-03,8779.94,8859.86,8859.86,8688.4,
"1405",2016-02-04,8872.83,8779.94,8911.68,8779.94,
"1406",2016-02-05,8851.03,8872.83,8892.35,8822.2,
"1407",2016-02-15,8774.55,8851.03,8851.03,8628.05,
"1408",2016-02-16,8993.09,8774.55,9011.99,8774.55,
"1409",2016-02-17,9048.34,8993.09,9069.23,8966.75,
"1410",2016-02-18,9016.81,9048.34,9123.9,9007.26,
"1411",2016-02-19,8998.68,9016.81,9037.93,8958.13,
"1412",2016-02-22,9194.71,8998.68,9237.47,8998.68,
"1413",2016-02-23,9096.06,9194.71,9194.71,9034.64,
"1414",2016-02-24,9153.77,9096.06,9156.81,9026.7,
"1415",2016-02-25,8731.2,9153.77,9155.7,8697.4,
"1416",2016-02-26,8821.18,8731.2,8864.83,8723.52,
"1417",2016-02-29,8756.88,8821.18,8821.82,8550.67,
"1418",2016-03-01,8872.43,8756.88,8933.16,8709.33,
"1419",2016-03-02,9146.56,8872.43,9159.52,8872.43,
"1420",2016-03-03,9170.78,9146.56,9190.84,9084.46,
"1421",2016-03-04,9434.82,9170.78,9458.43,9117.4,
"1422",2016-03-07,9382.38,9434.82,9481.65,9346.01,
"1423",2016-03-08,9406.78,9382.38,9417.73,9107.15,
"1424",2016-03-09,9387.79,9406.78,9406.78,9175.2,
"1425",2016-03-10,9207.25,9387.79,9387.79,9203.48,
"1426",2016-03-11,9236.49,9207.25,9239.03,9116.53,
"1427",2016-03-14,9278,9236.49,9430.42,9236.49,
"1428",2016-03-15,9348.03,9278,9366.78,9191.87,
"1429",2016-03-16,9492.54,9348.03,9507.76,9295.74,
"1430",2016-03-17,9483.81,9492.54,9586.13,9408.64,
"1431",2016-03-18,9531.39,9483.81,9624.56,9481.5,
"1432",2016-03-21,9743.3,9531.39,9823.16,9531.39,
"1433",2016-03-22,9667.54,9743.3,9764.3,9643.33,
"1434",2016-03-23,9675.8,9667.54,9724.26,9612.12,
"1435",2016-03-24,9537.5,9675.8,9675.8,9535.52,
"1436",2016-03-25,9581.59,9537.5,9617.31,9530.15,
"1437",2016-03-28,9476.58,9581.59,9659.45,9452.21,
"1438",2016-03-29,9416.59,9476.58,9525.74,9393.03,
"1439",2016-03-30,9623.85,9416.59,9635.16,9416.59,
"1440",2016-03-31,9614.12,9623.85,9671.25,9586,
"1441",2016-04-01,9658.04,9614.12,9661.9,9484.72,
"1442",2016-04-05,9706.33,9658.04,9733.41,9568.61,
"1443",2016-04-06,9658.8,9706.33,9706.33,9612.82,
"1444",2016-04-07,9542.45,9658.8,9695.38,9537.25,
"1445",2016-04-08,9485.94,9542.45,9542.45,9448.66,
"1446",2016-04-11,9580.45,9485.94,9655.69,9485.94,
"1447",2016-04-12,9562.34,9580.45,9586.5,9527.88,
"1448",2016-04-13,9673.83,9562.34,9777.75,9562.34,
"1449",2016-04-14,9702.49,9673.83,9754.6,9655.93,
"1450",2016-04-15,9722.73,9702.49,9757.67,9679.45,
"1451",2016-04-18,9637.56,9722.73,9722.73,9611.47,
"1452",2016-04-19,9657.35,9637.56,9695.81,9627.32,
"1453",2016-04-20,9607.36,9657.35,9678.72,9370.63,
"1454",2016-04-21,9598.13,9607.36,9690.75,9514.21,
"1455",2016-04-22,9652.27,9598.13,9669.97,9542.27,
"1456",2016-04-25,9617.12,9652.27,9652.4,9540.54,
"1457",2016-04-26,9647.94,9617.12,9677.58,9584.89,
"1458",2016-04-27,9607.68,9647.94,9663.7,9600.29,
"1459",2016-04-28,9594.77,9607.68,9648.89,9551.5,
"1460",2016-04-29,9569.56,9594.77,9610.12,9559.92,
"1461",2016-05-03,9661.6,9569.56,9698.56,9549.81,
"1462",2016-05-04,9638.5,9661.6,9666.35,9618.7,
"1463",2016-05-05,9635.46,9638.5,9645.97,9601.29,
"1464",2016-05-06,9448.79,9635.46,9637.97,9447.37,
"1465",2016-05-09,9319.72,9448.79,9448.79,9287.73,
"1466",2016-05-10,9314.77,9319.72,9367.14,9281.42,
"1467",2016-05-11,9347.95,9314.77,9389.45,9305.6,
"1468",2016-05-12,9380.19,9347.95,9397.35,9257.14,
"1469",2016-05-13,9348.82,9380.19,9398.84,9334.8,
"1470",2016-05-16,9370.86,9348.82,9371.99,9305.71,
"1471",2016-05-17,9345.32,9370.86,9377.93,9318.32,
"1472",2016-05-18,9367.35,9345.32,9380.47,9259.95,
"1473",2016-05-19,9339.91,9367.35,9382.56,9327.04,
"1474",2016-05-20,9374.01,9339.91,9374.9,9305.42,
"1475",2016-05-23,9368.72,9374.01,9421.58,9352.43,
"1476",2016-05-24,9308.98,9368.72,9368.72,9293.72,
"1477",2016-05-25,9337.34,9308.98,9380.72,9308.98,
"1478",2016-05-26,9353.94,9337.34,9385.6,9304.24,
"1479",2016-05-27,9348.53,9353.94,9368.39,9328.55,
"1480",2016-05-30,9426.3,9348.53,9428.95,9318.03,
"1481",2016-05-31,9670.95,9426.3,9681.73,9426.15,
"1482",2016-06-01,9610.53,9670.95,9694.41,9608.69,
"1483",2016-06-02,9596.97,9610.53,9632.55,9570.63,
"1484",2016-06-03,9655.5,9596.97,9672.06,9583.35,
"1485",2016-06-06,9594.7,9655.5,9656.03,9574.81,
"1486",2016-06-07,9599.31,9594.7,9624.9,9580.52,
"1487",2016-06-08,9573.97,9599.31,9599.31,9540.81,
"1488",2016-06-13,9388.24,9573.97,9573.97,9384.91,
"1489",2016-06-14,9438.67,9388.24,9456.12,9371.92,
"1490",2016-06-15,9478.21,9438.67,9508.82,9349.43,
"1491",2016-06-16,9427.49,9478.21,9478.21,9417.07,
"1492",2016-06-17,9234.24,9427.49,9512.9,9234.24,
"1493",2016-06-20,9249.57,9234.24,9279.06,9202.78,
"1494",2016-06-21,9248.71,9249.57,9356.8,9231.08,
"1495",2016-06-22,9302.17,9248.71,9305.45,9227.31,
"1496",2016-06-23,9253.28,9302.17,9303.67,9222.34,
"1497",2016-06-24,9127.61,9253.28,9279.34,9026.43,
"1498",2016-06-27,9210.57,9127.61,9211.47,9106.55,
"1499",2016-06-28,9235.74,9210.57,9242.31,9160.26,
"1500",2016-06-29,9324.02,9235.74,9330.74,9235.74,
"1501",2016-06-30,9316.31,9324.02,9352.33,9306.99,
"1502",2016-07-01,9343.52,9316.31,9370.17,9313.93,
"1503",2016-07-04,9485.8,9343.52,9518.88,9315.39,
"1504",2016-07-05,9492.54,9485.8,9512.13,9464.86,
