"","US SmallCap 2000 (US2000)_history.csv Date","US SmallCap 2000 (US2000)_history.csv Price","US SmallCap 2000 (US2000)_history.csv Open","US SmallCap 2000 (US2000)_history.csv High","US SmallCap 2000 (US2000)_history.csv Low","US SmallCap 2000 (US2000)_history.csv Volume"
"177",2009-09-15,604.84,599.49,605.6,597.45,"-"
"178",2009-09-16,617.38,606.6,617.38,605.93,"-"
"179",2009-09-17,615.47,617.04,621.62,612.44,"-"
"180",2009-09-18,617.88,616.59,619.17,611.95,"-"
"181",2009-09-21,615.97,614.51,617.83,611.17,"-"
"182",2009-09-22,620.69,618.84,622.42,617.02,"-"
"183",2009-09-23,613.37,621.66,625.31,613.37,"-"
"184",2009-09-24,601.75,614.48,616.3,598.36,"-"
"185",2009-09-25,598.94,600.53,602.47,595.88,"-"
"186",2009-09-28,613.22,600.18,615.11,600.18,"-"
"187",2009-09-29,610.45,613.56,616.98,609.83,"-"
"188",2009-09-30,604.28,610.74,611.79,597.19,"-"
"189",2009-10-01,583.75,603.23,603.27,583.75,"-"
"190",2009-10-02,580.2,583.24,584.47,576.4,"-"
"191",2009-10-05,591.11,582.23,592.15,581.82,"-"
"192",2009-10-06,601.98,593.88,603.63,593.53,"-"
"193",2009-10-07,602.08,600.86,603.11,599.22,"-"
"194",2009-10-08,607.75,604.9,612.24,604.21,"-"
"195",2009-10-09,614.92,607.43,614.92,607.18,"-"
"196",2009-10-12,613.81,615.18,618.75,611.87,"-"
"197",2009-10-13,611.7,613.66,614.13,606.79,"-"
"198",2009-10-14,623.94,616.29,623.94,615.97,"-"
"199",2009-10-15,623.34,621.52,623.89,618.41,"-"
"200",2009-10-16,616.18,621.5,621.5,611.95,"-"
"201",2009-10-19,622.34,618.11,624.13,614.42,"-"
"202",2009-10-20,613.41,623.28,623.28,610.53,"-"
"203",2009-10-21,605.11,612.28,622.69,604.15,"-"
"204",2009-10-22,613.38,604.77,615.13,598.46,"-"
"205",2009-10-23,600.86,614.73,615.62,599.95,"-"
"206",2009-10-26,593.68,601.76,610.46,592.49,"-"
"207",2009-10-27,586.99,594.43,597.26,586.76,"-"
"208",2009-10-28,566.36,585.43,586.48,565.91,"-"
"209",2009-10-29,580.22,570.26,581.54,570.26,"-"
"210",2009-10-30,562.77,578.02,578.02,560.19,"-"
"211",2009-11-02,562.4,563.75,570.12,553.31,"-"
"212",2009-11-03,570.62,559.78,570.62,557.22,"-"
"213",2009-11-04,563.12,572.65,576.26,562.92,"-"
"214",2009-11-05,581.15,563.33,581.15,563.33,"-"
"215",2009-11-06,580.35,577.44,584.02,574.84,"-"
"216",2009-11-09,592.31,583.85,592.31,583.85,"-"
"217",2009-11-10,586.97,590.29,593.57,583.87,"-"
"218",2009-11-11,592.71,590.6,596.93,588.25,"-"
"219",2009-11-12,580.32,592.23,595.79,579.83,"-"
"220",2009-11-13,586.28,581.2,588.06,576.73,"-"
"221",2009-11-16,602.87,588.65,605.44,588.65,"-"
"222",2009-11-17,602.34,602.69,603.39,597.24,"-"
"223",2009-11-18,600.15,602.4,602.55,596.08,"-"
"224",2009-11-19,585.68,596.69,596.69,581.87,"-"
"225",2009-11-20,584.68,585.25,586.6,580.68,"-"
"226",2009-11-23,594.81,589.48,601.36,589.47,"-"
"227",2009-11-24,592.58,594.84,594.84,586.22,"-"
"228",2009-11-25,592.19,593.66,595.11,592.05,"-"
"229",2009-11-27,577.21,585.13,585.13,577.21,"-"
"230",2009-11-30,579.73,576.94,580.39,567.98,"-"
"231",2009-12-01,589.2,582.99,590.8,582.99,"-"
"232",2009-12-02,596.09,589.49,599.92,589.42,"-"
"233",2009-12-03,588.78,597.74,601.59,588.28,"-"
"234",2009-12-04,602.79,590,606.77,590,"-"
"235",2009-12-07,603.56,602.11,606.2,600.43,"-"
"236",2009-12-08,597.7,603.27,603.27,593.84,"-"
"237",2009-12-09,598.03,598,598.76,592.71,"-"
"238",2009-12-10,595.38,599.61,601.96,593.06,"-"
"239",2009-12-11,600.37,597.15,600.55,594.05,"-"
"240",2009-12-14,609.79,602.57,609.79,599.17,"-"
"241",2009-12-15,606.31,609.75,612.79,606.31,"-"
"242",2009-12-16,611.21,609.2,613.71,608.18,"-"
"243",2009-12-17,604.25,608.36,609.01,600.96,"-"
"244",2009-12-18,610.57,606.73,610.57,602.29,"-"
"245",2009-12-21,618.6,611.66,618.91,611.66,"-"
"246",2009-12-22,623.6,619.26,624.21,618.86,"-"
"247",2009-12-23,630.98,625.33,632.02,624.7,"-"
"248",2009-12-24,634.07,632.36,634.15,632.23,"-"
"249",2009-12-28,633.75,635.2,635.99,630.94,"-"
"250",2009-12-29,633.18,634.04,634.55,632.4,"-"
"251",2009-12-30,633.41,630.98,634.09,627.56,"-"
"252",2009-12-31,625.39,633.1,635.2,625.13,"-"
"253",2010-01-04,640.1,628.11,640.1,628.11,"-"
"254",2010-01-05,638.49,639.69,641.89,635.95,"-"
"255",2010-01-06,637.95,638.29,641.26,636.4,"-"
"256",2010-01-07,641.97,638.11,642.07,632.74,"-"
"257",2010-01-08,644.56,640.34,644.69,639.56,"-"
"258",2010-01-11,643.99,647.32,648.4,641.39,"-"
"259",2010-01-12,635.5,639.96,641.14,633.62,"-"
"260",2010-01-13,643.56,637.15,644.79,633.26,"-"
"261",2010-01-14,646.43,643.56,647.87,642.16,"-"
"262",2010-01-15,637.96,647.57,648.12,633.69,"-"
"263",2010-01-19,649.15,637.94,649.15,637.94,"-"
"264",2010-01-20,639.61,645.78,645.78,633.02,"-"
"265",2010-01-21,628.36,640.15,643.77,627.64,"-"
"266",2010-01-22,617.12,627.7,630.6,615.52,"-"
"267",2010-01-25,618.11,618.75,621.78,614.18,"-"
"268",2010-01-26,612.16,616.43,619.98,611.92,"-"
"269",2010-01-27,618.38,610.29,618.76,607.92,"-"
"270",2010-01-28,607.93,619.65,620.18,603.26,"-"
"271",2010-01-29,602.04,610,616.03,600.53,"-"
"272",2010-02-01,609.25,602.22,609.27,602.22,"-"
"273",2010-02-02,614.05,609.79,615.6,607.35,"-"
"274",2010-02-03,610.66,612.26,615.74,606.64,"-"
"275",2010-02-04,589.68,610.63,610.63,589.68,"-"
"276",2010-02-05,592.98,590.1,592.99,580.49,"-"
"277",2010-02-08,586.49,592.72,595.29,586.37,"-"
"278",2010-02-09,595.17,591.7,597.39,588.21,"-"
"279",2010-02-10,595.82,593.29,596.83,587.43,"-"
"280",2010-02-11,605.46,594.3,605.6,590.61,"-"
"281",2010-02-12,610.72,600.92,610.72,598.03,"-"
"282",2010-02-16,620.84,613.8,620.84,611.58,"-"
"283",2010-02-17,624.83,622.41,625.17,620.33,"-"
"284",2010-02-18,629.32,623.6,629.32,622.89,"-"
