"","US SmallCap 2000 (US2000)_history.csv Date","US SmallCap 2000 (US2000)_history.csv Price","US SmallCap 2000 (US2000)_history.csv Open","US SmallCap 2000 (US2000)_history.csv High","US SmallCap 2000 (US2000)_history.csv Low","US SmallCap 2000 (US2000)_history.csv Volume"
"113",2009-06-15,511.83,523.36,523.36,507.6,"-"
"114",2009-06-16,503.74,514,516.6,502.74,"-"
"115",2009-06-17,507.03,503.69,511.85,499.17,"-"
"116",2009-06-18,509.48,506.7,511.33,502.72,"-"
"117",2009-06-19,512.72,513.45,517.62,510.47,"-"
"118",2009-06-22,492.81,510.3,510.3,492.81,"-"
"119",2009-06-23,489.77,494.72,496.63,488.85,"-"
"120",2009-06-24,494.95,492.01,500.67,491.83,"-"
"121",2009-06-25,509.18,493.52,509.18,492.43,"-"
"122",2009-06-26,513.22,507.45,514.59,505.19,"-"
"123",2009-06-29,510.61,512.33,513.6,503.33,"-"
"124",2009-06-30,508.28,510.6,513.83,507.1,"-"
"125",2009-07-01,517.46,510.28,520.06,510.28,"-"
"126",2009-07-02,497.21,513.11,513.11,497.21,"-"
"127",2009-07-06,494.03,495.65,495.72,487.1,"-"
"128",2009-07-07,484.25,494.27,494.41,484.25,"-"
"129",2009-07-08,479.68,485.75,486.83,473.54,"-"
"130",2009-07-09,479.27,481.81,483.91,478.97,"-"
"131",2009-07-10,480.98,477.7,481.93,474.52,"-"
"132",2009-07-13,493.31,481.98,493.31,475.28,"-"
"133",2009-07-14,496.52,493.3,496.69,490.81,"-"
"134",2009-07-15,515.64,500.87,515.76,500.87,"-"
"135",2009-07-16,522.02,513.61,523.13,512.11,"-"
"136",2009-07-17,519.22,522.42,522.42,517.62,"-"
"137",2009-07-20,526.96,522.07,526.96,521.48,"-"
"138",2009-07-21,525.22,528.94,529.25,518.59,"-"
"139",2009-07-22,528.7,523.34,531.31,522.43,"-"
"140",2009-07-23,545.85,528.65,547.42,528.11,"-"
"141",2009-07-24,548.46,542.2,548.46,539.9,"-"
"142",2009-07-27,550.88,548.46,550.9,544.9,"-"
"143",2009-07-28,551.95,549.09,551.95,544.18,"-"
"144",2009-07-29,548.38,549.24,550.47,545.69,"-"
"145",2009-07-30,557.8,550.92,563.48,550.92,"-"
"146",2009-07-31,556.71,555.48,562.07,555.48,"-"
"147",2009-08-03,565.78,559.31,565.78,556.56,"-"
"148",2009-08-04,570.74,562.6,572.48,561.17,"-"
"149",2009-08-05,565.99,570.72,571.24,560.59,"-"
"150",2009-08-06,557.62,567.52,569.53,556.56,"-"
"151",2009-08-07,572.4,562.6,577.47,562.6,"-"
"152",2009-08-10,571.87,570.37,574.56,567.87,"-"
"153",2009-08-11,562.12,570.2,570.36,560.48,"-"
"154",2009-08-12,572.17,562.17,577.57,562.05,"-"
"155",2009-08-13,575.19,572.67,576.7,568.73,"-"
"156",2009-08-14,563.9,574.56,574.7,558.58,"-"
"157",2009-08-17,548.18,556.77,556.77,546.96,"-"
"158",2009-08-18,556.43,550.22,557.88,548.85,"-"
"159",2009-08-19,561.65,552.37,561.65,549.86,"-"
"160",2009-08-20,568.68,561.07,568.68,560.58,"-"
"161",2009-08-21,581.51,572.64,582.1,571.66,"-"
"162",2009-08-24,580.24,582.69,586.03,578.1,"-"
"163",2009-08-25,583.22,581.9,588.05,581.9,"-"
"164",2009-08-26,584.02,582.57,586.29,579.87,"-"
"165",2009-08-27,583.77,583.87,584.78,572.66,"-"
"166",2009-08-28,579.86,583.87,589.79,576.82,"-"
"167",2009-08-31,572.07,577.02,577.02,569.27,"-"
"168",2009-09-01,558.06,570.24,579.9,556.83,"-"
"169",2009-09-02,555.83,556.86,559.05,554.59,"-"
"170",2009-09-03,562.49,557.31,562.49,552.27,"-"
"171",2009-09-04,570.5,562.5,570.5,559.09,"-"
"172",2009-09-08,576.38,573.01,576.38,570.39,"-"
"173",2009-09-09,586.4,576.5,588.7,575.53,"-"
"174",2009-09-10,594.9,586.57,594.9,582.69,"-"
"175",2009-09-11,593.59,594.83,597.98,590.89,"-"
"176",2009-09-14,600.03,591.35,600.03,588.03,"-"
