Date;Price;Open;High;Low;Vol.;Change %
Sep 23, 2011;652.43;644.30;656.50;642.30;-;1.40%
Sep 26, 2011;665.62;660.00;666.20;644.30;-;2.02%
Sep 27, 2011;680.23;680.20;695.90;674.70;-;2.19%
Sep 28, 2011;651.97;679.70;683.10;651.97;-;-4.15%
Sep 29, 2011;662.80;668.80;671.70;644.80;-;1.66%
Sep 30, 2011;644.16;652.60;663.00;641.80;-;-2.81%
Oct 03, 2011;609.49;639.70;650.60;609.20;-;-5.38%
Oct 04, 2011;648.63;604.60;649.80;601.60;-;6.42%
Oct 05, 2011;658.11;649.10;662.60;640.40;-;1.46%
Oct 06, 2011;673.80;656.10;674.50;652.90;-;2.38%
Oct 07, 2011;656.21;675.40;677.70;653.70;-;-2.61%
Oct 10, 2011;684.90;671.40;686.10;668.70;-;4.37%
Oct 11, 2011;688.97;679.00;692.40;677.10;-;0.59%
Oct 12, 2011;700.38;695.30;705.70;693.20;-;1.66%
Oct 13, 2011;698.82;694.60;701.50;686.00;-;-0.22%
Oct 14, 2011;712.46;706.30;713.80;699.30;-;1.95%
Oct 17, 2011;688.60;705.80;706.50;687.30;-;-3.35%
Oct 18, 2011;709.34;692.80;713.80;679.70;-;3.01%
Oct 19, 2011;694.37;706.60;712.30;691.50;-;-2.11%
Oct 20, 2011;696.42;697.60;697.90;678.30;-;0.30%
Oct 21, 2011;712.42;706.30;712.70;701.10;-;2.30%
Oct 24, 2011;736.03;715.20;736.30;714.00;-;3.31%
Oct 25, 2011;713.65;729.50;729.80;712.10;-;-3.04%
Oct 26, 2011;727.15;726.40;730.80;705.80;-;1.89%
Oct 27, 2011;765.43;753.30;770.30;745.40;-;5.26%
Oct 28, 2011;761.00;763.30;769.70;758.30;-;-0.58%
Oct 31, 2011;741.06;749.30;755.00;738.80;-;-2.62%
Nov 01, 2011;713.89;712.20;730.20;710.30;-;-3.67%
Nov 02, 2011;733.26;726.70;733.80;718.80;-;2.71%
Nov 03, 2011;751.53;743.70;752.70;723.60;-;2.49%
Nov 04, 2011;746.49;742.60;749.30;736.30;-;-0.67%
Nov 07, 2011;745.70;746.50;749.80;730.20;-;-0.11%
Nov 08, 2011;755.27;752.70;757.70;735.80;-;1.28%
Nov 09, 2011;718.86;734.20;740.10;719.30;-;-4.82%
Nov 10, 2011;725.48;732.40;733.20;717.50;-;0.92%
Nov 11, 2011;744.64;734.30;746.60;733.30;-;2.64%
Nov 14, 2011;732.90;741.80;743.80;728.70;-;-1.58%
Nov 15, 2011;743.08;730.10;747.10;724.80;-;1.39%
Nov 16, 2011;729.86;734.70;749.40;729.80;-;-1.78%
Nov 17, 2011;718.89;730.20;734.60;715.60;-;-1.50%
Nov 18, 2011;719.42;723.00;724.20;714.20;-;0.07%
Nov 21, 2011;701.90;705.00;707.80;695.80;-;-2.44%
Nov 22, 2011;696.27;701.10;705.80;692.60;-;-0.80%
Nov 23, 2011;674.34;688.80;690.50;673.30;-;-3.15%
Nov 25, 2011;666.16;669.90;679.90;665.80;-;-1.21%
Nov 28, 2011;697.90;690.70;699.00;688.80;-;4.76%
Nov 29, 2011;696.10;697.70;700.80;690.80;-;-0.26%
Nov 30, 2011;737.42;725.60;737.42;721.20;-;5.94%
Dec 01, 2011;730.75;733.60;740.30;729.60;-;-0.90%
Dec 02, 2011;735.02;739.70;745.20;732.80;-;0.58%
Dec 05, 2011;747.03;748.00;752.80;740.30;-;1.63%
Dec 06, 2011;746.78;747.00;751.80;739.90;-;-0.03%
