"","Bovespa (BVSP)_history.csv Date","Bovespa (BVSP)_history.csv Price","Bovespa (BVSP)_history.csv Open","Bovespa (BVSP)_history.csv High","Bovespa (BVSP)_history.csv Low","Bovespa (BVSP)_history.csv Volume"
"355",2010-06-11,63605.38,63043.83,63766.11,62370.79,"1350000"
"356",2010-06-14,63532.85,63613.29,64295.85,63529.36,"1790000"
"357",2010-06-15,64442.27,63533.58,64554.35,63533.58,"1270000"
"358",2010-06-16,64750.71,64442.19,65097.18,63974.28,"2440000"
"359",2010-06-17,64540.91,64744.6,65182.01,64114.55,"1890000"
"360",2010-06-18,64437.58,64542.01,64940.57,64239.13,"1870000"
"361",2010-06-21,64829.03,64441.79,65516.85,64441.79,"1620000"
"362",2010-06-22,64810.62,64833.9,65830.86,64689.59,"1930000"
"363",2010-06-23,65160.33,64811.84,65160.67,64247.47,"1760000"
"364",2010-06-24,63936.7,65153.81,65153.81,63735.61,"1790000"
"365",2010-06-25,64823.83,63936.7,64868.94,63806.08,"1260000"
"366",2010-06-28,64225.22,64825.14,65104.67,64225.22,"943300"
"367",2010-06-29,61977.91,64215.55,64215.55,61670.12,"2200000"
"368",2010-06-30,60935.9,61971.59,62644.69,60935.9,"1960000"
"369",2010-07-01,61236.2,60934.58,61381.03,60055.71,"2130000"
"370",2010-07-02,61429.79,61236.2,61811.57,60763.62,"1140000"
"371",2010-07-05,60865.27,61435.53,61667.07,60796.2,"759930"
"372",2010-07-06,62064.75,60869.54,62450.61,60869.54,"1790000"
"373",2010-07-07,63283.8,62066.9,63313.36,62004.44,"1730000"
"374",2010-07-08,63476.32,63281.52,63595.7,62894.62,"1660000"
"375",2010-07-12,62960.1,63477.43,63972.36,62749.61,"1230000"
"376",2010-07-13,63685.56,62964.31,63777.14,62964.31,"1580000"
"377",2010-07-14,63479.46,63685.65,63687.5,63014.77,"1450000"
"378",2010-07-15,63489.37,63482.46,63612.24,62960.36,"1560000"
"379",2010-07-16,62339.27,63486.97,63492.16,62298.21,"1330000"
"380",2010-07-19,63297.04,62350.9,63299.85,62350.9,"1280000"
"381",2010-07-20,64462.5,63289.83,64481.19,62901.91,"2430000"
"382",2010-07-21,64476.84,64468.1,65136.2,64209.24,"1820000"
"383",2010-07-22,65748.1,64503.73,66212.79,64503.73,"2320000"
"384",2010-07-23,66322.99,65748.1,66322.99,65427.34,"1540000"
"385",2010-07-26,66443.26,66321.87,66618.61,66150.64,"1230000"
"386",2010-07-27,66674.44,66449.41,67102.17,66293.03,"1600000"
"387",2010-07-28,66808.25,66669.63,67050.77,66427.17,"1940000"
"388",2010-07-29,66953.83,66795.63,67428.2,66596.03,"2160000"
"389",2010-07-30,67515.4,66950.94,67608.09,66217.88,"2090000"
"390",2010-08-02,68517.46,67523.94,68753.77,67523.94,"1770000"
"391",2010-08-03,67997.36,68516.8,68560.68,67942.44,"1900000"
"392",2010-08-04,68272,67995.9,68534.2,67577.4,"1880000"
"393",2010-08-05,68411.72,68271.44,68470.97,68002.47,"1610000"
"394",2010-08-06,68094.76,68416.11,68508.95,67685.68,"1510000"
"395",2010-08-09,67862.28,68096.39,68512.67,67749.39,"1250000"
"396",2010-08-10,67223.23,67836.11,67836.11,66946.43,"1630000"
"397",2010-08-11,65790.29,67216.74,67216.74,65690.39,"1730000"
"398",2010-08-12,65966.17,65787.87,66027.35,65257.27,"1550000"
"399",2010-08-13,66264.43,65963.88,66589.9,65921.43,"1840000"
"400",2010-08-16,66701.89,66260.42,66867.71,66186.95,"1390000"
"401",2010-08-17,67583.77,66701.89,67665.64,66701.89,"1750000"
"402",2010-08-18,67638.38,67583.61,67745.45,67005.75,"2370000"
"403",2010-08-19,66887.13,67640.83,67712.83,66823.59,"1920000"
"404",2010-08-20,66677.16,66891.65,66891.65,66336.57,"1410000"
"405",2010-08-23,65981.86,66677.71,67175.24,65981.86,"1380000"
"406",2010-08-24,65156.36,65946.32,65946.32,65012.56,"1600000"
"407",2010-08-25,64803.43,65156.2,65156.2,64163.55,"1750000"
"408",2010-08-26,63867.48,64801.59,65270.95,63803.94,"1770000"
"409",2010-08-27,65585.14,63875.28,65589.15,63847.56,"1760000"
"410",2010-08-30,64260.79,65585.14,65585.14,64254.51,"1290000"
"411",2010-08-31,65145.45,64261.77,65181.93,64201.99,"3280000"
"412",2010-09-01,67072.53,65154.26,67072.53,65154.26,"2510000"
"413",2010-09-02,66808.08,67072.53,67167.76,66404.82,"1600000"
"414",2010-09-03,66678.62,66811.92,67672.77,66541.1,"2020000"
"415",2010-09-06,66747.3,66678.62,66949.28,66379.67,"651480"
"416",2010-09-08,66407.28,66739.29,66739.29,66101.43,"1720000"
"417",2010-09-09,66624.1,66411.3,66806.5,66352.84,"1440000"
"418",2010-09-10,66806.79,66621.87,66919.8,66459.39,"1560000"
"419",2010-09-13,68030.58,66807.35,68141.51,66807.35,"2140000"
"420",2010-09-14,67691.85,68029.68,68092.84,67561.34,"2590000"
"421",2010-09-15,68106.85,67689.67,68107.21,67119.35,"2230000"
"422",2010-09-16,67662.99,68102.83,68102.83,67506.97,"1460000"
"423",2010-09-17,67089.12,67664.74,67773.03,66992.96,"1630000"
"424",2010-09-20,68190.46,67087.46,68241.11,67009.45,"1780000"
"425",2010-09-21,67719.13,68188.93,68255.32,67528.23,"1730000"
"426",2010-09-22,68325.18,67710.59,68549.08,67346.31,"2500000"
"427",2010-09-23,68794.32,68320.66,69600.85,67892.34,"3310000"
"428",2010-09-24,68196.48,68800.33,69571.16,68021.31,"3440000"
"429",2010-09-27,68815.97,68197.38,68926.35,68011.36,"2140000"
"430",2010-09-28,69227.63,68817.16,69431.02,68454.87,"1850000"
"431",2010-09-29,69228.24,69224.78,69419.89,68958.05,"3070000"
"432",2010-09-30,69429.78,69229.71,69736.76,68924.43,"2470000"
"433",2010-10-01,70229.35,69438.23,70242.59,69227.96,"2450000"
"434",2010-10-04,70384.92,70230.07,70551.26,70089.01,"1880000"
"435",2010-10-05,71283.11,70389.77,71285.03,70389.77,"2710000"
"436",2010-10-06,70541.37,71284.08,71290.43,70342.87,"2780000"
"437",2010-10-07,69918.4,70545.06,70738.87,69313.57,"2590000"
"438",2010-10-08,70808.8,69920.89,70827.75,69698.03,"2140000"
"439",2010-10-11,70946.49,70810.22,71110.51,70810.22,"1170000"
"440",2010-10-13,71674.9,70949.95,71994.8,70949.95,"2980000"
"441",2010-10-14,71692.29,71675.65,71961.27,71263.87,"2630000"
"442",2010-10-15,71830.18,71698.63,72139.59,71351.38,"2020000"
"443",2010-10-18,71735.53,71830.18,71884.32,71340.66,"2110000"
"444",2010-10-19,69863.58,71734.93,71734.93,69628.37,"2500000"
"445",2010-10-20,70404.68,69863.49,70720.32,69813.73,"2410000"
"446",2010-10-21,69652.1,70406.16,70958.17,68951.65,"2590000"
"447",2010-10-22,69529.73,69658.34,70311.61,68847.04,"2420000"
"448",2010-10-25,69580.28,69535.66,70230.79,69450.62,"3840000"
"449",2010-10-26,70740.39,69582.37,70833.85,69054.7,"2580000"
"450",2010-10-27,70568.94,70735.05,70844.41,70059.33,"2200000"
"451",2010-10-28,70320.13,70572.73,71262.91,70233.67,"2230000"
"452",2010-10-29,70673.3,70322.43,70775.7,70322.43,"2210000"
"453",2010-11-01,71560.93,70686.21,71751.32,70673.21,"1560000"
"454",2010-11-03,71904.77,71560.33,72109.97,71510.43,"2150000"
"455",2010-11-04,72995.69,71909.64,73103.28,71909.64,"2180000"
"456",2010-11-05,72606.58,72987.2,72987.2,72534.04,"1730000"
"457",2010-11-08,72657.37,72606.58,72875.38,72336.04,"1080000"
"458",2010-11-09,71679.47,72654.23,73044.68,71651.17,"1510000"
"459",2010-11-10,71638.38,71673.52,71854.38,70867.86,"1490000"
"460",2010-11-11,71195.16,71638.98,71638.98,70940.6,"1350000"
"461",2010-11-12,70367.15,71191.01,71191.01,70004.48,"1190000"
"462",2010-11-16,69192.41,70364.37,70364.37,68662.39,"2240000"
"463",2010-11-17,69708.63,69189.09,70079.75,69187.22,"1990000"
"464",2010-11-18,70781.4,69716.02,70904.26,69716.02,"1880000"
"465",2010-11-19,70897.9,70773.84,70897.9,70235.98,"1510000"
"466",2010-11-22,69632.5,70897.9,70897.9,69201.58,"1740000"
"467",2010-11-23,67952.55,69628.88,69628.88,67727.97,"2080000"
"468",2010-11-24,69629.36,67954.79,69745.71,67954.79,"1990000"
"469",2010-11-25,69361.63,69634.29,69780.23,69361.63,"981630"
"470",2010-11-26,68226.1,69349.48,69349.48,68219.09,"1560000"
"471",2010-11-29,67908.18,68218.18,68421.65,67102.94,"1780000"
"472",2010-11-30,67705.4,67900.95,68476.43,67270.61,"2160000"
"473",2010-12-01,69345.85,67731.17,69605.35,67731.17,"2090000"
"474",2010-12-02,69527.07,69341.09,69942.87,69218.65,"2110000"
"475",2010-12-03,69766.09,69529.04,69963.03,68943.28,"2830000"
"476",2010-12-06,69551.81,69759.37,69931.66,69377.85,"1890000"
"477",2010-12-07,69337.64,69563.37,70589.07,69337.64,"2590000"
"478",2010-12-08,68174.92,69338.22,69353.53,68046.17,"2670000"
"479",2010-12-09,67879.46,68173.28,68561.34,67563.46,"2450000"
"480",2010-12-10,68341.83,67889.34,68514.35,67866.49,"2810000"
"481",2010-12-13,69126.32,68341.83,69221.06,68341.83,"2460000"
"482",2010-12-14,68742.97,69126.84,69126.84,68531.27,"1880000"
"483",2010-12-15,67870.14,68740.65,68740.65,67711.25,"1350000"
"484",2010-12-16,67306.39,67874.9,68376.82,67137.97,"2400000"
"485",2010-12-17,67981.22,67304.16,67981.22,66947.65,"1980000"
"486",2010-12-20,67263.6,67979.21,68196.06,67263.6,"2350000"
"487",2010-12-21,68214.86,67261.39,68461.32,67261.39,"1900000"
"488",2010-12-22,68470.76,68218.33,68471.83,67727.33,"1660000"
"489",2010-12-23,68485.96,68470.3,68561.55,68249.62,"1230000"
"490",2010-12-27,67803.16,68476.32,68476.32,67803.16,"1040000"
"491",2010-12-28,68040.94,67810.36,68104.26,67810.36,"1400000"
"492",2010-12-29,68952.42,68043,69039.76,68043,"1310000"
"493",2010-12-30,69304.81,68953.18,69527.17,68940.08,"2100000"
"494",2011-01-03,69962.32,69309.98,70470.97,69304.67,"1860000"
"495",2011-01-04,70317.79,69962.1,70317.79,69559.92,"2430000"
"496",2011-01-05,71091.03,70311.43,71172.96,69801.71,"2310000"
"497",2011-01-06,70578.83,71092.5,71167.1,70469.17,"2550000"
"498",2011-01-07,70057.2,70579.9,70782.83,69718.11,"1760000"
"499",2011-01-10,70127.04,70056.05,70133.39,69666.37,"1610000"
"500",2011-01-11,70423.44,70145.55,70647.44,70145.28,"2140000"
"501",2011-01-12,71632.9,70429.44,71632.9,70429.44,"2520000"
"502",2011-01-13,70721.44,71631.13,71923.84,70719.1,"2240000"
"503",2011-01-14,70940.22,70722.96,71184.3,70396.86,"1810000"
"504",2011-01-17,70609.07,70939.58,70939.58,70544.1,"1540000"
"505",2011-01-18,70919.75,70612.23,71093.97,70612.23,"1880000"
"506",2011-01-19,70058.08,70921.27,71189.81,69966.21,"1880000"
"507",2011-01-20,69561.53,70056.42,70083.35,69176.61,"2170000"
"508",2011-01-21,69133.09,69559.87,70026.52,69095.15,"2070000"
"509",2011-01-24,69426.57,69134.47,69512.61,68786.28,"1470000"
"510",2011-01-26,68709.22,69426.64,69556.15,68514.92,"2540000"
"511",2011-01-27,68050.71,68716.83,69107.89,67774.57,"2300000"
"512",2011-01-28,66697.57,68050.71,68181.74,65897.65,"2540000"
"513",2011-01-31,66574.88,66697.12,67165.91,66270.66,"2250000"
"514",2011-02-01,67847.34,66574.88,67921.76,66574.88,"2110000"
