"","Dow Jones Industrial Average (DJI)_history.csv Date","Dow Jones Industrial Average (DJI)_history.csv Price","Dow Jones Industrial Average (DJI)_history.csv Open","Dow Jones Industrial Average (DJI)_history.csv High","Dow Jones Industrial Average (DJI)_history.csv Low","Dow Jones Industrial Average (DJI)_history.csv Volume"
"1714",2015-10-23,17646.7,17525.11,17679.37,17525.11,"158090000"
"1715",2015-10-26,17623.05,17649.57,17660.7,17602.51,"116660000"
"1716",2015-10-27,17581.43,17608.89,17635.18,17540.57,"115180000"
"1717",2015-10-28,17779.52,17586.69,17779.95,17556.71,"115630000"
"1718",2015-10-29,17755.8,17771.5,17786,17684.72,"90300000"
"1719",2015-10-30,17663.54,17756.6,17799.96,17662.87,"149250000"
"1720",2015-11-02,17828.76,17672.62,17845.9,17655.02,"100840000"
"1721",2015-11-03,17918.15,17819.74,17977.85,17796.02,"92290000"
"1722",2015-11-04,17867.58,17929.58,17964.12,17828.83,"99890000"
"1723",2015-11-05,17863.43,17871.25,17929.51,17779.19,"98910000"
"1724",2015-11-06,17910.33,17855.22,17912.04,17768.6,"107450000"
"1725",2015-11-09,17730.48,17900.78,17900.78,17667.78,"121210000"
"1726",2015-11-10,17758.21,17724.13,17768.66,17657.72,"108640000"
"1727",2015-11-11,17702.22,17769.5,17807.18,17696.91,"95230000"
"1728",2015-11-12,17448.07,17691.93,17691.93,17443.5,"113660000"
"1729",2015-11-13,17245.24,17439.25,17439.25,17238.89,"134640000"
"1730",2015-11-16,17483.01,17229.94,17483.01,17210.43,"137590000"
"1731",2015-11-17,17489.5,17486.99,17599.33,17451.41,"167190000"
"1732",2015-11-18,17737.16,17485.49,17752.16,17485.49,"106810000"
"1733",2015-11-19,17732.75,17739.83,17772.97,17681.98,"114630000"
"1734",2015-11-20,17823.81,17732.75,17914.34,17732.75,"153140000"
"1735",2015-11-23,17792.68,17823.61,17868.18,17751.53,"134680000"
"1736",2015-11-24,17812.19,17770.9,17862.6,17683.51,"127170000"
"1737",2015-11-25,17813.39,17820.81,17854.92,17801.83,"82540000"
"1738",2015-11-27,17798.49,17806.04,17830.36,17749.32,"46820000"
"1739",2015-11-30,17719.92,17802.84,17837.24,17719.79,"155560000"
"1740",2015-12-01,17888.35,17719.72,17895.5,17719.72,"103880000"
"1741",2015-12-02,17729.68,17883.14,17901.58,17708.2,"102860000"
"1742",2015-12-03,17477.67,17741.57,17780.59,17425.56,"126990000"
"1743",2015-12-04,17847.63,17482.68,17866.47,17482.68,"137650000"
"1744",2015-12-07,17730.51,17845.49,17845.49,17639.25,"99670000"
"1745",2015-12-08,17568,17703.99,17703.99,17485.39,"113720000"
"1746",2015-12-09,17492.3,17558.18,17767.69,17403.51,"122020000"
"1747",2015-12-10,17574.75,17493.17,17697.74,17474.66,"107310000"
"1748",2015-12-11,17265.21,17574.75,17574.75,17230.5,"134510000"
"1749",2015-12-14,17368.5,17277.11,17378.02,17138.47,"142540000"
"1750",2015-12-15,17524.91,17374.78,17627.63,17341.18,"123430000"
"1751",2015-12-16,17749.09,17530.85,17784.36,17483.68,"123790000"
"1752",2015-12-17,17495.84,17756.54,17796.76,17493.5,"115780000"
"1753",2015-12-18,17128.55,17495.04,17496.58,17124.31,"344560000"
"1754",2015-12-21,17251.62,17154.94,17272.36,17116.73,"114910000"
"1755",2015-12-22,17417.27,17253.55,17451.11,17242.86,"91570000"
"1756",2015-12-23,17602.61,17427.63,17607.92,17427.63,"92820000"
"1757",2015-12-24,17552.17,17593.26,17606.34,17543.95,"40350000"
"1758",2015-12-28,17528.27,17535.66,17536.9,17437.34,"59770000"
"1759",2015-12-29,17720.98,17547.37,17750.02,17547.37,"69860000"
"1760",2015-12-30,17603.87,17711.94,17714.13,17588.87,"59760000"
"1761",2015-12-31,17425.03,17590.66,17590.66,17421.16,"93690000"
"1762",2016-01-04,17148.94,17405.48,17405.48,16957.63,"148060000"
"1763",2016-01-05,17158.66,17147.5,17195.84,17038.61,"105750000"
"1764",2016-01-06,16906.51,17154.83,17154.83,16817.62,"120250000"
"1765",2016-01-07,16514.1,16888.36,16888.36,16463.63,"176240000"
"1766",2016-01-08,16346.45,16519.17,16651.89,16314.57,"141850000"
"1767",2016-01-11,16398.57,16358.71,16461.85,16232.03,"127800000"
"1768",2016-01-12,16516.22,16419.11,16591.35,16322.07,"117480000"
"1769",2016-01-13,16151.41,16526.63,16593.51,16123.2,"153520000"
"1770",2016-01-14,16379.05,16159.01,16482.05,16075.12,"158820000"
"1771",2016-01-15,15988.08,16354.33,16354.33,15842.11,"239220000"
"1772",2016-01-19,16016.02,16009.45,16171.96,15900.25,"144360000"
"1773",2016-01-20,15766.74,15989.45,15989.45,15450.56,"191870000"
"1774",2016-01-21,15882.68,15768.87,16038.59,15704.66,"145140000"
"1775",2016-01-22,16093.51,15921.1,16136.79,15921.1,"145860000"
"1776",2016-01-25,15885.22,16086.46,16086.46,15880.15,"123250000"
"1777",2016-01-26,16167.23,15893.16,16185.79,15893.16,"118210000"
"1778",2016-01-27,15944.46,16168.74,16235.03,15878.3,"138350000"
"1779",2016-01-28,16069.64,15960.28,16102.14,15863.72,"130120000"
"1780",2016-01-29,16466.3,16090.26,16466.3,16090.26,"217940000"
"1781",2016-02-01,16449.18,16453.63,16510.98,16299.47,"114450000"
"1782",2016-02-02,16153.54,16420.21,16420.21,16108.44,"126210000"
"1783",2016-02-03,16336.66,16186.2,16381.69,15960.45,"141870000"
"1784",2016-02-04,16416.58,16329.67,16485.84,16266.16,"131490000"
"1785",2016-02-05,16204.97,16417.95,16423.63,16129.81,"139010000"
"1786",2016-02-08,16027.05,16147.51,16147.51,15803.55,"165880000"
"1787",2016-02-09,16014.38,16005.41,16136.62,15881.11,"127740000"
"1788",2016-02-10,15914.74,16035.61,16201.89,15899.91,"122290000"
"1789",2016-02-11,15660.18,15897.82,15897.82,15503.01,"172070000"
"1790",2016-02-12,15973.84,15691.62,15974.04,15691.62,"132550000"
"1791",2016-02-16,16196.41,16012.39,16196.41,16012.39,"142030000"
"1792",2016-02-17,16453.83,16217.98,16486.12,16217.98,"124090000"
"1793",2016-02-18,16413.43,16483.76,16511.84,16390.43,"104950000"
"1794",2016-02-19,16391.99,16410.96,16410.96,16278,"134340000"
"1795",2016-02-22,16620.66,16417.13,16664.24,16417.13,"102240000"
"1796",2016-02-23,16431.78,16610.39,16610.39,16403.53,"98170000"
"1797",2016-02-24,16484.99,16418.84,16507.39,16165.86,"93620000"
"1798",2016-02-25,16697.29,16504.38,16697.98,16458.42,"94120000"
"1799",2016-02-26,16639.97,16712.7,16795.98,16623.91,"98480000"
"1800",2016-02-29,16516.5,16634.15,16726.12,16510.4,"126220000"
"1801",2016-03-01,16865.08,16545.67,16865.56,16545.67,"105050000"
"1802",2016-03-02,16899.32,16851.17,16900.17,16766.32,"104470000"
"1803",2016-03-03,16943.9,16896.17,16944.31,16820.73,"91110000"
"1804",2016-03-04,17006.77,16945,17062.38,16898.84,"106910000"
"1805",2016-03-07,17073.95,16991.29,17099.25,16940.48,"100290000"
"1806",2016-03-08,16964.1,17050.67,17072.79,16921.51,"108380000"
"1807",2016-03-09,17000.36,16969.17,17048.5,16947.94,"116690000"
"1808",2016-03-10,16995.13,17006.05,17130.11,16821.86,"117570000"
"1809",2016-03-11,17213.31,17014.99,17220.09,17014.99,"123430000"
"1810",2016-03-14,17229.13,17207.49,17275.07,17161.16,"96350000"
"1811",2016-03-15,17251.53,17217.15,17251.7,17120.35,"92830000"
"1812",2016-03-16,17325.76,17249.34,17379.18,17204.07,"118710000"
"1813",2016-03-17,17481.49,17321.38,17529.01,17297.65,"117990000"
"1814",2016-03-18,17602.3,17481.49,17620.58,17481.49,"321230000"
"1815",2016-03-21,17623.87,17589.7,17644.97,17551.28,"84410000"
"1816",2016-03-22,17582.57,17602.71,17648.94,17540.42,"95450000"
"1817",2016-03-23,17502.59,17588.81,17588.81,17486.27,"84240000"
"1818",2016-03-24,17515.73,17485.33,17517.14,17399.01,"84100000"
"1819",2016-03-28,17535.39,17526.08,17583.81,17493.03,"70460000"
"1820",2016-03-29,17633.11,17512.58,17642.81,17434.27,"86160000"
"1821",2016-03-30,17716.66,17652.36,17790.11,17652.36,"79330000"
"1822",2016-03-31,17685.09,17716.05,17755.7,17669.72,"102600000"
"1823",2016-04-01,17792.75,17661.74,17811.48,17568.02,"104890000"
"1824",2016-04-04,17737,17799.39,17806.38,17710.67,"85230000"
"1825",2016-04-05,17603.32,17718.03,17718.03,17579.56,"115230000"
"1826",2016-04-06,17716.05,17605.45,17723.55,17542.54,"99410000"
"1827",2016-04-07,17541.96,17687.28,17687.28,17484.23,"90120000"
"1828",2016-04-08,17576.96,17555.39,17694.51,17528.16,"79990000"
"1829",2016-04-11,17556.41,17586.48,17731.63,17555.9,"107100000"
"1830",2016-04-12,17721.25,17571.34,17744.43,17553.57,"81020000"
"1831",2016-04-13,17908.28,17741.66,17918.35,17741.66,"91710000"
"1832",2016-04-14,17926.43,17912.25,17962.14,17885.44,"84510000"
"1833",2016-04-15,17897.46,17925.95,17937.65,17867.41,"118160000"
