"","Nikkei 225 (N225)_history.csv Date","Nikkei 225 (N225)_history.csv Price","Nikkei 225 (N225)_history.csv Open","Nikkei 225 (N225)_history.csv High","Nikkei 225 (N225)_history.csv Low","Nikkei 225 (N225)_history.csv Volume"
"990",2013-01-21,10747.74,10941.45,10941.45,10747.74,"207320"
"991",2013-01-22,10709.93,10765.1,10859.42,10615.2,"248090"
"992",2013-01-23,10486.99,10575.6,10663.09,10486.99,"198800"
"993",2013-01-24,10620.87,10441.11,10634.74,10441.11,"211150"
"994",2013-01-25,10926.65,10797.3,10926.65,10790.95,"220590"
"995",2013-01-28,10824.31,11002.86,11002.86,10824.31,"198280"
"996",2013-01-29,10866.72,10751.01,10937.63,10751.01,"238460"
"997",2013-01-30,11113.95,10913.97,11113.95,10905.64,"202810"
"998",2013-01-31,11138.66,11057.5,11145.38,11007.77,"275720"
"999",2013-02-01,11191.34,11193.72,11237.84,11142.26,"278250"
"1000",2013-02-04,11260.35,11254.16,11285.49,11194.74,"354110"
"1001",2013-02-05,11046.92,11105.24,11170.85,11046.92,"385150"
"1002",2013-02-06,11463.75,11236.7,11498.42,11232.05,"353430"
"1003",2013-02-07,11357.07,11406.32,11446.81,11295.62,"404320"
"1004",2013-02-08,11153.16,11179.97,11299.71,11135.89,"328050"
"1005",2013-02-12,11369.12,11346.72,11460.64,11343.44,"301150"
"1006",2013-02-13,11251.41,11333.72,11365.27,11196.66,"275330"
"1007",2013-02-14,11307.28,11273.4,11356.54,11243.49,"280060"
"1008",2013-02-15,11173.83,11239.21,11261.58,11065.06,"346210"
"1009",2013-02-18,11407.87,11318.22,11445.46,11308.83,"238310"
"1010",2013-02-19,11372.34,11336.45,11412.86,11336.45,"189930"
"1011",2013-02-20,11468.28,11485.65,11510.52,11440.1,"201970"
"1012",2013-02-21,11309.13,11404.73,11442.11,11301.77,"196270"
"1013",2013-02-22,11385.94,11238.75,11390.65,11175.67,"247910"
"1014",2013-02-25,11662.52,11564.55,11662.52,11562.1,"240890"
"1015",2013-02-26,11398.81,11449.66,11520.24,11374.83,"267950"
"1016",2013-02-27,11253.97,11418.56,11419.62,11253.97,"193230"
