"","Nifty 50 (NSEI)_history.csv Date","Nifty 50 (NSEI)_history.csv Price","Nifty 50 (NSEI)_history.csv Open","Nifty 50 (NSEI)_history.csv High","Nifty 50 (NSEI)_history.csv Low","Nifty 50 (NSEI)_history.csv Volume"
"925",2012-09-20,5554.25,5536.95,5581.35,5534.9,"165680000"
"926",2012-09-21,5691.15,5577,5720,5575.45,"278020000"
"927",2012-09-24,5669.6,5691.95,5709.85,5662.75,"210420000"
"928",2012-09-25,5673.9,5674.9,5702.7,5652.45,"341390000"
"929",2012-09-26,5663.45,5653.4,5672.8,5638.65,"170770000"
"930",2012-09-27,5649.5,5673.75,5693.7,5639.7,"238990000"
"931",2012-09-28,5703.3,5684.8,5735.15,5683.45,"173260000"
"932",2012-10-01,5718.8,5704.75,5722.95,5694,"128040000"
"933",2012-10-03,5731.25,5727.7,5743.25,5715.8,"173220000"
"934",2012-10-04,5787.6,5751.55,5807.25,5751.35,"179190000"
"935",2012-10-05,5746.95,5815,5815.35,4888.2,"255570000"
"936",2012-10-08,5676,5751.85,5751.85,5666.2,"142320000"
"937",2012-10-09,5704.6,5708.15,5728.65,5677.9,"119300000"
"938",2012-10-10,5652.15,5671.15,5686.5,5647.05,"126290000"
"939",2012-10-11,5708.05,5663.5,5721.1,5636.95,"148280000"
"940",2012-10-12,5676.05,5681.7,5725,5659.35,"130080000"
"941",2012-10-15,5687.25,5674.25,5693.7,5651.05,"93690000"
"942",2012-10-16,5648,5705.6,5714,5635.6,"117420000"
"943",2012-10-17,5660.25,5681.1,5684.35,5633.9,"123970000"
"944",2012-10-18,5718.7,5675.3,5722.5,5650.55,"144100000"
"945",2012-10-19,5684.25,5703.3,5711.7,5660,"124260000"
"946",2012-10-22,5717.15,5667.6,5721.55,5658.05,"103370000"
"947",2012-10-23,5691.4,5715.65,5720.8,5681.45,"81500000"
"948",2012-10-25,5705.3,5688.8,5718.75,5685.7,"158340000"
"949",2012-10-26,5664.3,5683.55,5697.2,5641.75,"101660000"
"950",2012-10-29,5665.6,5665.2,5698.3,5645.1,"93560000"
"951",2012-10-30,5597.9,5656.35,5689.9,5589.9,"116680000"
"952",2012-10-31,5619.7,5596.75,5624.4,5583.05,"112080000"
"953",2012-11-01,5645.05,5609.85,5649.75,5601.95,"107390000"
"954",2012-11-02,5697.7,5696.35,5711.3,5682.55,"111160000"
"955",2012-11-05,5704.2,5693.05,5709.2,5679.5,"74830000"
"956",2012-11-06,5724.4,5694.1,5730.8,5693.65,"115020000"
"957",2012-11-07,5760.1,5718.6,5777.3,5711.4,"133740000"
"958",2012-11-08,5738.75,5709,5744.5,5693.95,"117590000"
"959",2012-11-09,5686.25,5731.1,5751.7,5677.75,"98760000"
"960",2012-11-12,5683.7,5688.45,5718.9,5665.75,"92700000"
"961",2012-11-13,5666.95,5689.7,5698.25,5660.35,"16520000"
"962",2012-11-15,5631,5650.35,5651.65,5603.55,"133980000"
"963",2012-11-16,5574.05,5624.8,5650.15,5559.8,"121900000"
"964",2012-11-19,5571.4,5577.3,5592.75,5549.25,"106990000"
"965",2012-11-20,5571.55,5604.8,5613.7,5548.35,"107480000"
"966",2012-11-21,5614.8,5582.5,5620.2,5561.4,"105150000"
"967",2012-11-22,5627.75,5628.6,5643.35,5608,"94060000"
"968",2012-11-23,5626.6,5635.45,5637.75,5593.55,"85080000"
"969",2012-11-26,5635.9,5648.65,5649.2,5623.45,"79290000"
"970",2012-11-27,5727.45,5658.5,5733.2,5658,"134410000"
"971",2012-11-29,5825,5736.7,5833.5,5736.1,"207300000"
"972",2012-11-30,5879.85,5836,5885.25,5827.85,"257050000"
"973",2012-12-03,5870.95,5878.25,5899.15,5854.6,"113420000"
"974",2012-12-04,5889.25,5866.8,5894.95,5859,"131020000"
"975",2012-12-05,5900.5,5906.6,5917.8,5891.35,"139650000"
"976",2012-12-06,5930.9,5926.3,5942.55,5838.9,"140270000"
"977",2012-12-07,5907.4,5934,5949.85,5888.65,"127610000"
"978",2012-12-10,5908.9,5916.05,5919.95,5888.1,"95980000"
"979",2012-12-11,5898.8,5923.8,5965.15,5865.45,"137420000"
"980",2012-12-12,5888,5917.8,5924.6,5874.25,"132670000"
"981",2012-12-13,5851.5,5900.35,5907.45,5841.35,"136620000"
"982",2012-12-14,5879.6,5846.9,5886.1,5839.15,"115160000"
"983",2012-12-17,5857.9,5860.5,5886.05,5850.15,"109550000"
"984",2012-12-18,5896.8,5873.6,5905.8,5823.15,"148910000"
"985",2012-12-19,5929.6,5917.3,5939.4,5910.8,"149440000"
"986",2012-12-20,5916.4,5934.45,5937.6,5881.45,"123910000"
"987",2012-12-21,5847.7,5888,5888,5841.65,"141150000"
"988",2012-12-24,5855.75,5869,5871.9,5844.7,"85340000"
"989",2012-12-26,5905.6,5864.95,5917.3,5859.55,"83870000"
"990",2012-12-27,5870.1,5930.2,5930.8,5864.7,"139610000"
"991",2012-12-28,5908.35,5887.15,5915.75,5879.5,"89670000"
"992",2012-12-31,5905.1,5901.2,5919,5897.15,"64810000"
"993",2013-01-01,5950.85,5937.65,5963.9,5935.2,"77900000"
"994",2013-01-02,5993.25,5982.6,6006.05,5982,"116060000"
"995",2013-01-03,6009.5,6015.8,6017,5986.55,"99990000"
"996",2013-01-04,6016.15,6011.95,6020.75,5981.55,"113230000"
"997",2013-01-07,5988.4,6042.15,6042.15,5977.15,"110250000"
"998",2013-01-08,6001.7,5983.45,6007.05,5964.4,"109940000"
"999",2013-01-09,5971.5,6006.2,6020.1,5958.45,"129640000"
"1000",2013-01-10,5968.65,5998.8,6005.15,5947.3,"129770000"
"1001",2013-01-11,5951.3,6012.4,6018.85,5940.6,"128020000"
"1002",2013-01-14,6024.05,5967.2,6036.9,5962.15,"134710000"
"1003",2013-01-15,6056.6,6037.85,6068.5,6018.6,"138360000"
"1004",2013-01-16,6001.85,6049,6055.95,5992.05,"128990000"
"1005",2013-01-17,6039.2,6001.25,6053.2,5988.1,"178960000"
"1006",2013-01-18,6064.4,6059.85,6083.4,6048.3,"186460000"
"1007",2013-01-21,6082.3,6085.75,6094.35,6065.1,"130870000"
"1008",2013-01-22,6048.5,6080.15,6101.3,6040.5,"129040000"
"1009",2013-01-23,6054.3,6052.85,6069.8,6021.15,"136990000"
"1010",2013-01-24,6019.35,6046.2,6065.3,6007.85,"185210000"
"1011",2013-01-25,6074.65,6024.5,6080.55,6014.45,"147590000"
"1012",2013-01-28,6074.8,6082.1,6088.4,6061.4,"113110000"
"1013",2013-01-29,6049.9,6064.7,6111.8,6042.45,"157550000"
"1014",2013-01-30,6055.75,6065,6071.95,6044.15,"124220000"
"1015",2013-01-31,6034.75,6045.65,6058.05,6025.15,"168520000"
"1016",2013-02-01,5998.9,6040.95,6052.95,5983.2,"159270000"
"1017",2013-02-04,5987.25,6025.2,6038.5,5981.25,"141740000"
"1018",2013-02-05,5956.9,5948.2,5970.35,5946.9,"136230000"
"1019",2013-02-06,5959.2,5988.05,5990.9,5953.15,"157820000"
"1020",2013-02-07,5938.8,5936.45,5978.5,5927.6,"157650000"
"1021",2013-02-08,5903.5,5929.1,5953.7,5883.65,"192610000"
"1022",2013-02-11,5897.85,5920.05,5924.15,5879.1,"121960000"
"1023",2013-02-12,5922.5,5894.35,5927.65,5886.45,"142840000"
"1024",2013-02-13,5932.95,5943.15,5969.5,5922.95,"142640000"
"1025",2013-02-14,5896.95,5933.2,5940.2,5884.55,"143830000"
"1026",2013-02-15,5887.4,5869.95,5899.95,5853.9,"125090000"
"1027",2013-02-18,5898.2,5888.65,5911,5878.45,"114280000"
"1028",2013-02-19,5939.7,5900.2,5947.55,5883.15,"100990000"
"1029",2013-02-20,5943.05,5966.3,5971,5937.55,"135350000"
"1030",2013-02-21,5852.25,5909.65,5921.15,5844.4,"159400000"
"1031",2013-02-22,5850.3,5837.95,5873.8,5835.8,"157050000"
"1032",2013-02-25,5854.75,5870.55,5878.4,5825,"125130000"
"1033",2013-02-26,5761.35,5838.3,5838.85,5748.6,"157360000"
"1034",2013-02-27,5796.9,5784.9,5818.2,5749.7,"175170000"
"1035",2013-02-28,5693.05,5834.35,5849.9,5671.9,"334850000"
"1036",2013-03-01,5719.7,5702.45,5739.45,5679.9,"174520000"
"1037",2013-03-04,5698.5,5704.7,5712,5663.6,"144890000"
"1038",2013-03-05,5784.25,5722.45,5790.1,5722.4,"154410000"
"1039",2013-03-06,5818.6,5816.4,5828.7,5795.05,"156900000"
"1040",2013-03-07,5863.3,5801.3,5878,5801.3,"134680000"
"1041",2013-03-08,5945.7,5883.65,5952.85,5883,"150780000"
"1042",2013-03-11,5942.35,5946.1,5971.2,5930.35,"125390000"
"1043",2013-03-12,5914.1,5944.6,5952,5893.65,"115940000"
"1044",2013-03-13,5851.2,5884.8,5893.85,5842.25,"116710000"
"1045",2013-03-14,5908.95,5845.95,5920.15,5791.75,"149010000"
"1046",2013-03-15,5872.6,5914.9,5945.65,5861,"152160000"
"1047",2013-03-18,5835.25,5816.75,5850.2,5814.35,"102660000"
"1048",2013-03-19,5745.95,5859.5,5863.6,5724.3,"182310000"
"1049",2013-03-20,5694.4,5740.55,5745.3,5682.3,"187620000"
"1050",2013-03-21,5658.75,5705.9,5757.75,5647.95,"179180000"
"1051",2013-03-22,5651.35,5659.8,5691.45,5631.8,"165290000"
"1052",2013-03-25,5633.85,5707.3,5718.4,5624.4,"150390000"
