Date;Price;Open;High;Low;Vol.;Change %
Apr 26, 2011;13,909.10;13,896.75;13,926.15;13,871.24;193.03M;0.01%
Apr 27, 2011;13,892.57;13,941.08;13,942.95;13,770.81;244.52M;-0.12%
Apr 28, 2011;13,894.40;13,891.57;13,936.68;13,848.32;175.47M;0.01%
Apr 29, 2011;13,944.79;13,872.20;13,945.70;13,861.43;197.82M;0.36%
May 02, 2011;13,934.51;13,944.79;14,089.10;13,893.01;15.91M;-0.07%
May 03, 2011;13,692.37;13,912.23;13,931.73;13,618.76;24.58M;-1.74%
May 04, 2011;13,611.32;13,676.53;13,694.34;13,499.77;214.50M;-0.59%
May 05, 2011;13,455.38;13,521.73;13,606.90;13,415.95;235.27M;-1.15%
May 06, 2011;13,566.60;13,513.23;13,615.47;13,456.57;208.96M;0.83%
May 09, 2011;13,677.13;13,628.29;13,678.90;13,561.40;175.74M;0.81%
May 10, 2011;13,642.06;13,702.98;13,690.71;13,632.49;168.17M;-0.26%
May 11, 2011;13,419.74;13,597.18;13,641.68;13,386.94;221.13M;-1.63%
May 12, 2011;13,389.42;13,340.64;13,440.80;13,264.80;270.59M;-0.23%
May 13, 2011;13,377.16;13,424.72;13,439.94;13,341.40;171.97M;-0.09%
May 16, 2011;13,391.35;13,360.60;13,519.19;13,337.96;184.64M;0.11%
May 17, 2011;13,441.06;13,368.69;13,472.79;13,348.97;225.33M;0.37%
May 18, 2011;13,607.25;13,513.61;13,646.26;13,446.32;214.28M;1.24%
May 19, 2011;13,625.09;13,624.20;13,646.76;13,566.94;205.30M;0.13%
May 20, 2011;13,652.27;13,591.37;13,682.94;13,537.60;202.87M;0.20%
May 24, 2011;13,595.12;13,631.70;13,691.09;13,584.45;200.12M;-0.42%
May 25, 2011;13,751.47;13,578.22;13,768.23;13,582.79;173.71M;1.15%
May 26, 2011;13,775.90;13,692.86;13,775.90;13,671.03;228.21M;0.18%
May 27, 2011;13,797.59;13,777.50;13,856.49;13,781.73;254.04M;0.16%
May 30, 2011;13,829.66;13,810.57;13,856.15;13,796.21;86.70M;0.23%
May 31, 2011;13,802.88;13,892.06;13,901.56;13,737.57;275.44M;-0.19%
Jun 01, 2011;13,527.88;13,806.13;13,823.43;13,527.88;222.84M;-1.99%
Jun 02, 2011;13,519.50;13,555.87;13,622.68;13,457.87;188.48M;-0.06%
Jun 03, 2011;13,517.91;13,388.86;13,532.52;13,365.42;182.50M;-0.01%
Jun 06, 2011;13,318.66;13,517.49;13,538.12;13,284.64;157.09M;-1.47%
Jun 07, 2011;13,282.92;13,320.07;13,392.01;13,272.92;195.37M;-0.27%
Jun 08, 2011;13,183.79;13,223.57;13,288.73;13,161.36;225.59M;-0.75%
Jun 09, 2011;13,255.74;13,202.51;13,266.67;13,164.81;206.09M;0.55%
Jun 10, 2011;13,084.00;13,179.58;13,242.72;13,008.75;164.13M;-1.30%
Jun 13, 2011;12,939.72;13,050.24;13,085.75;12,906.38;172.66M;-1.10%
Jun 14, 2011;13,097.82;13,004.29;13,122.37;12,947.65;223.18M;1.22%
Jun 15, 2011;12,972.03;13,012.12;13,082.26;12,938.38;205.17M;-0.96%
Jun 16, 2011;12,853.13;12,964.00;12,994.81;12,834.64;209.64M;-0.92%
Jun 17, 2011;12,789.95;12,852.48;12,948.75;12,789.95;346.48M;-0.49%
Jun 20, 2011;12,857.70;12,788.96;12,872.84;12,763.54;197.59M;0.53%
Jun 21, 2011;13,063.32;12,901.44;13,085.36;12,860.65;277.60M;1.60%
Jun 22, 2011;13,060.56;13,050.02;13,160.90;13,041.74;226.69M;-0.02%
Jun 23, 2011;12,979.58;12,928.22;13,060.56;12,838.81;210.39M;-0.62%
Jun 24, 2011;12,908.89;13,017.61;13,014.22;12,893.80;143.88M;-0.54%
Jun 27, 2011;12,966.49;12,886.00;12,974.79;12,858.37;162.64M;0.45%
Jun 28, 2011;13,104.98;12,996.86;13,112.04;12,966.49;179.19M;1.07%
Jun 29, 2011;13,188.94;13,155.68;13,233.76;13,069.45;200.24M;0.64%
Jun 30, 2011;13,300.87;13,219.51;13,301.68;13,189.56;190.15M;0.85%
Jul 04, 2011;13,386.49;13,315.42;13,413.96;13,297.68;104.95M;0.64%
Jul 05, 2011;13,425.30;13,423.79;13,474.10;13,395.70;244.40M;0.29%
Jul 06, 2011;13,403.10;13,450.90;13,454.97;13,371.28;225.54M;-0.17%
Jul 07, 2011;13,406.00;13,459.56;13,474.89;13,396.46;169.60M;0.02%
