"","CSE All-Share (CSE)_history.csv Date","CSE All-Share (CSE)_history.csv Price","CSE All-Share (CSE)_history.csv Open","CSE All-Share (CSE)_history.csv High","CSE All-Share (CSE)_history.csv Low","CSE All-Share (CSE)_history.csv Volume"
"1443",2014-12-11,7243.34,7255.04,7273.34,7227.3,"22580000"
"1444",2014-12-12,7236.37,7242.05,7245.27,7229.67,"15120000"
"1445",2014-12-15,7230.26,7236.61,7236.87,7221.35,"25740000"
"1446",2014-12-16,7223.56,7230.37,7236.41,7221.49,"26770000"
"1447",2014-12-17,7199.73,7223.47,7227.11,7191.07,"28820000"
"1448",2014-12-18,7230.52,7197.74,7231.96,7196.76,"59760000"
"1449",2014-12-19,7252.6,7230.58,7267.23,7230.22,"67800000"
"1450",2014-12-22,7251.57,7255.83,7269.12,7251.57,"38340000"
"1451",2014-12-23,7238.05,7250.87,7257.92,7221.85,"40410000"
"1452",2014-12-24,7263.25,7239.08,7263.25,7238.05,"32700000"
"1453",2014-12-26,7309.03,7263.61,7309.03,7262.33,"15480000"
"1454",2014-12-29,7287.59,7310.63,7310.71,7275.21,"16500000"
"1455",2014-12-30,7291.33,7297.05,7297.71,7282.41,"30940000"
"1456",2014-12-31,7298.95,7290.57,7299.84,7270.32,"45260000"
"1457",2015-01-02,7348.39,7300.29,7351.65,7298.95,"39560000"
"1458",2015-01-06,7420.14,7347.63,7422.12,7347.44,"78820000"
"1459",2015-01-07,7438.52,7423.77,7450.72,7420.14,"56490000"
"1460",2015-01-08,7497.6,7441.58,7506.26,7438.52,"65790000"
"1461",2015-01-09,7605.79,7521.67,7614.17,7497.6,"178380000"
"1462",2015-01-12,7566.7,7618.62,7670.98,7566.7,"102890000"
"1463",2015-01-13,7549.85,7569.13,7590.15,7549.85,"30030000"
"1464",2015-01-16,7513.86,7516.78,7550.36,7502.64,"26300000"
"1465",2015-01-19,7366.68,7512.98,7530.91,7366.68,"56950000"
"1466",2015-01-20,7368.5,7368.09,7403.08,7362.39,"27900000"
"1467",2015-01-21,7324.4,7367.16,7375.08,7314.4,"29770000"
"1468",2015-01-22,7329.59,7317.24,7329.59,7223.92,"49140000"
"1469",2015-01-23,7276.63,7335.82,7356.13,7276.63,"32180000"
"1470",2015-01-26,7316.08,7275.07,7325.21,7263.79,"16160000"
"1471",2015-01-27,7367.65,7319.03,7373.15,7316.08,"46750000"
"1472",2015-01-28,7395.29,7368.49,7410.6,7367.65,"43370000"
"1473",2015-01-29,7376.51,7398.5,7406.16,7374.35,"36140000"
"1474",2015-01-30,7180.05,7308.17,7376.51,7163.61,"77730000"
"1475",2015-02-02,7000.06,7180.49,7190.73,7000.06,"47210000"
"1476",2015-02-05,7047.31,7013.74,7048.84,7000.06,"39340000"
"1477",2015-02-06,7162.75,7052.6,7162.75,7047.31,"64370000"
"1478",2015-02-09,7198.44,7163.46,7201.3,7161.64,"37970000"
"1479",2015-02-10,7304.7,7196.34,7312.51,7196,"232480000"
"1480",2015-02-11,7359.41,7304.68,7367.33,7301.16,"78040000"
"1481",2015-02-12,7331.39,7356.56,7359.41,7311.54,"43410000"
"1482",2015-02-13,7335.51,7332.61,7341.94,7318.44,"45280000"
"1483",2015-02-16,7300.75,7341.48,7343.69,7300.75,"28430000"
"1484",2015-02-18,7266.84,7306.34,7308.2,7266.84,"26080000"
"1485",2015-02-19,7306.17,7277.26,7306.17,7266.84,"57520000"
"1486",2015-02-20,7314.91,7305.92,7324.15,7303.52,"33920000"
"1487",2015-02-23,7326.31,7315.44,7330.34,7306.37,"27970000"
"1488",2015-02-24,7311.29,7329.04,7336.62,7305.89,"48860000"
"1489",2015-02-25,7304.61,7320.49,7330.49,7298.46,"57920000"
"1490",2015-02-26,7317.44,7305.39,7321.24,7299.88,"31390000"
"1491",2015-02-27,7301.29,7318.9,7323.92,7294.2,"31480000"
"1492",2015-03-02,7244.4,7301.27,7310.41,7225.15,"29050000"
"1493",2015-03-03,7234.92,7246.88,7269.86,7234.92,"36120000"
"1494",2015-03-04,7202.2,7233.08,7235.72,7199.52,"25330000"
"1495",2015-03-06,7183.5,7201.09,7206.78,7183.5,"40710000"
"1496",2015-03-09,7136.33,7183.48,7183.5,7135.37,"35580000"
"1497",2015-03-10,7130.05,7135.97,7153.21,7125.58,"32730000"
"1498",2015-03-11,7110.19,7132.52,7142.34,7104.26,"23040000"
"1499",2015-03-12,7109.07,7109.99,7131.14,7106.36,"36280000"
"1500",2015-03-13,7091.25,7109.23,7115.89,7091.25,"20520000"
"1501",2015-03-16,7109.07,7109.99,7131.14,7106.36,"36280000"
"1502",2015-03-17,7057,7050.28,7065.5,7046.91,"40960000"
"1503",2015-03-18,7043.9,7051.97,7070.86,7037.77,"34420000"
"1504",2015-03-19,7046.7,7042.43,7061.59,7042.43,"23660000"
"1505",2015-03-20,7054.58,7047.33,7056.3,7025,"18710000"
"1506",2015-03-23,7042.3,7059.84,7076.37,7042.3,"20410000"
"1507",2015-03-24,6997.93,7041.62,7045.19,6994.1,"18570000"
"1508",2015-03-25,6973.03,6998.34,7008.74,6965.8,"86380000"
"1509",2015-03-26,6922.83,6973.21,6980.86,6922.83,"22390000"
"1510",2015-03-27,6873.52,6921.35,6936.62,6873.52,"15390000"
"1511",2015-03-30,6782.43,6873.44,6879.12,6780.39,"27180000"
