"","Hang Seng (HSI)_history.csv Date","Hang Seng (HSI)_history.csv Price","Hang Seng (HSI)_history.csv Open","Hang Seng (HSI)_history.csv High","Hang Seng (HSI)_history.csv Low","Hang Seng (HSI)_history.csv Volume"
"1484",2014-12-22,23408.57,23264.05,23478.9,23264.05,"3e+09"
"1485",2014-12-23,23333.69,23423.33,23495.62,23269.43,"1.76e+09"
"1486",2014-12-24,23349.34,23290.42,23421.1,23290.42,"740670000"
"1487",2014-12-29,23773.18,23694.53,23867.46,23694.53,"2.13e+09"
"1488",2014-12-30,23501.1,23853.13,23853.13,23442.55,"1.77e+09"
"1489",2014-12-31,23605.04,23480.81,23632.35,23464.25,"1.05e+09"
"1490",2015-01-02,23857.82,23683.63,23867.46,23635.6,"1.8e+09"
"1491",2015-01-05,23721.32,23699.19,23998.87,23655.52,"2.59e+09"
"1492",2015-01-06,23485.41,23515.13,23611,23312.5,"2.62e+09"
"1493",2015-01-07,23681.26,23396.7,23715.71,23332.03,"2.18e+09"
"1494",2015-01-08,23835.53,23920.35,23941.64,23719.05,"2.01e+09"
"1495",2015-01-09,23919.95,24049.7,24169.06,23859.49,"2.33e+09"
"1496",2015-01-12,24026.46,24118.59,24118.59,23905.01,"1.41e+09"
"1497",2015-01-13,24215.97,23908.23,24254.11,23908.23,"1.39e+09"
"1498",2015-01-14,24112.6,24276.33,24326.7,24056.22,"1.51e+09"
"1499",2015-01-15,24350.91,24169.35,24369,24070.39,"1.75e+09"
"1500",2015-01-16,24103.52,24196.85,24253.09,24086.21,"1.72e+09"
"1501",2015-01-19,23738.49,23971.23,24049.55,23590.05,"3.04e+09"
"1502",2015-01-20,23951.16,23798.46,23997.31,23747.92,"1.63e+09"
"1503",2015-01-21,24352.58,24036.41,24373.28,24016.63,"1.9e+09"
"1504",2015-01-22,24522.63,24480.02,24589.62,24438.98,"1.73e+09"
"1505",2015-01-23,24850.45,24807.36,24896.22,24726.77,"2.45e+09"
"1506",2015-01-26,24909.9,24907.19,24916.49,24761.55,"1.36e+09"
"1507",2015-01-27,24807.28,24995.08,24995.08,24672.76,"1.71e+09"
"1508",2015-01-28,24861.81,24799.98,24983.89,24716.68,"1.4e+09"
"1509",2015-01-29,24595.85,24645.2,24739.22,24524.18,"1.92e+09"
"1510",2015-01-30,24507.05,24771.37,24771.37,24450.05,"1.48e+09"
"1511",2015-02-02,24484.74,24347.27,24506.81,24324.37,"1.62e+09"
"1512",2015-02-03,24554.78,24542.49,24602.6,24327.51,"1.55e+09"
"1513",2015-02-04,24679.76,24750.76,24824.58,24642.5,"1.84e+09"
"1514",2015-02-05,24765.49,25048.26,25048.26,24642.81,"2.42e+09"
"1515",2015-02-06,24679.39,24843.2,24843.2,24645.76,"1.44e+09"
"1516",2015-02-09,24521,24529.55,24657.87,24449.48,"1.33e+09"
"1517",2015-02-10,24528.1,24475.04,24583.79,24422.85,"1.06e+09"
"1518",2015-02-11,24315.02,24512.62,24551.74,24266.68,"1.3e+09"
"1519",2015-02-12,24422.15,24377.59,24514.49,24226.29,"1.47e+09"
"1520",2015-02-13,24682.54,24535.66,24702.54,24521.13,"1.34e+09"
"1521",2015-02-16,24726.53,24717.49,24771.6,24687.15,"955270000"
"1522",2015-02-17,24784.88,24653.88,24855.75,24653.88,"822900000"
"1523",2015-02-18,24832.08,24836.05,24871.79,24806.06,"975870000"
"1524",2015-02-23,24836.76,24916.24,24916.24,24664.68,"1.05e+09"
"1525",2015-02-24,24750.07,24776.72,24808.3,24673.93,"1.11e+09"
"1526",2015-02-25,24778.28,24822.28,24869.37,24691.78,"1.43e+09"
"1527",2015-02-26,24902.06,24718.28,24998.64,24709.56,"1.86e+09"
"1528",2015-02-27,24823.29,24902.61,25101.96,24815.03,"1.55e+09"
"1529",2015-03-02,24887.44,24996.76,24997.83,24715.38,"1.59e+09"
"1530",2015-03-03,24702.78,24984.62,24984.62,24663.43,"1.55e+09"
"1531",2015-03-04,24465.38,24656.94,24705.96,24439.29,"1.62e+09"
"1532",2015-03-05,24193.04,24274.9,24393.85,24133.71,"1.92e+09"
"1533",2015-03-06,24164,24235.76,24294.36,24126.09,"1.62e+09"
"1534",2015-03-09,24123.05,23982.5,24205.86,23910.16,"1.62e+09"
"1535",2015-03-10,23896.98,24150.68,24152.4,23869.82,"1.52e+09"
"1536",2015-03-11,23717.97,23807.1,23899.86,23703.84,"1.68e+09"
"1537",2015-03-12,23797.96,23709.17,23880.25,23677.06,"1.67e+09"
"1538",2015-03-13,23823.21,23808.97,23918.71,23790.83,"1.59e+09"
"1539",2015-03-16,23949.55,23771.4,23970.05,23711.27,"1.22e+09"
"1540",2015-03-17,23901.49,24106.47,24106.47,23822.78,"1.23e+09"
"1541",2015-03-18,24120.08,23938.63,24210.75,23938.63,"1.72e+09"
"1542",2015-03-19,24468.89,24325.56,24500.23,24248.84,"1.88e+09"
"1543",2015-03-20,24375.24,24417.53,24524.55,24351.5,"2.07e+09"
"1544",2015-03-23,24494.51,24538.34,24559.77,24436.42,"1.51e+09"
"1545",2015-03-24,24399.6,24484.68,24490.15,24294.95,"1.61e+09"
"1546",2015-03-25,24528.23,24410.53,24613.69,24377.92,"1.47e+09"
"1547",2015-03-26,24497.08,24442.51,24592.01,24399.84,"1.39e+09"
"1548",2015-03-27,24486.2,24541.44,24549.88,24420.47,"1.66e+09"
"1549",2015-03-30,24855.12,24727.46,24949.35,24725.52,"2.65e+09"
"1550",2015-03-31,24900.89,25113.2,25113.2,24876.37,"2.64e+09"
"1551",2015-04-01,25082.75,24955.2,25099.06,24926.11,"1.77e+09"
"1552",2015-04-02,25275.64,25214.33,25297.8,25152.57,"2.17e+09"
"1553",2015-04-08,26236.86,25708.24,26247.63,25640.04,"4.23e+09"
"1554",2015-04-09,26944.39,26913.28,27922.67,26732.23,"5.18e+09"
"1555",2015-04-10,27272.39,27373.68,27373.68,26812.75,"3.44e+09"
"1556",2015-04-13,28016.34,27374.33,28031.96,27304.12,"4.87e+09"
"1557",2015-04-14,27561.49,27688.26,27915.01,27483.45,"3.89e+09"
"1558",2015-04-15,27618.82,27693.25,27807.98,27442.52,"4.05e+09"
"1559",2015-04-16,27739.71,27557.29,27787.98,27470.1,"3.37e+09"
"1560",2015-04-17,27653.12,27808.24,27969.41,27597.68,"3.2e+09"
"1561",2015-04-20,27094.93,27770.79,27770.79,26959.77,"3.48e+09"
"1562",2015-04-21,27850.49,27404.15,27925.36,27404.15,"2.82e+09"
"1563",2015-04-22,27933.85,27821.32,28048.46,27727.86,"2.44e+09"
"1564",2015-04-23,27827.7,28112.38,28213.63,27804.03,"2.52e+09"
"1565",2015-04-24,28060.98,27978.39,28089.37,27591.57,"2.49e+09"
"1566",2015-04-27,28433.59,28245.14,28588.52,28245.14,"2.88e+09"
"1567",2015-04-28,28442.75,28448.22,28548.45,28251.99,"3.14e+09"
"1568",2015-04-29,28400.34,28453.1,28453.1,28201.76,"2.16e+09"
"1569",2015-04-30,28133,28289.14,28317.87,27997.9,"2.64e+09"
"1570",2015-05-04,28123.82,28231.26,28343.74,28017.2,"2.06e+09"
"1571",2015-05-05,27755.54,28295.72,28316.63,27598.17,"2.36e+09"
"1572",2015-05-06,27640.91,27698.1,28054.68,27570.41,"2.34e+09"
"1573",2015-05-07,27289.97,27567.62,27604.49,27207.28,"1.95e+09"
"1574",2015-05-08,27577.34,27557.52,27652.62,27367.11,"1.87e+09"
"1575",2015-05-11,27718.2,27837.04,27837.28,27582.23,"1.59e+09"
"1576",2015-05-12,27407.18,27664.18,27693.63,27395.91,"1.58e+09"
"1577",2015-05-13,27249.28,27473.5,27524.82,27191.03,"2.15e+09"
"1578",2015-05-14,27286.55,27395.92,27397.67,27192.93,"1.57e+09"
"1579",2015-05-15,27822.28,27459.58,27928.6,27315.1,"1.81e+09"
"1580",2015-05-18,27591.25,27792.44,27792.44,27435.57,"1.42e+09"
"1581",2015-05-19,27693.54,27597.07,27765.55,27500.76,"1.61e+09"
"1582",2015-05-20,27585.05,27751.44,27751.44,27490.33,"1.52e+09"
"1583",2015-05-21,27523.72,27507.32,27611.72,27393.31,"1.26e+09"
"1584",2015-05-22,27992.83,27723.67,28041.32,27696.97,"1.96e+09"
"1585",2015-05-26,28249.86,28462.32,28524.6,28237.49,"2.75e+09"
"1586",2015-05-27,28081.21,28214.66,28214.66,27982.14,"1.92e+09"
"1587",2015-05-28,27454.31,28162.25,28162.25,27242.11,"3.16e+09"
"1588",2015-05-29,27424.19,27398.28,27604.27,27255.89,"3.14e+09"
"1589",2015-06-01,27597.16,27373.06,27766.32,27241.95,"2.03e+09"
"1590",2015-06-02,27466.72,27473.45,27602.88,27348.13,"1.55e+09"
"1591",2015-06-03,27657.47,27716.34,27767.23,27508.84,"1.79e+09"
"1592",2015-06-04,27551.89,27645.36,27854.74,27094.5,"3.16e+09"
"1593",2015-06-05,27260.16,27538.06,27646.72,27211.36,"2.3e+09"
"1594",2015-06-08,27316.28,27147.24,27428.59,27060.24,"2.47e+09"
"1595",2015-06-09,26989.52,27295.88,27322.14,26971.57,"2.46e+09"
"1596",2015-06-10,26687.64,27052.79,27116.92,26573.96,"2.04e+09"
"1597",2015-06-11,26907.85,26938.15,26991.51,26839.43,"1.72e+09"
"1598",2015-06-12,27280.54,27082.6,27356.51,26987.52,"1.79e+09"
"1599",2015-06-15,26861.81,27095.18,27131.36,26841.52,"1.37e+09"
"1600",2015-06-16,26566.7,26807.67,26892.88,26553.04,"1.82e+09"
"1601",2015-06-17,26753.79,26671.2,26880.79,26555.96,"1.88e+09"
"1602",2015-06-18,26694.66,26786.53,26873.67,26595.96,"1.52e+09"
"1603",2015-06-19,26760.53,26885.73,27011.95,26701.72,"2.57e+09"
"1604",2015-06-22,27080.85,26854.32,27166.52,26811.66,"1.47e+09"
"1605",2015-06-23,27333.46,27126.47,27406.41,27008.51,"2.2e+09"
"1606",2015-06-24,27404.97,27397.37,27470.5,27292.85,"1.71e+09"
"1607",2015-06-25,27145.75,27329.17,27350.49,27120.72,"1.97e+09"
"1608",2015-06-26,26663.87,27016.09,27016.09,26522.45,"2.55e+09"
"1609",2015-06-29,25966.98,26560.13,26631.51,25617.78,"3.12e+09"
"1610",2015-06-30,26250.03,25944.03,26470.44,25885.66,"2.56e+09"
"1611",2015-07-02,26282.32,26459.43,26459.43,26135.62,"2.25e+09"
"1612",2015-07-03,26064.11,26349.84,26402.85,25933.12,"1.95e+09"
"1613",2015-07-06,25236.28,26083.99,26261.53,24750.31,"3.62e+09"
"1614",2015-07-07,24975.31,25391.76,25439.34,24819.26,"3.11e+09"
"1615",2015-07-08,23516.56,24411.3,24411.3,22836.82,"5.61e+09"
"1616",2015-07-09,24392.79,23435.5,24695.75,23332.9,"4.4e+09"
"1617",2015-07-10,24901.28,24567.92,25015.17,24567.92,"3.33e+09"
"1618",2015-07-13,25224.01,24709.58,25275.76,24596.44,"2.19e+09"
"1619",2015-07-14,25120.91,25184.06,25250.95,24906.47,"2.2e+09"
"1620",2015-07-15,25055.76,25219.45,25219.45,24862.65,"1.65e+09"
"1621",2015-07-16,25162.78,24976.08,25170.35,24841.14,"1.43e+09"
"1622",2015-07-17,25415.27,25246.64,25517.45,25183.86,"1.32e+09"
"1623",2015-07-20,25404.81,25540.31,25540.31,25298.96,"1.12e+09"
"1624",2015-07-21,25536.43,25428.88,25634.32,25342.69,"1.16e+09"
"1625",2015-07-22,25282.62,25401.79,25401.79,25177.6,"1.34e+09"
"1626",2015-07-23,25398.85,25308.55,25500.99,25250.36,"1.17e+09"
"1627",2015-07-24,25128.51,25279.95,25279.95,25073.2,"1.17e+09"
"1628",2015-07-27,24351.96,24906.78,24908.58,24282.21,"2.39e+09"
"1629",2015-07-28,24503.94,24269.9,24947.35,24140.62,"2.2e+09"
"1630",2015-07-29,24619.45,24630.44,24718.64,24444.47,"1.39e+09"
"1631",2015-07-30,24497.98,24822.42,24872.7,24478.07,"1.53e+09"
"1632",2015-07-31,24636.28,24650.93,24661.19,24467.83,"1.41e+09"
"1633",2015-08-03,24411.42,24533.14,24533.14,24232.6,"1.51e+09"
"1634",2015-08-04,24406.12,24364.41,24519.35,24217.78,"1.26e+09"
"1635",2015-08-05,24514.16,24466.3,24582.19,24420.95,"1.14e+09"
"1636",2015-08-06,24375.28,24527.74,24527.74,24320.75,"1.01e+09"
"1637",2015-08-07,24552.47,24327.56,24641.93,24327.56,"1.14e+09"
"1638",2015-08-10,24521.12,24433.66,24602.67,24135.64,"1.25e+09"
"1639",2015-08-11,24498.21,24694.78,24924.07,24420.71,"1.66e+09"
"1640",2015-08-12,23916.02,24269.11,24324.19,23826.96,"1.91e+09"
"1641",2015-08-13,24018.8,23935.48,24133.87,23860.82,"1.77e+09"
"1642",2015-08-14,23991.03,24055.02,24126.3,23957.36,"1.24e+09"
"1643",2015-08-17,23814.65,23945.6,23950.57,23699.84,"1.23e+09"
"1644",2015-08-18,23474.97,23956.86,24024.37,23464.35,"1.5e+09"
"1645",2015-08-19,23167.85,23555.02,23586.79,23138.73,"1.97e+09"
"1646",2015-08-20,22757.47,22973.87,23033.97,22610.53,"2.41e+09"
"1647",2015-08-21,22409.62,22343.25,22492.79,22185.85,"2.57e+09"
"1648",2015-08-24,21251.57,21605.97,21679.45,21136.48,"3.69e+09"
"1649",2015-08-25,21404.96,21119.53,21871.4,20865.26,"3.7e+09"
"1650",2015-08-26,21080.39,21434.25,21686.45,21060.09,"3.05e+09"
"1651",2015-08-27,21838.54,21758.62,21963.43,21407.59,"3.29e+09"
"1652",2015-08-28,21612.39,22424.4,22424.4,21585.33,"3.1e+09"
"1653",2015-08-31,21670.58,21793.02,21793.02,21399.62,"2.77e+09"
"1654",2015-09-01,21185.43,21692.78,21692.78,21170.86,"2.22e+09"
"1655",2015-09-02,20934.94,21101.42,21288.53,20771.77,"2.59e+09"
"1656",2015-09-04,20840.61,21158.93,21174.86,20715.02,"2.19e+09"
"1657",2015-09-07,20583.52,20683.31,21056.39,20579.93,"1.71e+09"
"1658",2015-09-08,21259.04,20636.83,21431.99,20524.88,"2.34e+09"
"1659",2015-09-09,22131.31,21632.69,22228.59,21529.81,"3.04e+09"
"1660",2015-09-10,21562.5,21667.86,21771.57,21492.09,"2.16e+09"
"1661",2015-09-11,21504.37,21710.13,21909.82,21472.16,"2.44e+09"
"1662",2015-09-14,21561.9,21678.88,21762.15,21441.71,"1.52e+09"
"1663",2015-09-15,21455.23,21527.53,21634.48,21411.17,"1.39e+09"
"1664",2015-09-16,21966.66,21731.34,22103.06,21608.5,"2.14e+09"
"1665",2015-09-17,21854.63,22172.68,22203.36,21718.71,"2.18e+09"
"1666",2015-09-18,21920.83,21807.25,22052.11,21807.25,"2.12e+09"
"1667",2015-09-21,21756.93,21614.43,21778.06,21590.7,"1.42e+09"
"1668",2015-09-22,21796.58,21794.34,22111.67,21768.98,"1.48e+09"
"1669",2015-09-23,21302.91,21529.47,21577.45,21008.61,"2.38e+09"
