"","SMI (SSMI)_history.csv Date","SMI (SSMI)_history.csv Price","SMI (SSMI)_history.csv Open","SMI (SSMI)_history.csv High","SMI (SSMI)_history.csv Low","SMI (SSMI)_history.csv Volume"
"479",2010-11-10,6539.82,6559.92,6585.6,6515.94,"54160000"
"480",2010-11-11,6516.99,6554.4,6554.4,6506.01,"45300000"
"481",2010-11-12,6505.29,6453.21,6534.32,6431.77,"59840000"
"482",2010-11-15,6562.15,6479.89,6578.58,6476.16,"45180000"
"483",2010-11-16,6476.53,6528.99,6545.67,6474.87,"56150000"
"484",2010-11-17,6494.99,6472.1,6524.39,6466.51,"49540000"
"485",2010-11-18,6613.37,6532.65,6621.51,6527.39,"49710000"
"486",2010-11-19,6590.84,6633.4,6639,6559.74,"51810000"
"487",2010-11-22,6532.64,6616.39,6622,6524.68,"49360000"
"488",2010-11-23,6393.79,6491.19,6501.68,6393.79,"68930000"
"489",2010-11-24,6449.8,6423.7,6461.31,6382.1,"55980000"
"490",2010-11-25,6502.14,6450.11,6507.33,6442.22,"40810000"
"491",2010-11-26,6483.56,6471.42,6501.8,6418.83,"52210000"
"492",2010-11-29,6397.5,6512.73,6553.77,6397.5,"57090000"
"493",2010-11-30,6312.43,6404.16,6408.1,6308.01,"102680000"
"494",2010-12-01,6409.7,6334.72,6419.43,6334.72,"65690000"
"495",2010-12-02,6483.44,6437.67,6487.95,6401.68,"66290000"
"496",2010-12-03,6440.9,6476.18,6488.03,6416.62,"51360000"
"497",2010-12-06,6412.22,6439.17,6442.67,6395.85,"42490000"
"498",2010-12-07,6462.53,6431.35,6510.16,6431.35,"51490000"
"499",2010-12-08,6508.13,6433.69,6526.88,6430.75,"49570000"
"500",2010-12-09,6537.63,6553.95,6565.22,6526.19,"53960000"
"501",2010-12-10,6519.14,6540.93,6541.41,6504.65,"37410000"
"502",2010-12-13,6519.08,6538.14,6550.87,6519.06,"36030000"
"503",2010-12-14,6545.84,6525.11,6547.41,6518.27,"39860000"
"504",2010-12-15,6560.43,6547.21,6618.44,6547.08,"70380000"
"505",2010-12-16,6566.17,6566.52,6571.45,6535.37,"51940000"
"506",2010-12-17,6538.16,6565.99,6569.23,6520.25,"109950000"
"507",2010-12-20,6521.25,6531.04,6568.62,6521.25,"34550000"
"508",2010-12-21,6558.17,6542.89,6565.46,6537.87,"36470000"
"509",2010-12-22,6553.7,6558.36,6579.76,6542.3,"36920000"
"510",2010-12-23,6599.43,6570.98,6599.55,6558.06,"29990000"
"511",2010-12-27,6568.21,6606.77,6606.82,6548.41,"16040000"
"512",2010-12-28,6569.06,6585,6590.62,6568.16,"11190000"
"513",2010-12-29,6566.65,6582.73,6588.3,6549.68,"16080000"
"514",2010-12-30,6436.04,6566.92,6570.72,6436.04,"29110000"
"515",2011-01-03,6493.88,6473.68,6508.42,6472.93,"25790000"
"516",2011-01-04,6494.31,6502.27,6530.83,6481.6,"46650000"
"517",2011-01-05,6519.25,6485.91,6519.25,6424.87,"54790000"
"518",2011-01-06,6532.84,6550.59,6588.23,6521.21,"58110000"
"519",2011-01-07,6497.64,6543.53,6559.6,6489.19,"48900000"
"520",2011-01-10,6446.32,6485.74,6498.05,6426.79,"41370000"
"521",2011-01-11,6534.84,6454.39,6542.64,6451.11,"49080000"
"522",2011-01-12,6613.75,6555.94,6617.92,6554.36,"69350000"
"523",2011-01-13,6562.47,6608.36,6613.2,6559.88,"70820000"
"524",2011-01-14,6556.09,6552.05,6561.3,6501.13,"55750000"
"525",2011-01-17,6578.17,6570.14,6588.14,6553.09,"48880000"
"526",2011-01-18,6634.93,6593.3,6656.28,6593.2,"56320000"
"527",2011-01-19,6559.66,6659.24,6659.87,6556.78,"64260000"
"528",2011-01-20,6513.5,6534.98,6543.81,6471.87,"75130000"
"529",2011-01-21,6567.31,6529.62,6595.71,6517.04,"78530000"
"530",2011-01-24,6603.8,6586.42,6612.51,6547.71,"48200000"
"531",2011-01-25,6580.33,6618.11,6623.36,6578.29,"52440000"
"532",2011-01-26,6592.99,6602.31,6615.93,6579.69,"49980000"
"533",2011-01-27,6562.36,6563.09,6585.78,6541.25,"64290000"
"534",2011-01-28,6528.13,6547.97,6593.23,6528.13,"53890000"
"535",2011-01-31,6479.15,6511.18,6514.17,6467.25,"50470000"
"536",2011-02-01,6555.26,6517.79,6571.59,6492.78,"60040000"
"537",2011-02-02,6553.67,6546.6,6587.16,6512.19,"54350000"
"538",2011-02-03,6544.91,6547.7,6564.28,6519.7,"49230000"
"539",2011-02-04,6584.4,6571.62,6589.14,6552.91,"54010000"
"540",2011-02-07,6611.14,6608.71,6653.46,6598.34,"48320000"
"541",2011-02-08,6638.66,6608.4,6638.88,6603.77,"67970000"
"542",2011-02-09,6631.64,6645.03,6658.19,6621.61,"65370000"
"543",2011-02-10,6612.06,6609.67,6618.03,6565.99,"73460000"
"544",2011-02-11,6665.22,6600.89,6669.98,6580.76,"57200000"
"545",2011-02-14,6666.06,6693.69,6700.28,6662.59,"67390000"
"546",2011-02-15,6690.9,6667.92,6696.95,6664.97,"52300000"
"547",2011-02-16,6711.65,6698.65,6721.77,6684.41,"54650000"
"548",2011-02-17,6706.47,6723.74,6736.45,6674.87,"70260000"
"549",2011-02-18,6717.25,6721.56,6727.28,6687.66,"150730000"
"550",2011-02-21,6683.87,6716,6739.13,6678.28,"44710000"
"551",2011-02-22,6622.49,6648.62,6650.38,6607.85,"56530000"
"552",2011-02-23,6622.77,6594.84,6649.95,6589.86,"58230000"
"553",2011-02-24,6515.97,6557.67,6562.06,6498.28,"59360000"
"554",2011-02-25,6537.2,6532.95,6564.96,6515.26,"37050000"
"555",2011-02-28,6610.44,6530.1,6633.32,6523.26,"51470000"
"556",2011-03-01,6619.36,6638.3,6667.13,6606.53,"52120000"
"557",2011-03-02,6592.07,6570.71,6607.37,6540.85,"56420000"
"558",2011-03-03,6599.21,6604.81,6626.25,6576.4,"57840000"
"559",2011-03-04,6530.54,6619.19,6620.92,6524.26,"60330000"
"560",2011-03-07,6495.52,6509.38,6558.55,6482.83,"46910000"
"561",2011-03-08,6511.21,6522.44,6551.88,6480.33,"49130000"
"562",2011-03-09,6446.6,6515.72,6521.69,6444.64,"58780000"
"563",2011-03-10,6404.62,6412.54,6440.94,6392.13,"71520000"
"564",2011-03-11,6353.76,6345.95,6384.2,6339.97,"61660000"
"565",2011-03-14,6274.47,6307.37,6341.46,6274.47,"71070000"
"566",2011-03-15,6101.01,6153.47,6174.67,6007.29,"140880000"
"567",2011-03-16,6021.55,6121.94,6144.11,6000.12,"89970000"
"568",2011-03-17,6073.42,6029.09,6097.38,6000.12,"81020000"
"569",2011-03-18,6098.05,6106.17,6141.28,6082.9,"137920000"
"570",2011-03-21,6223.91,6164.82,6227.97,6154.36,"53160000"
"571",2011-03-22,6227.03,6232.9,6251.86,6207.93,"51730000"
"572",2011-03-23,6256.06,6200.64,6263.67,6199.82,"41380000"
"573",2011-03-24,6319.23,6243.02,6322.08,6235.8,"50300000"
"574",2011-03-25,6352.28,6346.12,6373.66,6324.04,"43510000"
"575",2011-03-28,6359.02,6361.82,6382.8,6347.25,"38430000"
"576",2011-03-29,6355.06,6371.9,6380.94,6329.65,"47040000"
"577",2011-03-30,6398.42,6390.56,6413.75,6387.22,"43270000"
"578",2011-03-31,6357.55,6401.06,6402.62,6357.55,"49880000"
"579",2011-04-01,6439.91,6391.76,6447.09,6383.79,"52620000"
"580",2011-04-04,6414.6,6423.88,6432.2,6402.32,"40320000"
"581",2011-04-05,6430.3,6421.81,6437.85,6397.75,"44430000"
"582",2011-04-06,6443.06,6449.8,6459.91,6423.19,"46230000"
"583",2011-04-07,6465.57,6457.45,6507.8,6456.02,"55140000"
"584",2011-04-08,6457.93,6488.75,6495.7,6453.45,"39670000"
"585",2011-04-11,6440.11,6446.06,6461.63,6431.81,"35640000"
"586",2011-04-12,6351.6,6393.41,6407.85,6341.06,"48500000"
"587",2011-04-13,6364.3,6371.06,6407.44,6355.28,"46030000"
"588",2011-04-14,6357.03,6337.86,6391.44,6337.86,"51450000"
"589",2011-04-15,6400.26,6385.42,6402.13,6363.29,"114180000"
"590",2011-04-18,6244.95,6363.75,6366.68,6220.5,"72080000"
"591",2011-04-19,6326.65,6267.26,6365.94,6266.24,"61770000"
"592",2011-04-20,6444.81,6388.8,6453.88,6387.57,"52460000"
"593",2011-04-21,6457.16,6475.53,6478.96,6444.19,"49620000"
"594",2011-04-26,6476.59,6468.36,6498.53,6464.42,"59170000"
"595",2011-04-27,6472.42,6491.63,6510.27,6456.34,"53770000"
"596",2011-04-28,6516.21,6502.98,6516.79,6482.06,"58500000"
"597",2011-04-29,6539.7,6534.98,6555.69,6528.1,"31420000"
"598",2011-05-02,6544.67,6568.46,6569.49,6539.11,"39990000"
"599",2011-05-03,6510.61,6519.23,6533.65,6489.67,"48770000"
"600",2011-05-04,6470.35,6503.53,6547.43,6461.37,"59220000"
"601",2011-05-05,6450.03,6481.18,6485.06,6396.84,"56760000"
"602",2011-05-06,6526.51,6465.53,6545.29,6449.13,"51990000"
"603",2011-05-09,6476.89,6506.44,6526.91,6464.46,"42830000"
"604",2011-05-10,6526.16,6495.11,6549.41,6481.92,"50020000"
"605",2011-05-11,6562.82,6549.27,6575.64,6537.83,"45790000"
"606",2011-05-12,6562.59,6516.83,6562.59,6510.39,"57120000"
"607",2011-05-13,6563.26,6592.6,6602.1,6562.91,"53070000"
"608",2011-05-16,6564.15,6546.7,6578.61,6510.65,"47040000"
"609",2011-05-17,6496.56,6555.79,6560.55,6486.57,"54350000"
"610",2011-05-18,6535.24,6535.79,6541.89,6514.62,"38310000"
"611",2011-05-19,6557.95,6562.75,6577.33,6506.42,"53380000"
"612",2011-05-20,6530.61,6591.33,6604.55,6517.28,"76950000"
"613",2011-05-23,6437.82,6472.3,6482.56,6430.72,"49520000"
"614",2011-05-24,6454.29,6438.82,6466.51,6437.6,"45780000"
"615",2011-05-25,6464.55,6426.2,6478.53,6417.02,"47200000"
"616",2011-05-26,6469.16,6487.68,6492.06,6449.76,"53120000"
"617",2011-05-27,6489.32,6511.21,6521.73,6479.35,"47120000"
"618",2011-05-30,6470.8,6484.73,6500.91,6469.14,"17960000"
"619",2011-05-31,6554.71,6532.25,6575.8,6521.32,"66710000"
"620",2011-06-01,6496.47,6566.24,6567.32,6480.52,"51150000"
"621",2011-06-03,6407.39,6416.85,6449.03,6386.98,"51860000"
"622",2011-06-06,6370.06,6386.71,6409.62,6353.26,"36400000"
"623",2011-06-07,6330.65,6352.89,6377.86,6324.44,"43700000"
"624",2011-06-08,6256.86,6308.65,6314.79,6256.77,"55320000"
"625",2011-06-09,6271.01,6248.64,6295.72,6239.64,"54950000"
"626",2011-06-10,6197.25,6253.85,6272.47,6179.11,"52210000"
"627",2011-06-14,6255.68,6222.76,6269.78,6213.78,"49560000"
"628",2011-06-15,6198.17,6249.41,6260.81,6198.17,"52280000"
"629",2011-06-16,6157.67,6152.23,6164.17,6113.43,"6.7e+07"
"630",2011-06-17,6145.16,6123.83,6181.96,6100.63,"90300000"
"631",2011-06-20,6113.7,6073.06,6126.87,6070.37,"44840000"
"632",2011-06-21,6171.01,6128,6172.1,6121.63,"46780000"
"633",2011-06-22,6113.44,6171.56,6171.7,6112.66,"42190000"
"634",2011-06-23,5991.09,6087.14,6107.81,5961.97,"70120000"
"635",2011-06-24,5998.02,6043.58,6060.82,5975.67,"50420000"
"636",2011-06-27,5990.82,5972.89,6013.58,5969.66,"35950000"
"637",2011-06-28,6002.4,6002.07,6044.98,5983.64,"56480000"
"638",2011-06-29,6101.55,6042.49,6106.45,6030.46,"52840000"
"639",2011-06-30,6187.07,6113.18,6199.84,6089.04,"57010000"
"640",2011-07-01,6237.81,6194.16,6253.81,6189.1,"47040000"
"641",2011-07-04,6245.78,6238.21,6249.8,6222.58,"26430000"
"642",2011-07-05,6243.01,6248.64,6262.05,6225.35,"31940000"
"643",2011-07-06,6179.35,6230.05,6240.47,6168.55,"46870000"
"644",2011-07-07,6211.11,6204.85,6250,6168.78,"42430000"
