"","S&P TSX Composite (GSPTSE)_history.csv Date","S&P TSX Composite (GSPTSE)_history.csv Price","S&P TSX Composite (GSPTSE)_history.csv Open","S&P TSX Composite (GSPTSE)_history.csv High","S&P TSX Composite (GSPTSE)_history.csv Low","S&P TSX Composite (GSPTSE)_history.csv Volume"
"818",2012-04-04,12178.66,12191.07,12310.26,12098.6,"221610000"
"819",2012-04-05,12103.11,12147.85,12172.08,12051.2,"198230000"
"820",2012-04-09,12018.5,12047.04,12098.24,12004.15,"124050000"
"821",2012-04-10,11935.29,12012.04,12032.67,11868.97,"203680000"
"822",2012-04-11,12026.76,11970.65,12056.82,11939.96,"184930000"
"823",2012-04-12,12214.65,12035.66,12230.54,12023.37,"211050000"
"824",2012-04-13,12040.39,12180.55,12214.65,12040.38,"174270000"
"825",2012-04-16,12037.59,12076.23,12121.36,12016.18,"193240000"
"826",2012-04-17,12136.94,12065.97,12176.76,12039.7,"176200000"
"827",2012-04-18,12128.89,12110.53,12162.6,12077.87,"158120000"
"828",2012-04-19,12153.69,12148.18,12227.75,12118.38,"168230000"
"829",2012-04-20,12147.28,12197.94,12227.99,12142.62,"149300000"
"830",2012-04-23,11988.95,12025.07,12136.28,11919.13,"171220000"
"831",2012-04-24,11980.1,11997.37,12034.51,11957.59,"142970000"
"832",2012-04-25,12111.06,12057.49,12112.22,11997.31,"177530000"
"833",2012-04-26,12145.85,12084.6,12146.01,12073.81,"174340000"
"834",2012-04-27,12237.75,12157.96,12248.07,12139.68,"184520000"
"835",2012-04-30,12292.69,12203.83,12292.69,12156.76,"169650000"
"836",2012-05-01,12332.79,12325.7,12364.59,12292.72,"192400000"
"837",2012-05-02,12230.12,12272.17,12332.68,12178.08,"161340000"
"838",2012-05-03,12014.9,12223.53,12227.41,11981.28,"194210000"
"839",2012-05-04,11871.23,11935.65,11985.28,11824.27,"183050000"
"840",2012-05-07,11860.66,11805.29,11879.02,11785.74,"162630000"
"841",2012-05-08,11704.74,11786.94,11821.93,11609.51,"262140000"
"842",2012-05-09,11675.01,11588.18,11755.8,11555.08,"241460000"
"843",2012-05-10,11736.17,11759.71,11812.16,11682.7,"207540000"
"844",2012-05-11,11694.67,11681.33,11795.66,11646.37,"159650000"
"845",2012-05-14,11488.53,11571.7,11689.39,11484.72,"182840000"
"846",2012-05-15,11343.05,11494.83,11502.24,11325.71,"187470000"
"847",2012-05-16,11326.08,11348.15,11474.05,11298.46,"213100000"
"848",2012-05-17,11330.68,11370.25,11421.83,11317.11,"255380000"
"849",2012-05-18,11280.64,11415.2,11435.7,11256.72,"213160000"
"850",2012-05-22,11451.78,11444.61,11534.2,11283,"191020000"
"851",2012-05-23,11564.8,11363.66,11567.2,11260.04,"194360000"
"852",2012-05-24,11566.07,11600.99,11627.59,11472.95,"184820000"
"853",2012-05-25,11576.47,11569.29,11588.29,11524.68,"155870000"
"854",2012-05-28,11566.15,11622.06,11634.83,11523.47,"82640000"
"855",2012-05-29,11609.3,11611.5,11687.71,11572.49,"157050000"
"856",2012-05-30,11433.22,11498.31,11609.3,11422.69,"1.76e+08"
"857",2012-05-31,11513.21,11459.18,11518.44,11361.37,"240420000"
"858",2012-06-01,11361.2,11413.12,11512.83,11344.43,"269930000"
"859",2012-06-04,11335.77,11347.05,11370.09,11209.55,"191440000"
"860",2012-06-05,11507.71,11331.35,11511.58,11325.27,"196550000"
"861",2012-06-06,11633.4,11607.07,11686.99,11517.66,"219270000"
"862",2012-06-07,11592.12,11716.27,11727.58,11586.03,"190280000"
"863",2012-06-08,11500.63,11515.33,11575.33,11480.45,"140080000"
"864",2012-06-11,11401.78,11592.49,11593.66,11382.37,"145430000"
"865",2012-06-12,11497.3,11432.87,11497.3,11385.5,"218520000"
"866",2012-06-13,11497.87,11452.62,11580.39,11440.36,"190980000"
"867",2012-06-14,11466.42,11520.05,11517.28,11423.24,"196190000"
"868",2012-06-15,11524.9,11495.76,11540.43,11487.63,"350270000"
"869",2012-06-18,11601.13,11490.35,11635.06,11483.73,"240210000"
"870",2012-06-19,11788.36,11633.04,11801.94,11623.69,"175490000"
"871",2012-06-20,11759.34,11778,11824.61,11681.23,"161460000"
"872",2012-06-21,11408.32,11698.56,11752.92,11405.83,"172550000"
"873",2012-06-22,11435.54,11453.54,11472.72,11381.71,"137140000"
"874",2012-06-25,11330.39,11373.62,11419.83,11295.06,"124800000"
"875",2012-06-26,11334.42,11310.11,11344.99,11251.85,"182890000"
"876",2012-06-27,11410.94,11357.88,11419.36,11326.91,"146450000"
"877",2012-06-28,11424.7,11384.39,11424.7,11270.15,"222920000"
"878",2012-06-29,11596.56,11621.37,11629.62,11483.83,"227390000"
"879",2012-07-03,11848.75,11727.5,11885.33,11596.56,"191700000"
"880",2012-07-04,11913.87,11841.26,11936.16,11829.85,"83930000"
"881",2012-07-05,11817.03,11879.51,11894.81,11816.91,"178430000"
"882",2012-07-06,11659.96,11727.7,11750.83,11646.77,"153940000"
"883",2012-07-09,11634.67,11659.59,11692.45,11565.04,"127930000"
"884",2012-07-10,11512.22,11643.54,11706.68,11459.77,"154980000"
"885",2012-07-11,11544.64,11496.36,11561.64,11488.84,"159790000"
"886",2012-07-12,11425.47,11473.54,11527.19,11366.74,"164430000"
"887",2012-07-13,11514.53,11470.22,11525.75,11451.27,"148960000"
"888",2012-07-16,11521.18,11511.25,11542.38,11467.61,"134890000"
"889",2012-07-17,11571.19,11553.16,11572.21,11479.52,"133910000"
"890",2012-07-18,11579.15,11578.51,11615.38,11554.75,"131480000"
"891",2012-07-19,11665.7,11620.91,11674.37,11585.42,"195020000"
"892",2012-07-20,11622.91,11613.14,11642.65,11586.32,"118150000"
"893",2012-07-23,11545.54,11535.43,11609.89,11416.49,"198820000"
"894",2012-07-24,11466.95,11555.56,11577.63,11441.7,"158280000"
"895",2012-07-25,11492.51,11510.62,11519.58,11428.67,"160600000"
"896",2012-07-26,11639.75,11527.96,11655.39,11492.51,"214680000"
"897",2012-07-27,11766.36,11695.88,11802.51,11640.22,"213590000"
"898",2012-07-30,11757.88,11763.81,11803.78,11724.34,"148420000"
"899",2012-07-31,11664.71,11795.83,11797.29,11651.82,"159360000"
"900",2012-08-01,11618.53,11693.11,11693.11,11600.94,"156660000"
"901",2012-08-02,11506.5,11556.28,11611.16,11475.43,"149730000"
"902",2012-08-03,11662.59,11635.04,11687.65,11512.16,"125810000"
"903",2012-08-07,11863.5,11764.23,11874.66,11666.18,"151850000"
"904",2012-08-08,11781.04,11861.29,11884.21,11780.19,"166140000"
"905",2012-08-09,11858.13,11799.52,11882.84,11788.19,"145390000"
"906",2012-08-10,11890.89,11841.98,11890.89,11816.71,"131490000"
"907",2012-08-13,11838.33,11898.3,11913.13,11802.86,"126550000"
"908",2012-08-14,11853.61,11865.48,11899.45,11838.42,"134990000"
"909",2012-08-15,11905.44,11851.93,11914.76,11841.57,"159670000"
"910",2012-08-16,12032.58,11938.96,12032.58,11918.08,"141990000"
"911",2012-08-17,12089.89,12054.81,12089.89,12034.88,"122090000"
"912",2012-08-20,12076.03,12088.87,12100.04,12034.23,"106620000"
"913",2012-08-21,12116.92,12134.21,12196.77,12091.48,"164790000"
"914",2012-08-22,12118.99,12102.07,12125.84,12034.1,"137480000"
"915",2012-08-23,12062.51,12128.79,12125.98,12033.55,"155450000"
"916",2012-08-24,12082.23,12038.97,12130.47,12036.51,"107860000"
"917",2012-08-27,12048.82,12097.86,12100.16,12030.63,"95740000"
"918",2012-08-28,12009.9,12060.96,12080.51,12005.34,"136830000"
"919",2012-08-29,12009.79,12025.22,12033.99,11952.08,"128070000"
"920",2012-08-30,11886.65,11986.87,12007.91,11875.05,"131150000"
"921",2012-08-31,11949.26,11932.31,11985.09,11872.26,"159480000"
"922",2012-09-04,11941.7,11977.96,11974.69,11904.48,"156160000"
"923",2012-09-05,11990.14,11934.09,11994,11931.31,"149190000"
"924",2012-09-06,12139.73,12041.08,12144.34,11996.46,"165570000"
"925",2012-09-07,12268.01,12194.5,12270.97,12144.36,"191320000"
"926",2012-09-10,12215.43,12257.18,12303.78,12213.65,"148470000"
"927",2012-09-11,12220.45,12239.16,12264.13,12193.78,"155730000"
"928",2012-09-12,12232.62,12262.31,12284.75,12200.98,"167360000"
"929",2012-09-13,12360.16,12234.75,12366.04,12194.21,"189010000"
"930",2012-09-14,12499.47,12446.13,12529.77,12360.16,"240490000"
"931",2012-09-17,12446.86,12494.57,12508.71,12432.37,"162680000"
"932",2012-09-18,12422.71,12422.82,12450.04,12391.4,"179560000"
"933",2012-09-19,12436.16,12441.69,12462.83,12405.85,"188500000"
"934",2012-09-20,12409.25,12372.31,12432.08,12358.37,"165230000"
"935",2012-09-21,12383.6,12454.02,12473.45,12383.6,"516670000"
"936",2012-09-24,12313.54,12342.42,12382.38,12296.2,"145960000"
"937",2012-09-25,12257.18,12351.43,12382.86,12240.06,"186590000"
"938",2012-09-26,12232.86,12163.86,12254.41,12168.1,"167300000"
"939",2012-09-27,12338.85,12297.73,12363.27,12241.46,"165740000"
"940",2012-09-28,12317.46,12291.24,12336.31,12248.78,"201030000"
"941",2012-10-01,12370.19,12372.45,12452.28,12318.17,"156970000"
"942",2012-10-02,12391.23,12396.86,12414.42,12340.64,"184550000"
"943",2012-10-03,12359.47,12406.44,12411.51,12341.9,"153550000"
"944",2012-10-04,12447.68,12403.13,12458.21,12371.62,"162610000"
"945",2012-10-05,12418.99,12460.78,12480.83,12388.76,"130590000"
"946",2012-10-09,12273.57,12389.54,12415.68,12266.98,"161130000"
"947",2012-10-10,12212.42,12241.06,12278.68,12195.81,"138920000"
"948",2012-10-11,12233.95,12263.63,12295.43,12215.01,"151200000"
"949",2012-10-12,12202.04,12225.45,12250.41,12170.11,"131410000"
"950",2012-10-15,12229.96,12181.93,12229.96,12137.18,"109710000"
"951",2012-10-16,12407.7,12298.12,12412.23,12232.05,"150610000"
"952",2012-10-17,12461.25,12423.72,12463.33,12396.67,"194270000"
"953",2012-10-18,12466.12,12425.51,12494,12425.04,"154960000"
"954",2012-10-19,12415.98,12437.91,12465.02,12372.91,"163590000"
"955",2012-10-22,12403.54,12362.66,12430.48,12340.41,"155420000"
"956",2012-10-23,12225.84,12260.95,12391.86,12141.19,"165770000"
"957",2012-10-24,12195.02,12258.07,12261.05,12186.59,"151740000"
"958",2012-10-25,12300.23,12289.67,12326.69,12195.02,"160950000"
"959",2012-10-26,12300.3,12301.6,12353.16,12290.44,"151530000"
"960",2012-10-29,12312.75,12282.08,12317.95,12250.47,"77740000"
"961",2012-10-30,12377.05,12302.52,12395.43,12294.59,"99130000"
"962",2012-10-31,12422.91,12416.67,12462.26,12389.97,"185570000"
"963",2012-11-01,12499.76,12408.53,12511.46,12413.72,"182870000"
"964",2012-11-02,12380.41,12489.69,12501.56,12373.16,"182360000"
"965",2012-11-05,12352.78,12373.51,12417.25,12347.14,"131370000"
"966",2012-11-06,12361.2,12380.33,12395.61,12334.13,"156460000"
"967",2012-11-07,12230.59,12326.84,12360.9,12201.87,"167320000"
"968",2012-11-08,12191.05,12227.85,12252.19,12164.11,"185660000"
"969",2012-11-09,12196.8,12166.64,12251.45,12151.17,"157800000"
"970",2012-11-12,12191.46,12219.78,12239.56,12186.99,"106610000"
"971",2012-11-13,12134.66,12130.32,12212.94,12124.35,"136350000"
"972",2012-11-14,11929.79,12139.75,12136.55,11915.07,"192500000"
"973",2012-11-15,11811.38,11879.57,11926.39,11761.34,"227350000"
"974",2012-11-16,11877.72,11814.39,11877.72,11761.86,"160130000"
"975",2012-11-19,12040.4,12003.45,12040.4,11878.18,"139720000"
"976",2012-11-20,12046.28,12040.75,12051.7,11986.01,"164430000"
"977",2012-11-21,12100.06,12016.66,12104.68,12023.15,"146580000"
"978",2012-11-22,12153.1,12129.28,12171.2,12100.06,"59030000"
"979",2012-11-23,12213.24,12169.19,12229.77,12142.27,"99290000"
"980",2012-11-26,12185.05,12199.17,12212.9,12148.96,"127850000"
"981",2012-11-27,12111.63,12194.38,12196.47,12105.97,"152660000"
"982",2012-11-28,12140.33,12012.59,12141.44,12004.49,"157290000"
"983",2012-11-29,12202.85,12207.94,12227.52,12140.33,"163100000"
"984",2012-11-30,12239.36,12203.83,12246.32,12170.35,"217840000"
"985",2012-12-03,12169.74,12253.7,12252.27,12151.3,"165230000"
"986",2012-12-04,12137.18,12106.2,12169.74,12095.45,"162210000"
"987",2012-12-05,12157.29,12155.29,12208.45,12136.39,"179540000"
"988",2012-12-06,12151.13,12189.25,12186.11,12132.74,"194660000"
"989",2012-12-07,12159.59,12189.41,12208.05,12144.15,"201050000"
"990",2012-12-10,12230.47,12212.14,12236.71,12161.08,"182790000"
"991",2012-12-11,12282.36,12242.48,12306.82,12234.96,"191880000"
"992",2012-12-12,12353.09,12305.8,12365.83,12282.57,"223020000"
"993",2012-12-13,12289.17,12305.39,12346.24,12261.99,"205050000"
"994",2012-12-14,12296.72,12284.29,12307.05,12256.55,"236860000"
"995",2012-12-17,12281.35,12281.33,12296.86,12233.09,"232320000"
"996",2012-12-18,12334.34,12285.86,12353.92,12279.7,"220020000"
"997",2012-12-19,12403.63,12356.08,12414.06,12335.36,"206850000"
"998",2012-12-20,12388.71,12376,12403.13,12335.4,"170130000"
"999",2012-12-21,12385.7,12383.72,12414.85,12313.73,"345420000"
"1000",2012-12-24,12370.8,12379.33,12400.02,12350.31,"56860000"
"1001",2012-12-27,12373.77,12324.96,12373.77,12289.68,"110470000"
"1002",2012-12-28,12316.12,12316.99,12371.22,12304.98,"84460000"
"1003",2012-12-31,12433.53,12296.11,12457.33,12289.66,"99700000"
"1004",2013-01-02,12540.77,12571.76,12588.75,12439.25,"149630000"
"1005",2013-01-03,12470.44,12539.14,12540.58,12430.41,"160670000"
