"","RTSI (IRTS)_history.csv Date","RTSI (IRTS)_history.csv Price","RTSI (IRTS)_history.csv Open","RTSI (IRTS)_history.csv High","RTSI (IRTS)_history.csv Low","RTSI (IRTS)_history.csv Volume"
"202",2009-10-26,1476.06,1461.3,1480.92,1458.61,
"203",2009-10-27,1421.29,1474.33,1474.33,1417.24,
"204",2009-10-28,1368.77,1421.29,1421.42,1368.77,
"205",2009-10-29,1377.16,1368.77,1377.16,1331.41,
"206",2009-10-30,1348.54,1377.16,1381.83,1348.09,
"207",2009-11-02,1357.06,1358.76,1360.46,1317.1,
"208",2009-11-03,1305.11,1357.06,1357.06,1301.47,
"209",2009-11-05,1348.82,1306.28,1348.82,1303.04,
"210",2009-11-06,1337.54,1348.82,1363.39,1326.16,
"211",2009-11-09,1407.71,1337.54,1407.71,1335.11,
"212",2009-11-10,1436.97,1408.1,1439.82,1398.28,
"213",2009-11-11,1434.45,1436.54,1455,1430.7,
"214",2009-11-12,1425.34,1434.45,1435.01,1410.51,
"215",2009-11-13,1419.49,1425.31,1425.31,1407.27,
"216",2009-11-16,1481.82,1419.49,1482.39,1418.02,
"217",2009-11-17,1472.76,1481.95,1488.2,1461.9,
"218",2009-11-18,1486.62,1472.83,1508.42,1472.83,
"219",2009-11-19,1451.2,1486.62,1489.84,1448.21,
"220",2009-11-20,1436.44,1450.57,1463.83,1420.29,
"221",2009-11-23,1466.77,1436.44,1473.71,1434.71,
"222",2009-11-24,1447.23,1466.77,1466.77,1427.44,
"223",2009-11-25,1427.55,1447.23,1456.06,1418.37,
"224",2009-11-26,1366.85,1427.41,1432.85,1358.83,
"225",2009-11-27,1369.6,1366.27,1369.6,1293.49,
"226",2009-11-30,1377.65,1372.17,1377.74,1368.45,
"227",2009-12-01,1416.3,1372.17,1418.25,1368.45,
"228",2009-12-02,1415.98,1415.07,1437.88,1406.69,
"229",2009-12-03,1409.32,1415.12,1438.98,1407.3,
"230",2009-12-04,1427.13,1411.03,1431.01,1396.09,
"231",2009-12-07,1389.64,1425.09,1425.09,1384.72,
"232",2009-12-08,1353.23,1389.23,1399.08,1347.71,
"233",2009-12-09,1348.92,1351.33,1359.76,1341.42,
"234",2009-12-10,1351.98,1348.98,1360.02,1327.44,
"235",2009-12-11,1366.36,1351.98,1376.86,1350.02,
"236",2009-12-14,1381.91,1366.36,1382.22,1355.07,
"237",2009-12-15,1396.32,1381.91,1396.36,1378.3,
"238",2009-12-16,1449.02,1396.32,1449.36,1391.83,
"239",2009-12-17,1400.91,1448.92,1456.73,1398.74,
"240",2009-12-18,1410.22,1403.85,1429.67,1399.59,
"241",2009-12-21,1425.45,1411.32,1430.36,1405.27,
"242",2009-12-22,1417.22,1425.6,1428.1,1411.44,
"243",2009-12-23,1434.6,1421.03,1437.24,1413.34,
"244",2009-12-24,1443.61,1434.66,1457.6,1432.01,
"245",2009-12-25,1450.25,1443.61,1451.11,1439.6,
"246",2009-12-28,1451.6,1451.68,1457.14,1448.85,
"247",2009-12-29,1445.17,1452.77,1455.32,1437.89,
"248",2009-12-30,1426.93,1444.91,1444.91,1426.12,
"249",2009-12-31,1444.61,1426.93,1448.86,1426.93,
"250",2010-01-11,1553.06,1444.7,1561.8,1444.7,
"251",2010-01-12,1535.78,1550.2,1559.75,1528.09,
"252",2010-01-13,1538.43,1535.78,1548.46,1512.81,
"253",2010-01-14,1561.91,1538.37,1561.91,1538.22,
"254",2010-01-15,1559.25,1561.91,1573.9,1553.83,
"255",2010-01-18,1581.09,1559.25,1581.09,1551.99,
"256",2010-01-19,1580.67,1581.09,1588.96,1556.26,
"257",2010-01-20,1556.97,1580.63,1590.02,1555.92,
"258",2010-01-21,1530.29,1556.33,1564.31,1527.33,
"259",2010-01-22,1489.46,1530.53,1533.18,1480.15,
"260",2010-01-25,1485.92,1491.27,1501.32,1471.56,
"261",2010-01-26,1444.33,1485.53,1489.63,1431.92,
"262",2010-01-27,1446.36,1444.87,1462.19,1424.88,
"263",2010-01-28,1460.98,1448.11,1478.39,1440.5,
"264",2010-01-29,1473.81,1458.14,1474.13,1444.1,
"265",2010-02-01,1470.79,1473.81,1473.84,1452.08,
"266",2010-02-02,1498.75,1470.94,1499.19,1469.17,
"267",2010-02-03,1507.15,1498.75,1530,1497.47,
"268",2010-02-04,1463.01,1507.59,1514.07,1459.38,
"269",2010-02-05,1411.14,1462.25,1466.95,1394.19,
"270",2010-02-08,1375.34,1411.51,1421.37,1372.83,
"271",2010-02-09,1390.32,1376.42,1399.71,1374.32,
"272",2010-02-10,1387.11,1390.29,1417.65,1380.29,
"273",2010-02-11,1391.94,1387.11,1410.71,1384.38,
"274",2010-02-12,1363.83,1391.94,1406.74,1355.95,
"275",2010-02-15,1375.99,1363.83,1377.08,1362.89,
"276",2010-02-16,1418.16,1377.17,1418.16,1374.73,
"277",2010-02-17,1421.97,1418,1436.7,1413.85,
"278",2010-02-18,1410.85,1421.97,1427.3,1396.85,
"279",2010-02-19,1423.13,1410.85,1423.13,1381.55,
"280",2010-02-24,1401.48,1423.13,1427.87,1392.85,
"281",2010-02-25,1373.11,1401.56,1412.27,1363.96,
"282",2010-02-26,1390.25,1373.36,1393.82,1368.73,
"283",2010-02-27,1410.85,1389.8,1413.43,1388.29,
"284",2010-03-01,1429.77,1408.57,1432.89,1402.9,
"285",2010-03-02,1445.62,1427.35,1448.02,1424.46,
"286",2010-03-03,1460.2,1445.09,1463.74,1438.05,
"287",2010-03-04,1470.41,1460.05,1480.23,1449.5,
"288",2010-03-05,1508.21,1468.71,1508.76,1468.39,
"289",2010-03-09,1502.7,1508.2,1515.84,1488.01,
"290",2010-03-10,1501.4,1502.48,1515.81,1495.91,
"291",2010-03-11,1504.04,1501.4,1516.74,1495.14,
"292",2010-03-12,1534.68,1503.54,1544.09,1502.07,
"293",2010-03-15,1514.4,1534.68,1536.24,1513.07,
"294",2010-03-16,1536.79,1514.72,1536.79,1512.64,
"295",2010-03-17,1563.46,1536.74,1569.77,1534.36,
"296",2010-03-18,1558.8,1563.73,1572.63,1547.41,
"297",2010-03-19,1544.71,1560.04,1564.54,1540.74,
"298",2010-03-22,1525.59,1546.34,1546.68,1509.56,
"299",2010-03-23,1524.96,1527.88,1545.92,1518.29,
"300",2010-03-24,1514.58,1526.63,1531.2,1506.17,
