"","MICEX (MCX)_history.csv Date","MICEX (MCX)_history.csv Price","MICEX (MCX)_history.csv Open","MICEX (MCX)_history.csv High","MICEX (MCX)_history.csv Low","MICEX (MCX)_history.csv Volume"
"632",2011-07-22,1728.84,1729.01,1735.46,1720.92,
"633",2011-07-25,1726.93,1728.82,1728.23,1706.57,
"634",2011-07-26,1722.11,1726.93,1733.67,1715.14,
"635",2011-07-27,1706.28,1722.12,1728.45,1705.1,
"636",2011-07-28,1720.38,1706.27,1720.83,1701.06,
"637",2011-07-29,1705.18,1720.37,1720.37,1690.91,
"638",2011-08-01,1725.1,1705.22,1741.72,1705.22,
"639",2011-08-02,1713.25,1725.11,1725.11,1705.74,
"640",2011-08-03,1655.36,1712.91,1712.91,1650.73,
"641",2011-08-04,1620.68,1655.36,1670.44,1619.5,
"642",2011-08-05,1587,1620.51,1620.51,1553.54,
"643",2011-08-08,1499.79,1586.95,1586.95,1495.05,
"644",2011-08-09,1497.81,1499.14,1515.97,1386.89,
"645",2011-08-10,1431.41,1497.86,1530.93,1423.3,
"646",2011-08-11,1438.91,1431.43,1477.13,1355.38,
"647",2011-08-12,1470.56,1438.93,1488.17,1423.9,
"648",2011-08-15,1510.69,1470.67,1510.83,1470.67,
"649",2011-08-16,1481.18,1510.66,1510.66,1457.43,
"650",2011-08-17,1509.19,1481.19,1515.81,1464.81,
"651",2011-08-18,1452.83,1509.02,1509.02,1429.82,
"652",2011-08-19,1438.74,1452.82,1452.82,1387.97,
"653",2011-08-22,1443.93,1437.9,1461.13,1406.75,
"654",2011-08-23,1444.11,1444,1469.02,1422.33,
"655",2011-08-24,1461.62,1444.21,1468.17,1431.93,
"656",2011-08-25,1442.51,1461.64,1479.91,1439.77,
"657",2011-08-26,1458.84,1442.54,1458.91,1427.31,
"658",2011-08-29,1512.36,1458.82,1513.95,1458.82,
"659",2011-08-30,1514.1,1512.35,1524.93,1500.14,
"660",2011-08-31,1546.05,1514.11,1554.18,1514.11,
"661",2011-09-01,1551.58,1546.05,1553.83,1518.42,
"662",2011-09-02,1515.89,1549.62,1546.72,1510.12,
"663",2011-09-05,1492.83,1515.83,1513.73,1486.56,
"664",2011-09-06,1499.7,1492.83,1513.56,1483.86,
"665",2011-09-07,1546.52,1499.7,1550.93,1499.7,
"666",2011-09-08,1556.46,1546.56,1559.51,1536.48,
"667",2011-09-09,1518.22,1556.41,1556.41,1513.36,
"668",2011-09-12,1493.19,1518.13,1518.13,1469.46,
"669",2011-09-13,1498.16,1493.18,1514.91,1476.69,
"670",2011-09-14,1504.92,1498.16,1520.72,1482.8,
"671",2011-09-15,1525.28,1504.92,1552.04,1504.92,
"672",2011-09-16,1511.5,1525.28,1542.44,1506.6,
"673",2011-09-19,1493.19,1511.48,1509.25,1486.04,
"674",2011-09-20,1519.95,1493.19,1524.36,1493.06,
"675",2011-09-21,1507.25,1519.95,1528.34,1505.55,
"676",2011-09-22,1389.43,1506.93,1495.19,1387.49,
"677",2011-09-23,1327.19,1389.43,1386.55,1291.87,
"678",2011-09-26,1346.86,1327.19,1376.26,1279.23,
"679",2011-09-27,1380.42,1346.9,1390.72,1358.71,
"680",2011-09-28,1377.87,1380.24,1395.03,1358.61,
"681",2011-09-29,1407.71,1377.85,1419.77,1363.46,
"682",2011-09-30,1366.54,1407.71,1409.92,1341.5,
"683",2011-10-03,1344.66,1366.45,1364.93,1315.98,
"684",2011-10-04,1267.77,1344.66,1350.63,1242.75,
