"","NASDAQ Composite (IXIC)_history.csv Date","NASDAQ Composite (IXIC)_history.csv Price","NASDAQ Composite (IXIC)_history.csv Open","NASDAQ Composite (IXIC)_history.csv High","NASDAQ Composite (IXIC)_history.csv Low","NASDAQ Composite (IXIC)_history.csv Volume"
"119",2009-06-23,1764.92,1771.42,1777.58,1753.78,"627380000"
"120",2009-06-24,1792.34,1780.88,1807.08,1780.25,"597730000"
"121",2009-06-25,1829.54,1783.19,1829.67,1779.18,"646350000"
"122",2009-06-26,1838.22,1819.16,1840.98,1816.84,"1.85e+09"
"123",2009-06-29,1844.06,1842.09,1854.09,1825.03,"599120000"
"124",2009-06-30,1835.04,1845.47,1854.69,1824.95,"640400000"
"125",2009-07-01,1845.72,1846.12,1861.62,1843.79,"574670000"
"126",2009-07-02,1796.52,1823.69,1823.91,1795.95,"565140000"
"127",2009-07-06,1787.4,1783.5,1793.42,1770.11,"594470000"
"128",2009-07-07,1746.17,1787.44,1788.97,1745.38,"604920000"
"129",2009-07-08,1747.17,1756,1757.67,1727.05,"760930000"
"130",2009-07-09,1752.55,1756.97,1763.63,1747.44,"579690000"
"131",2009-07-10,1756.03,1744.61,1764.11,1738.26,"518840000"
"132",2009-07-13,1793.21,1761.03,1793.21,1736.95,"619330000"
"133",2009-07-14,1799.73,1790.7,1800.73,1782.85,"583380000"
"134",2009-07-15,1862.9,1827.61,1863.29,1824.31,"788230000"
"135",2009-07-16,1885.03,1856.05,1887.89,1854.7,"657840000"
"136",2009-07-17,1886.61,1880.31,1887.34,1873.81,"630410000"
"137",2009-07-20,1909.29,1896.99,1909.89,1890,"618050000"
"138",2009-07-21,1916.2,1917.39,1917.46,1892.17,"650100000"
"139",2009-07-22,1926.38,1908.83,1934.61,1907.25,"676120000"
"140",2009-07-23,1973.6,1924.96,1979.34,1924.77,"869630000"
"141",2009-07-24,1965.96,1943.23,1966.26,1937.64,"644280000"
"142",2009-07-27,1967.89,1964.62,1971.38,1946.95,"624500000"
"143",2009-07-28,1975.51,1957.26,1978.43,1947.89,"625510000"
"144",2009-07-29,1967.76,1965.32,1970.65,1953.36,"589740000"
"145",2009-07-30,1984.3,1986.21,2009.81,1980.08,"736070000"
"146",2009-07-31,1978.5,1980.72,1995.05,1977.65,"704430000"
"147",2009-08-03,2008.61,1998.35,2008.61,1985.88,"626930000"
"148",2009-08-04,2011.31,1996.38,2015.59,1993.74,"625380000"
"149",2009-08-05,1993.05,2014.45,2014.45,1980.68,"677030000"
"150",2009-08-06,1973.16,1999.21,2004.37,1967.68,"693810000"
"151",2009-08-07,2000.25,1997,2012.33,1984.5,"652700000"
"152",2009-08-10,1992.24,1991.44,1999.55,1979.39,"525780000"
"153",2009-08-11,1969.73,1985.06,1986.85,1962.08,"558150000"
"154",2009-08-12,1998.72,1970.95,2015.26,1970.25,"630700000"
"155",2009-08-13,2009.35,2009.27,2013.43,1986.87,"574550000"
"156",2009-08-14,1985.52,2005.79,2006.73,1969.68,"554780000"
"157",2009-08-17,1930.84,1949.23,1949.23,1929.64,"586540000"
"158",2009-08-18,1955.92,1940.55,1958.71,1935.33,"510600000"
"159",2009-08-19,1969.24,1933.39,1972.32,1931.91,"564660000"
"160",2009-08-20,1989.22,1967.57,1992.22,1965.69,"555790000"
"161",2009-08-21,2020.9,2000.15,2021.86,1994.33,"731140000"
"162",2009-08-24,2017.98,2026.11,2036.03,2012,"5.68e+08"
"163",2009-08-25,2024.23,2025.59,2040.59,2019.17,"558240000"
"164",2009-08-26,2024.43,2021.3,2034.31,2013.52,"5.59e+08"
"165",2009-08-27,2027.73,2021.31,2029.27,1993.03,"595340000"
"166",2009-08-28,2028.77,2050.53,2059.48,2017.42,"668030000"
"167",2009-08-31,2009.06,2011.14,2013.65,1997.53,"679780000"
"168",2009-09-01,1968.89,2001.3,2034.78,1965.48,"789230000"
"169",2009-09-02,1967.07,1960.07,1976.35,1958.51,"586150000"
"170",2009-09-03,1983.2,1975.85,1983.37,1958.04,"545860000"
"171",2009-09-04,2018.78,1986.98,2018.92,1982.05,"498460000"
"172",2009-09-08,2037.77,2034.74,2038.63,2023.03,"581220000"
"173",2009-09-09,2060.39,2038.92,2066.34,2033.47,"709480000"
"174",2009-09-10,2084.02,2059.48,2084.02,2055.49,"694970000"
"175",2009-09-11,2080.9,2083.34,2088.93,2070.02,"626700000"
"176",2009-09-14,2091.78,2066.15,2091.78,2065.8,"606490000"
"177",2009-09-15,2102.64,2090.33,2106.93,2086.16,"657650000"
"178",2009-09-16,2133.15,2110.06,2133.15,2102.86,"753250000"
"179",2009-09-17,2126.75,2129.42,2140.6,2118.5,"715120000"
"180",2009-09-18,2132.86,2134.85,2138.82,2120.7,"1.1e+09"
"181",2009-09-21,2138.04,2121.34,2142.41,2118.48,"6.91e+08"
"182",2009-09-22,2146.3,2150.02,2150.68,2137.39,"709340000"
"183",2009-09-23,2131.42,2152.43,2167.7,2130.34,"739700000"
"184",2009-09-24,2107.61,2140.06,2142.49,2097.1,"711310000"
"185",2009-09-25,2090.92,2095.84,2106.99,2085.35,"642680000"
"186",2009-09-28,2130.74,2101.92,2140.04,2101.43,"534370000"
"187",2009-09-29,2124.04,2131.67,2141.4,2116.63,"572880000"
"188",2009-09-30,2122.42,2131.3,2137.87,2092.3,"803800000"
"189",2009-10-01,2057.48,2111.77,2112.9,2057.48,"788800000"
"190",2009-10-02,2048.11,2040.84,2064.15,2040.73,"707250000"
"191",2009-10-05,2068.15,2056.52,2074.78,2049.04,"637280000"
"192",2009-10-06,2103.57,2080.4,2111.13,2079.49,"686410000"
"193",2009-10-07,2110.33,2099.06,2110.33,2095.94,"611100000"
"194",2009-10-08,2123.93,2124.69,2139.65,2116.06,"704980000"
"195",2009-10-09,2139.28,2120,2139.62,2118.04,"564070000"
"196",2009-10-12,2139.14,2145.63,2155.92,2128.39,"504400000"
"197",2009-10-13,2139.89,2138.7,2146.35,2128.44,"611980000"
"198",2009-10-14,2172.23,2165.83,2173.95,2157.48,"699930000"
"199",2009-10-15,2173.29,2164.33,2173.29,2158.29,"653290000"
"200",2009-10-16,2156.8,2164.73,2164.73,2142.88,"698200000"
"201",2009-10-19,2176.32,2162.41,2180.11,2150.42,"573190000"
"202",2009-10-20,2163.47,2180.43,2181.16,2151.77,"641910000"
"203",2009-10-21,2150.73,2160.78,2190.64,2148.41,"780670000"
"204",2009-10-22,2165.29,2146.72,2169.17,2130.7,"712900000"
"205",2009-10-23,2154.47,2186.64,2190.48,2149.35,"763270000"
"206",2009-10-26,2141.85,2158.81,2183.61,2136.92,"700300000"
"207",2009-10-27,2116.09,2144.15,2148.88,2110.91,"739940000"
"208",2009-10-28,2059.61,2103.36,2111.84,2057.4,"852270000"
"209",2009-10-29,2097.55,2077.04,2101.33,2071.3,"722130000"
"210",2009-10-30,2045.11,2091.56,2095.09,2040.21,"873900000"
"211",2009-11-02,2049.2,2047.42,2069.49,2024.27,"735520000"
"212",2009-11-03,2057.32,2034.09,2057.32,2031.25,"685670000"
"213",2009-11-04,2055.52,2067.56,2081.1,2053,"683020000"
"214",2009-11-05,2105.32,2078.83,2105.32,2075.61,"673610000"
"215",2009-11-06,2112.44,2089.49,2117.62,2088.24,"559090000"
"216",2009-11-09,2154.06,2128.46,2154.06,2128.15,"601400000"
"217",2009-11-10,2151.08,2147.24,2160.64,2141.27,"612670000"
"218",2009-11-11,2166.9,2166.53,2177.91,2155.25,"575830000"
"219",2009-11-12,2149.02,2166.98,2179.19,2145.83,"673040000"
"220",2009-11-13,2167.88,2156.68,2172.05,2145.92,"557640000"
"221",2009-11-16,2197.85,2177.31,2205.32,2177,"634430000"
"222",2009-11-17,2203.78,2190.12,2203.78,2185.55,"564240000"
"223",2009-11-18,2193.14,2199.87,2200.15,2180.17,"566660000"
"224",2009-11-19,2156.82,2176.37,2176.51,2141.59,"683260000"
"225",2009-11-20,2146.04,2145.07,2150.08,2137.06,"635480000"
"226",2009-11-23,2176.01,2168.95,2189.5,2168.77,"556340000"
"227",2009-11-24,2169.18,2174.69,2175.15,2155.22,"550650000"
"228",2009-11-25,2176.05,2174,2178.62,2170.06,"394860000"
"229",2009-11-27,2138.44,2115.96,2155.41,2113.99,"338700000"
"230",2009-11-30,2144.6,2135.93,2146.93,2120.7,"6.94e+08"
"231",2009-12-01,2175.81,2162.23,2182.24,2162.23,"656700000"
"232",2009-12-02,2185.03,2178.51,2198.55,2177.82,"591120000"
"233",2009-12-03,2173.14,2190.42,2203.75,2172.04,"572730000"
"234",2009-12-04,2194.35,2203.75,2214.39,2169.66,"700400000"
"235",2009-12-07,2189.61,2191.35,2201.42,2183.13,"530180000"
"236",2009-12-08,2172.99,2174.72,2187.19,2160.43,"578510000"
"237",2009-12-09,2183.73,2170.02,2185.7,2155.96,"550100000"
"238",2009-12-10,2190.86,2194.9,2202.84,2187.08,"531180000"
"239",2009-12-11,2190.31,2200.96,2202.4,2179.51,"485320000"
"240",2009-12-14,2212.1,2202.31,2212.56,2193.2,"508130000"
"241",2009-12-15,2201.05,2203.54,2217.63,2197.76,"555720000"
"242",2009-12-16,2206.91,2210.35,2220.46,2203.33,"553360000"
"243",2009-12-17,2180.05,2193.5,2198.51,2178.05,"547680000"
"244",2009-12-18,2211.69,2197.57,2213.18,2190.69,"1.27e+09"
"245",2009-12-21,2237.66,2224.04,2242.22,2224.04,"490060000"
"246",2009-12-22,2252.67,2242.61,2253.73,2241.33,"469960000"
"247",2009-12-23,2269.64,2257.21,2271.33,2253.67,"409010000"
"248",2009-12-24,2285.69,2273.95,2285.89,2273.4,"169830000"
"249",2009-12-28,2291.08,2290.04,2295.8,2280.56,"320260000"
"250",2009-12-29,2288.4,2293.94,2294.75,2286.57,"312400000"
"251",2009-12-30,2291.28,2284.56,2293.02,2280.16,"369160000"
"252",2009-12-31,2269.15,2292.92,2293.59,2269.11,"358630000"
"253",2010-01-04,2308.42,2294.41,2311.15,2294.41,"537700000"
"254",2010-01-05,2308.71,2307.27,2313.73,2295.62,"630430000"
"255",2010-01-06,2301.09,2307.71,2314.07,2295.68,"609150000"
"256",2010-01-07,2300.05,2298.09,2301.3,2285.22,"623540000"
"257",2010-01-08,2317.17,2292.24,2317.6,2290.61,"580240000"
"258",2010-01-11,2312.41,2324.78,2326.28,2302.21,"546090000"
"259",2010-01-12,2282.31,2297.28,2298.85,2272.7,"631340000"
"260",2010-01-13,2307.9,2289.46,2313.03,2274.12,"614780000"
"261",2010-01-14,2316.74,2303.31,2322.56,2303.29,"617560000"
"262",2010-01-15,2287.99,2316.98,2322.54,2279.2,"819100000"
"263",2010-01-19,2320.4,2291.02,2320.4,2290.68,"573970000"
"264",2010-01-20,2291.25,2304.31,2304.47,2268.68,"657470000"
"265",2010-01-21,2265.7,2298.23,2308.98,2259.82,"790770000"
"266",2010-01-22,2205.29,2255.76,2262.27,2200.37,"797190000"
"267",2010-01-25,2210.8,2220.29,2223.22,2201.17,"597780000"
"268",2010-01-26,2203.73,2203.44,2227.89,2195.44,"673680000"
"269",2010-01-27,2221.41,2200.3,2225.67,2192.59,"727060000"
"270",2010-01-28,2179,2220.31,2220.87,2166.9,"829360000"
"271",2010-01-29,2147.35,2198.26,2202.84,2140.34,"918050000"
"272",2010-02-01,2171.2,2155.81,2171.2,2152.26,"631690000"
"273",2010-02-02,2190.06,2171.66,2193.66,2161.47,"720070000"
"274",2010-02-03,2190.91,2181.01,2194.53,2176.75,"676190000"
"275",2010-02-04,2125.43,2176.39,2178.25,2125.43,"813070000"
"276",2010-02-05,2141.12,2131.92,2142.27,2100.17,"822610000"
"277",2010-02-08,2126.05,2140.1,2152.64,2125.11,"606270000"
"278",2010-02-09,2150.87,2153.1,2166.16,2132.58,"662580000"
"279",2010-02-10,2147.87,2147.46,2156.36,2131.08,"590400000"
"280",2010-02-11,2177.41,2145.09,2179.54,2134.14,"598660000"
"281",2010-02-12,2183.53,2157.69,2184.57,2151.99,"696170000"
"282",2010-02-16,2214.19,2200.38,2214.19,2189.18,"559680000"
"283",2010-02-17,2226.29,2222.87,2226.32,2212.78,"547430000"
"284",2010-02-18,2241.71,2223.22,2243.5,2221.14,"552210000"
"285",2010-02-19,2243.87,2233.33,2249.8,2228.93,"625300000"
"286",2010-02-22,2242.03,2250.92,2251.68,2235.65,"530460000"
"287",2010-02-23,2213.44,2238.01,2239.8,2205.7,"647220000"
"288",2010-02-24,2235.9,2222.4,2241.69,2221.28,"596220000"
"289",2010-02-25,2234.22,2208.62,2236.21,2198.73,"622710000"
"290",2010-02-26,2238.26,2234.44,2242.83,2222.23,"685210000"
"291",2010-03-01,2273.57,2247.4,2274.02,2247.33,"658990000"
"292",2010-03-02,2280.79,2279.07,2292.49,2275.35,"761750000"
"293",2010-03-03,2280.68,2284.82,2293.32,2275.25,"667110000"
"294",2010-03-04,2292.31,2282.57,2293.16,2273.63,"575820000"
"295",2010-03-05,2326.35,2304.01,2327.03,2301.1,"631260000"
"296",2010-03-08,2332.21,2326.25,2335.43,2326.11,"574700000"
"297",2010-03-09,2340.68,2325.78,2353.07,2325.74,"680190000"
"298",2010-03-10,2358.95,2340.95,2361.66,2340.69,"667970000"
"299",2010-03-11,2368.46,2351.11,2368.46,2347.53,"580470000"
"300",2010-03-12,2367.66,2376.07,2376.28,2358.08,"547560000"
"301",2010-03-15,2362.21,2361.92,2367.4,2345.99,"529840000"
"302",2010-03-16,2378.01,2367.32,2378.84,2360.67,"574650000"
"303",2010-03-17,2389.09,2381.65,2400.09,2381.47,"581550000"
"304",2010-03-18,2391.28,2387.54,2393.87,2383.26,"544110000"
"305",2010-03-19,2374.41,2391.2,2396.92,2364.53,"1.09e+09"
"306",2010-03-22,2395.4,2360.35,2401.21,2358,"603430000"
"307",2010-03-23,2415.24,2397.9,2416.51,2390.04,"584300000"
"308",2010-03-24,2398.76,2406.72,2408.64,2396.92,"588060000"
"309",2010-03-25,2397.41,2415.24,2432.25,2397.36,"661030000"
"310",2010-03-26,2395.13,2406.73,2412.92,2384.69,"588650000"
"311",2010-03-29,2404.36,2403.77,2411.18,2398.4,"4.91e+08"
"312",2010-03-30,2410.69,2406.69,2417.36,2395.8,"575610000"
"313",2010-03-31,2397.96,2402.98,2415.44,2395.34,"681270000"
"314",2010-04-01,2402.58,2411.68,2423.43,2383.77,"581660000"
"315",2010-04-05,2429.53,2409.48,2429.61,2403.88,"501680000"
"316",2010-04-06,2436.81,2420.33,2443.5,2417.77,"529600000"
"317",2010-04-07,2431.16,2433.1,2442.27,2418.73,"669230000"
"318",2010-04-08,2436.81,2423.99,2441.12,2413.74,"589570000"
"319",2010-04-09,2454.05,2441.31,2454.12,2432.93,"525580000"
"320",2010-04-12,2457.87,2455.4,2463.17,2450.15,"527780000"
"321",2010-04-13,2465.99,2454.95,2467.94,2445.26,"619840000"
"322",2010-04-14,2504.86,2481.8,2504.86,2480.43,"744130000"
"323",2010-04-15,2515.69,2503.41,2517.82,2502.51,"673130000"
"324",2010-04-16,2481.26,2505.38,2510.06,2467.68,"836010000"
"325",2010-04-19,2480.11,2477.8,2487.67,2451.72,"559150000"
"326",2010-04-20,2500.31,2492.72,2501.25,2480.7,"544720000"
"327",2010-04-21,2504.61,2506.61,2510.5,2490.19,"712040000"
"328",2010-04-22,2519.07,2483.52,2521.02,2468.26,"730120000"
"329",2010-04-23,2530.15,2514.85,2530.15,2507.6,"636210000"
"330",2010-04-26,2522.95,2529.85,2535.28,2521.51,"616030000"
"331",2010-04-27,2471.47,2512.58,2525.7,2466.53,"745940000"
"332",2010-04-28,2471.73,2483.03,2484.15,2456.63,"732760000"
"333",2010-04-29,2511.92,2487.33,2513.69,2483.5,"799050000"
"334",2010-04-30,2461.19,2509.99,2514.37,2461.09,"782210000"
"335",2010-05-03,2498.74,2472.32,2503,2472.32,"600740000"
"336",2010-05-04,2424.25,2465.55,2465.55,2411.28,"774960000"
"337",2010-05-05,2402.29,2395.21,2421.05,2382.07,"768300000"
"338",2010-05-06,2319.64,2391.21,2407.79,2185.75,"1.21e+09"
"339",2010-05-07,2265.64,2308.71,2330.65,2228.06,"1.18e+09"
"340",2010-05-10,2374.67,2365.97,2379.87,2349.4,"790240000"
"341",2010-05-11,2375.31,2347.7,2405.26,2345.5,"6.62e+08"
"342",2010-05-12,2425.02,2388.64,2426.47,2384.69,"599380000"
"343",2010-05-13,2394.36,2416.36,2434.29,2387.59,"599850000"
"344",2010-05-14,2346.85,2373.88,2374.53,2323.63,"669620000"
"345",2010-05-17,2354.23,2352.77,2364.65,2304.28,"634640000"
"346",2010-05-18,2317.26,2372.84,2374.91,2309.22,"660300000"
"347",2010-05-19,2298.37,2307.78,2324.99,2270.62,"712800000"
"348",2010-05-20,2204.01,2245.56,2253.04,2203.5,"946920000"
"349",2010-05-21,2229.04,2169.58,2243,2165.79,"1.04e+09"
"350",2010-05-24,2213.55,2220.6,2244.67,2212.37,"564860000"
"351",2010-05-25,2210.95,2157.45,2211.94,2140.53,"804040000"
"352",2010-05-26,2195.88,2226.24,2257.33,2190.44,"1.03e+09"
"353",2010-05-27,2277.68,2244.82,2278.37,2239.72,"645620000"
"354",2010-05-28,2257.04,2275.19,2277.1,2241.52,"650220000"
"355",2010-06-01,2222.33,2244.79,2277.39,2220.89,"605060000"
"356",2010-06-02,2281.07,2234.59,2281.07,2221.07,"624620000"
"357",2010-06-03,2303.03,2285.76,2307.47,2274.88,"585150000"
"358",2010-06-04,2219.17,2257.05,2278.58,2212.3,"651220000"
"359",2010-06-07,2173.9,2226.6,2232.89,2172.25,"611150000"
"360",2010-06-08,2170.57,2176.07,2183.1,2139.46,"732980000"
"361",2010-06-09,2158.85,2184.78,2208.65,2152.67,"624760000"
"362",2010-06-10,2218.71,2188.71,2219.65,2185.98,"599250000"
"363",2010-06-11,2243.6,2199.4,2243.6,2196.91,"479990000"
"364",2010-06-14,2243.96,2263.66,2278.96,2242,"495940000"
"365",2010-06-15,2305.88,2256.48,2307.98,2256.44,"582190000"
"366",2010-06-16,2305.93,2293.56,2317.75,2290.26,"499150000"
"367",2010-06-17,2307.16,2316.59,2318.27,2288.59,"471310000"
"368",2010-06-18,2309.8,2308.94,2321.99,2301.48,"782920000"
"369",2010-06-21,2289.09,2341.11,2341.11,2277.73,"503810000"
"370",2010-06-22,2261.8,2296.83,2313.72,2259.59,"526150000"
"371",2010-06-23,2254.23,2264.41,2271.74,2236.99,"511840000"
"372",2010-06-24,2217.42,2246.2,2247.42,2213.5,"576450000"
"373",2010-06-25,2223.48,2224.73,2240.88,2205.92,"1.74e+09"
"374",2010-06-28,2220.65,2227.43,2241.64,2208.37,"494230000"
"375",2010-06-29,2135.18,2183.92,2185.3,2122.67,"814460000"
"376",2010-06-30,2109.24,2134.03,2153.36,2105.26,"650560000"
"377",2010-07-01,2101.36,2110.75,2117.94,2061.14,"739370000"
"378",2010-07-02,2091.79,2105.5,2110.66,2077.71,"492510000"
"379",2010-07-06,2093.88,2122.28,2136.3,2077.77,"632380000"
"380",2010-07-07,2159.47,2099.66,2159.79,2098.11,"627450000"
