"","Shanghai Composite (SSEC)_history.csv Date","Shanghai Composite (SSEC)_history.csv Price","Shanghai Composite (SSEC)_history.csv Open","Shanghai Composite (SSEC)_history.csv High","Shanghai Composite (SSEC)_history.csv Low","Shanghai Composite (SSEC)_history.csv Volume"
"1285",2014-04-22,2072.83,2062.79,2073.66,2047.33,"98720"
"1286",2014-04-23,2067.38,2068.08,2076.35,2059.11,"78530"
"1287",2014-04-24,2057.03,2064.16,2075.76,2056.19,"78190"
"1288",2014-04-25,2036.52,2060.54,2065.64,2035.57,"93040"
"1289",2014-04-28,2003.49,2033.34,2035.99,2000.14,"89800"
"1290",2014-04-29,2020.34,2001.9,2021.68,1997.64,"76220"
"1291",2014-04-30,2026.36,2020.44,2029.54,2016.58,"74530"
"1292",2014-05-05,2027.35,2022.18,2028.96,2007.35,"79930"
"1293",2014-05-06,2028.04,2024.26,2038.7,2021.49,"74610"
"1294",2014-05-07,2010.08,2023.15,2024.63,2008.45,"74360"
"1295",2014-05-08,2015.27,2006.85,2036.94,2005.69,"77870"
"1296",2014-05-09,2011.13,2016.5,2020.45,2001.3,"76220"
"1297",2014-05-12,2052.87,2022.93,2055.51,2016.64,"115740"
"1298",2014-05-13,2050.73,2055.08,2061.06,2043.55,"97220"
"1299",2014-05-14,2047.91,2049.27,2056.57,2042.74,"72010"
"1300",2014-05-15,2024.97,2044.38,2047.32,2022.86,"75850"
"1301",2014-05-16,2026.5,2023.6,2027.76,2012.69,"66350"
"1302",2014-05-19,2005.18,2023.01,2023.27,1996.01,"65330"
"1303",2014-05-20,2008.12,2011.85,2018.16,2002.76,"61350"
"1304",2014-05-21,2024.95,2001.31,2025.19,1991.06,"61810"
"1305",2014-05-22,2021.29,2023.15,2041.96,2018.88,"74730"
"1306",2014-05-23,2034.57,2020.11,2034.57,2017.74,"63490"
"1307",2014-05-26,2041.48,2042.03,2045.38,2035.09,"70280"
"1308",2014-05-27,2034.57,2039.79,2044.15,2032.84,"67580"
"1309",2014-05-28,2050.23,2034.56,2052.66,2029.34,"81340"
"1310",2014-05-29,2040.6,2051.84,2057.08,2039.24,"81240"
"1311",2014-05-30,2039.21,2040.39,2046.96,2031.37,"75150"
"1312",2014-06-03,2038.31,2039.2,2049.58,2037.3,"71580"
"1313",2014-06-04,2024.83,2037.99,2038.48,2012.91,"72410"
"1314",2014-06-05,2040.88,2019.44,2041.7,2016.17,"67950"
"1315",2014-06-06,2029.96,2040.86,2041.57,2022.16,"66020"
"1316",2014-06-09,2030.5,2024.94,2045.26,2023.2,"64790"
"1317",2014-06-10,2052.53,2033.21,2052.77,2026.39,"79620"
"1318",2014-06-11,2054.95,2049.13,2056.63,2045.41,"74440"
"1319",2014-06-12,2051.71,2051.58,2057.1,2045.96,"81710"
"1320",2014-06-13,2070.71,2049.21,2073.6,2048.62,"97180"
"1321",2014-06-16,2085.98,2070.7,2087.32,2069.44,"95940"
"1322",2014-06-17,2066.7,2080.48,2080.48,2064.67,"87800"
"1323",2014-06-18,2055.52,2064.38,2066.91,2051.75,"87250"
"1324",2014-06-19,2023.73,2054.62,2059.25,2017.65,"92910"
"1325",2014-06-20,2026.67,2013.41,2027.15,2010.53,"67170"
"1326",2014-06-23,2024.37,2026.23,2033.32,2022.92,"70490"
"1327",2014-06-24,2033.93,2023.7,2034.71,2021.75,"71220"
"1328",2014-06-25,2025.5,2030.43,2030.62,2018.36,"67540"
"1329",2014-06-26,2038.68,2025.66,2040.75,2025.31,"80960"
"1330",2014-06-27,2036.51,2031.91,2043.98,2025.07,"97590"
"1331",2014-06-30,2048.33,2038.61,2052.34,2038.53,"96670"
"1332",2014-07-01,2050.38,2051.22,2052.63,2041.94,"98460"
"1333",2014-07-02,2059.42,2049.48,2060.6,2044.04,"109550"
"1334",2014-07-03,2063.23,2051.63,2066.64,2048.08,"122930"
"1335",2014-07-04,2059.37,2062.36,2065.08,2054.22,"105010"
"1336",2014-07-07,2059.93,2058.13,2064.04,2050.89,"97170"
"1337",2014-07-08,2064.02,2058.13,2064.43,2047.2,"95050"
"1338",2014-07-09,2038.61,2061.63,2062.47,2037.6,"113310"
"1339",2014-07-10,2038.34,2036.54,2045.53,2034.96,"97940"
"1340",2014-07-11,2046.96,2033.87,2051.74,2033,"105090"
"1341",2014-07-14,2066.65,2047.74,2067.34,2044.9,"115120"
"1342",2014-07-15,2070.36,2065.9,2070.36,2059.68,"124490"
"1343",2014-07-16,2067.28,2068.34,2075.49,2061.57,"137130"
"1344",2014-07-17,2055.59,2062.89,2062.89,2046.19,"104490"
"1345",2014-07-18,2059.07,2047.5,2067.23,2046,"106640"
"1346",2014-07-21,2054.48,2057.77,2061.82,2049.18,"93860"
"1347",2014-07-22,2075.48,2050.5,2078.09,2049.81,"123190"
"1348",2014-07-23,2078.49,2074.2,2088.19,2072.23,"137290"
