"","FTSE MIB (FTMIB)_history.csv Date","FTSE MIB (FTMIB)_history.csv Price","FTSE MIB (FTMIB)_history.csv Open","FTSE MIB (FTMIB)_history.csv High","FTSE MIB (FTMIB)_history.csv Low","FTSE MIB (FTMIB)_history.csv Volume"
"1675",2015-07-16,23783.14,23516.66,23784.54,23484.83,"752370000"
"1676",2015-07-17,23765.41,23852.24,23875.64,23690.76,"493590000"
"1677",2015-07-20,24031.19,23798.84,24157.39,23797.8,"584310000"
"1678",2015-07-21,23712.9,24071.63,24121.03,23699.94,"514910000"
"1679",2015-07-22,23681.11,23585.94,23802.6,23536.15,"447920000"
"1680",2015-07-23,23633.05,23824.72,23885.52,23610.43,"451800000"
"1681",2015-07-24,23507.7,23599.78,23813.85,23491.59,"453810000"
"1682",2015-07-27,22809.3,23387.02,23396.65,22809.3,"662090000"
"1683",2015-07-28,23328.02,22979.54,23328.02,22951.01,"526930000"
"1684",2015-07-29,23248.9,23424.86,23469.4,23035.24,"632700000"
"1685",2015-07-30,23396.09,23380.85,23479.83,23191.18,"680670000"
"1686",2015-07-31,23538.03,23459.38,23538.03,23293.35,"561610000"
"1687",2015-08-03,23714.38,23553.15,23748.68,23478.05,"490360000"
"1688",2015-08-04,23473.25,23657.52,23662.05,23341.76,"508550000"
"1689",2015-08-05,23911.81,23579.64,23917.64,23555.21,"639880000"
"1690",2015-08-06,23811.09,23852.49,23970.56,23804.98,"660930000"
"1691",2015-08-07,23705,23807.22,23866.98,23705,"693320000"
"1692",2015-08-10,23966.44,23705,23992.48,23659.78,"396690000"
"1693",2015-08-11,23698.49,23916.25,23979.61,23698.49,"419920000"
"1694",2015-08-12,22997.55,23530.52,23533.01,22923.11,"670240000"
"1695",2015-08-13,23356.01,23347.39,23545.82,23255.67,"523540000"
"1696",2015-08-14,23248.52,23371.35,23524.73,23175.01,"365060000"
"1697",2015-08-17,23407.99,23367.64,23465.37,23103.65,"334840000"
"1698",2015-08-18,23389.72,23334.75,23495.41,23259.17,"338010000"
"1699",2015-08-19,22975.32,23209.96,23338.8,22975.32,"470920000"
"1700",2015-08-20,22378.65,22836.57,23011.01,22352.15,"623010000"
"1701",2015-08-21,21746.17,22002.39,22379.62,21746.17,"717680000"
"1702",2015-08-24,20450.43,20992.9,21349.59,20158.22,"1.22e+09"
