"","BIST 100 (XU100)_history.csv Date","BIST 100 (XU100)_history.csv Price","BIST 100 (XU100)_history.csv Open","BIST 100 (XU100)_history.csv High","BIST 100 (XU100)_history.csv Low","BIST 100 (XU100)_history.csv Volume"
"1081",2013-04-11,84102.61,83038.79,84175.37,83038.79,"511000"
"1082",2013-04-12,84581.07,84316.76,84836.25,83944.5,"453570"
"1083",2013-04-15,85107.29,84310.56,85536.45,84150.32,"507380"
"1084",2013-04-16,84705.64,85165.3,85911.17,84299.46,"654770"
"1085",2013-04-17,84397.87,85007.05,85287.8,84118.49,"458480"
"1086",2013-04-18,83038.3,84517.63,84817.17,82610.97,"446460"
"1087",2013-04-19,83285.45,83468.48,83492.02,82323.01,"403130"
"1088",2013-04-22,84023.36,83611.26,84139.78,83236.63,"283080"
"1089",2013-04-24,84780.38,84748.7,85026.83,84535.74,"538510"
"1090",2013-04-25,84943.49,84962.37,85573.24,84566.65,"494970"
"1091",2013-04-26,85112.29,85041.69,85362.28,84506.9,"420070"
"1092",2013-04-29,85154.15,85325.53,85655.71,84627.58,"455790"
"1093",2013-04-30,86046.04,85570.72,86499.52,85174.32,"569270"
"1094",2013-05-02,88669.73,86255.38,88804.51,86062.93,"599420"
"1095",2013-05-03,89093.7,88971.23,89986.73,88421.71,"615840"
"1096",2013-05-06,89714.78,89055.55,89883.31,88759.86,"423820"
"1097",2013-05-07,89459.45,89954.34,90372.96,89015.49,"565790"
"1098",2013-05-08,90852.21,89738.59,91085.24,89360.83,"651570"
"1099",2013-05-09,89931.15,91037.64,91371.7,89614.86,"545670"
"1100",2013-05-10,89568.89,90218.29,90340.97,88872.61,"477620"
"1101",2013-05-13,89765.18,89367.48,90159.78,88926.83,"477040"
"1102",2013-05-14,91287.14,90386.2,91338.59,90152.29,"486210"
"1103",2013-05-15,92112.07,91549.53,92250.95,91428.76,"625500"
"1104",2013-05-16,91946.74,92235.83,92739.3,91575.74,"593280"
"1105",2013-05-17,91924.84,93095.91,93116.29,91681.89,"640850"
"1106",2013-05-20,90165.14,92172.88,92474.46,89975.65,"523710"
"1107",2013-05-21,91190.82,90750.92,91421.66,90241.23,"520610"
"1108",2013-05-22,93178.87,91514.24,93398.33,91189.12,"560720"
"1109",2013-05-23,91351.4,91169.92,91844.56,90614.49,"551960"
"1110",2013-05-24,91016.31,91706.47,92311.75,90870.35,"580690"
"1111",2013-05-27,90546.75,91169.17,91186.3,90305.96,"537390"
"1112",2013-05-28,89916.41,91097.78,91628.23,89820.01,"728910"
"1113",2013-05-29,87174.54,89111.16,89111.16,87145.75,"603500"
"1114",2013-05-30,87170.23,87037.15,87663.16,86654.56,"500500"
"1115",2013-05-31,85990.01,87278.56,87524.8,84867.35,"672860"
"1116",2013-06-03,76983.66,80463.03,82218.48,76983.66,"787690"
"1117",2013-06-04,80733.25,78413.91,81146.76,78413.91,"768690"
"1118",2013-06-05,79636.79,80177.66,80657.86,78809.73,"645060"
"1119",2013-06-06,75895.26,79166.34,79729.63,73033.7,"818830"
"1120",2013-06-07,78332.59,75834.46,78632.21,75108.21,"728290"
"1121",2013-06-10,76386.19,76903.34,77853.97,75985.9,"603770"
"1122",2013-06-11,75041.03,77046.88,78110.2,74306.98,"740900"
"1123",2013-06-12,76880.65,75537.43,76900.3,75341.29,"565170"
"1124",2013-06-13,76488.6,76668.82,77817.37,76488.6,"559250"
"1125",2013-06-14,80011.09,78028.38,80048.27,78028.38,"709510"
"1126",2013-06-17,78946.45,78596.16,80306.5,78291.09,"545890"
"1127",2013-06-18,77739.61,79426.78,79784.73,77693.59,"466440"
"1128",2013-06-19,78834.61,78381.12,79185.23,77862.6,"413200"
"1129",2013-06-20,73461.89,76976.33,76982.62,73461.89,"750620"
"1130",2013-06-21,73101.76,74268.98,74847.73,72496.59,"660060"
"1131",2013-06-24,70640.5,72718.74,73536.84,70093.95,"604360"
"1132",2013-06-25,71214.61,71542.29,73169.61,71098.01,"628030"
"1133",2013-06-26,73851.53,71817.72,74013.53,71708.27,"533540"
"1134",2013-06-27,75761.53,74620.62,76067.56,74620.62,"597650"
"1135",2013-06-28,76294.51,76342.82,77016.03,74423.23,"682110"
"1136",2013-07-01,76736.59,76423.8,76908.11,75670.14,"387610"
"1137",2013-07-02,76438.81,76965.67,76965.67,75993.48,"399830"
"1138",2013-07-03,73718.71,75843.3,75843.3,73294.53,"503400"
"1139",2013-07-04,75409.63,74219.65,75569.3,73397.65,"459690"
"1140",2013-07-05,73111.83,75637.22,75806.34,73050.2,"518120"
"1141",2013-07-08,71682.3,73257.01,73643.11,71402.71,"493480"
"1142",2013-07-09,71981.59,72483,73077.53,71731.95,"536090"
"1143",2013-07-10,71074.11,72608.51,73133.24,70409.35,"627380"
"1144",2013-07-11,71789.85,72853.46,73168.79,71174.13,"709120"
"1145",2013-07-12,73921.95,72028.71,73935.79,71519.01,"650730"
"1146",2013-07-15,76227.95,74275.51,76227.95,74200.44,"711300"
"1147",2013-07-16,75678.08,76180.34,76542.9,75236.78,"615500"
"1148",2013-07-17,77072.09,75804.32,77255.44,75426.16,"748290"
"1149",2013-07-18,77022.76,77059.61,77662.96,76384.05,"748250"
"1150",2013-07-19,75873.99,76857.26,77022.1,75760.43,"495080"
"1151",2013-07-22,75816.02,76181.83,76395.64,75447.43,"399960"
"1152",2013-07-23,75368.07,76180.76,77176.29,75180.22,"577460"
"1153",2013-07-24,74015.22,75503.36,75712.83,73920.92,"516300"
"1154",2013-07-25,73849.74,73624.96,73958.82,72455.21,"644430"
"1155",2013-07-26,72555,74006.79,74182.39,72473.27,"532230"
"1156",2013-07-29,72938.89,72352.27,73052.72,72070.08,"410180"
"1157",2013-07-30,74420.79,73649.15,74562.74,73487,"483750"
"1158",2013-07-31,73377.45,74305.21,74593.37,72941.6,"526890"
"1159",2013-08-01,73401.77,74253.84,74392.77,73345.35,"454100"
"1160",2013-08-02,74032.75,73543.47,74231.62,72827.17,"493270"
"1161",2013-08-05,74290.06,74168.92,74896.69,74019.91,"381120"
"1162",2013-08-06,74031.56,74271.43,74498.06,73733.35,"264520"
"1163",2013-08-07,73544.83,73785.24,73932.31,73544.83,"115140"
"1164",2013-08-12,75374.51,74264.51,75374.51,74108.15,"403330"
"1165",2013-08-13,75514.24,75599.75,76126.07,75159.06,"539080"
"1166",2013-08-14,75585.89,75643.1,76134.1,75417.87,"390290"
"1167",2013-08-15,73978.17,75629.65,76041.51,73825.19,"443350"
"1168",2013-08-16,74275.43,74041.81,74467.73,73472.43,"357430"
"1169",2013-08-19,72382.71,73693.1,73693.1,72382.71,"397400"
"1170",2013-08-20,72204.25,72282.21,72560.54,71463.37,"447850"
"1171",2013-08-21,69709.46,72228.08,72366.57,69709.46,"483820"
"1172",2013-08-22,68300.05,68839.44,68898.81,67343.47,"687250"
"1173",2013-08-23,67932.32,68718.94,68911.05,67297.09,"549860"
"1174",2013-08-26,68775.02,68215.41,68947.49,67316.52,"418370"
"1175",2013-08-27,65519.87,67632.63,67795.32,65478.78,"618100"
"1176",2013-08-28,65452.4,64523.88,65803.87,63887.7,"709100"
"1177",2013-08-29,66394.41,66027.86,67229.33,66010.24,"629340"
"1178",2013-09-02,68545.38,67446.34,68550.47,67446.34,"448170"
"1179",2013-09-03,66973.08,68828.63,68828.63,66862.06,"538470"
"1180",2013-09-04,66965.84,67375.42,67609.83,66668.39,"471480"
"1181",2013-09-05,66715.06,66933.2,67227.29,66212.7,"431350"
"1182",2013-09-06,67232.42,66768.84,68171.89,66464.25,"488700"
"1183",2013-09-09,69689.21,67958.36,69689.21,67930.46,"516930"
"1184",2013-09-10,71787.99,70369.68,71952.7,70369.27,"675670"
"1185",2013-09-11,71771.6,71552.65,72431.52,71264.4,"652090"
"1186",2013-09-12,72722.34,72057.44,72778.58,71318.87,"613200"
"1187",2013-09-13,71635.02,72114.67,72773.32,71463.63,"586080"
"1188",2013-09-16,74258.55,73031.14,74482.43,73031.14,"675280"
"1189",2013-09-17,74783.39,74102.62,74783.39,73861.28,"643280"
"1190",2013-09-18,74660.5,74922.44,75165.03,74499.08,"611760"
"1191",2013-09-19,79466.04,78214.15,80569.53,78214.15,"1210000"
"1192",2013-09-20,77862.93,79467.91,79505.63,77582.27,"666100"
"1193",2013-09-23,76807.89,77873.82,78127.34,76594.78,"624690"
"1194",2013-09-24,76529.68,76940.87,77495.92,76290.94,"519130"
"1195",2013-09-25,76234.32,76295.48,76875.24,75919.63,"677090"
"1196",2013-09-26,75618.2,76157.82,76530.31,75618.2,"485490"
"1197",2013-09-27,74772.34,75709.95,75869.84,74772.34,"459020"
"1198",2013-09-30,74486.56,74341.79,74692.67,73545.18,"568460"
"1199",2013-10-01,76469.99,75018.07,76670.08,75018.07,"615750"
"1200",2013-10-02,75162.81,76514.29,76863.89,75084.91,"765670"
"1201",2013-10-03,76269.85,75772.64,76428.4,75441.1,"491030"
"1202",2013-10-04,76206.97,76245.19,76503.68,75630.8,"540460"
"1203",2013-10-07,75901.17,75839.16,76173.16,75363.38,"364900"
"1204",2013-10-08,75063.87,75761.69,75938,74988.48,"566830"
"1205",2013-10-09,74483.85,74749.39,74847.59,73809.62,"514870"
"1206",2013-10-10,75639.77,74942.92,75921.42,74940.66,"535720"
"1207",2013-10-11,76176.36,76210.13,76413.06,76002.03,"348400"
"1208",2013-10-14,76234.96,76061.85,76414.78,75992.26,"109010"
"1209",2013-10-21,78877.02,78160.83,78877.02,77856.13,"640880"
"1210",2013-10-22,79272.42,78842.91,79588.8,78407.16,"711710"
"1211",2013-10-23,78515.59,79001.29,79408.01,78304.43,"610800"
"1212",2013-10-24,78845.79,78837.21,79480.53,78747.76,"551210"
"1213",2013-10-25,79271.5,78939.79,79328.64,78441.99,"503460"
"1214",2013-10-28,79565.18,79644.5,79838.06,79532.96,"256240"
"1215",2013-10-30,78919.41,79939.83,80462.89,78868.21,"648990"
"1216",2013-10-31,77620.37,78362.19,78525.17,77187.6,"534150"
"1217",2013-11-01,76501.23,77903.65,77903.65,76387.42,"527200"
"1218",2013-11-04,76234.16,76546.39,77099.1,76234.16,"444250"
"1219",2013-11-05,74744.25,76449.28,76968.24,74744.25,"463260"
"1220",2013-11-06,75768.59,75133.87,75897.63,74860.06,"412360"
"1221",2013-11-07,75811.5,75573.3,76770.95,75494.46,"459120"
"1222",2013-11-08,73918.3,75484.91,75683.1,73754.08,"520430"
"1223",2013-11-11,72139.95,74155.71,74468.88,72132.61,"514070"
"1224",2013-11-12,71904.6,72501.06,72612.98,71163.36,"537890"
"1225",2013-11-13,72326.95,71823.06,72383,70835.67,"1110000"
"1226",2013-11-14,73974.77,73582.71,74328.54,73459.01,"776260"
"1227",2013-11-15,74273.24,74429.28,74887.41,74273.24,"658630"
"1228",2013-11-18,75597.68,74634.14,75597.68,74523.9,"511830"
"1229",2013-11-19,74617.72,75522.8,75554.32,74510.82,"566500"
"1230",2013-11-20,75381.71,74596.8,75394.47,73970.18,"705050"
"1231",2013-11-21,74679.25,74294.84,75125.7,74005.19,"650860"
"1232",2013-11-22,75638.05,75065.63,75874.65,75002.29,"517100"
"1233",2013-11-25,76531.43,76483.66,77044.07,76483.66,"506740"
"1234",2013-11-26,75563.19,76557.14,76557.14,75243.84,"525280"
"1235",2013-11-27,74896.01,75497.94,75790.86,74896.01,"417290"
"1236",2013-11-28,74580.37,75074.84,75322.39,74469.61,"378580"
"1237",2013-11-29,75748.27,74642.66,75838.23,74510.06,"379410"
"1238",2013-12-02,74951.23,75896.86,76197.22,74951.23,"430390"
"1239",2013-12-03,73087.49,74867.73,75021.68,73029.97,"602910"
"1240",2013-12-04,73088.65,72935.66,73355.7,72015.97,"509160"
"1241",2013-12-05,71991.94,72988.33,73173.56,71991.94,"501660"
"1242",2013-12-06,73378.44,72201.76,73537.9,71612.49,"593500"
"1243",2013-12-09,74232.88,74000.4,74583.85,73921.82,"447040"
"1244",2013-12-10,74118.02,74373.45,74393.29,73642.67,"419240"
"1245",2013-12-11,73965.8,73828.13,74950.88,73803.31,"516730"
"1246",2013-12-12,73071.78,73686.93,74069.84,72930.58,"450600"
"1247",2013-12-13,74064.98,73586.53,74126.21,73536,"398610"
"1248",2013-12-16,74843.38,73873.35,74973.76,73812.34,"388080"
"1249",2013-12-17,70946.06,73668.17,73789.88,70121.65,"899600"
"1250",2013-12-18,71417.26,69113.22,71417.26,68184.36,"952600"
"1251",2013-12-19,69100.02,70834.89,71841.29,68587.13,"903910"
"1252",2013-12-20,69572.83,69444.28,69932.54,68622.9,"844320"
"1253",2013-12-23,68086.14,70138.95,70234.04,67473.45,"669610"
"1254",2013-12-24,68997.82,68193.27,69364.82,68014.2,"583110"
"1255",2013-12-25,66096.57,69322.56,69880.15,66096.57,"743250"
"1256",2013-12-26,64555.2,66381.72,66886.21,64160.48,"674030"
"1257",2013-12-27,63885.22,64290.46,64366.82,61150.17,"861320"
"1258",2013-12-30,67985.7,65292.37,67985.7,64925.97,"756280"
"1259",2013-12-31,67801.73,68210.33,68705.24,66478.61,"732550"
"1260",2014-01-02,66985.82,67367.44,67367.44,65825.76,"562270"
"1261",2014-01-03,65967.14,67151.3,67353.71,65429.54,"597920"
"1262",2014-01-06,68021.99,66281.5,68299.03,65742.31,"727360"
"1263",2014-01-07,68598.61,67651.57,68949.54,67283.99,"876570"
"1264",2014-01-08,67331.7,68445.56,68959.19,67199.2,"763220"
"1265",2014-01-09,66413.59,66713.02,66763.89,66021.59,"413550"
"1266",2014-01-10,67912.11,66870.1,67912.11,66479.2,"626980"
"1267",2014-01-13,68062.29,68389.73,68691.29,67943.21,"563620"
"1268",2014-01-14,68072.51,67137.74,68072.51,66885.15,"545820"
"1269",2014-01-15,68134.63,68070.46,68542.71,67557.76,"702800"
"1270",2014-01-16,66843.58,67074.61,67630.45,66745.88,"594860"
"1271",2014-01-17,65635.03,67160.95,67211.12,65635.03,"591840"
"1272",2014-01-20,65763.63,64895.65,66091.58,64841.51,"481680"
"1273",2014-01-21,66318.69,66247.74,67185.87,65997.9,"626260"
"1274",2014-01-22,67367.27,67007.61,67450.72,66708.24,"562140"
"1275",2014-01-23,65429.29,66935.34,67333.66,65429.29,"762980"
"1276",2014-01-24,64427.52,65747.67,65779.06,63271.64,"843710"
"1277",2014-01-27,64568.74,64360.15,65355.59,63380.16,"752300"
"1278",2014-01-28,63543.7,65310.37,65546.61,63498.08,"624440"
"1279",2014-01-29,62088.7,64777.12,65326.19,60753.53,"1180000"
"1280",2014-01-30,62701.39,62210.46,62819.17,60898.3,"790320"
"1281",2014-01-31,61858.21,62666.61,62666.61,61425.64,"605690"
"1282",2014-02-03,61675.17,62165.85,62421.23,61529.81,"461420"
"1283",2014-02-04,62732.73,61311.37,62792.25,60848.52,"711590"
"1284",2014-02-05,62442.45,62839.48,63394.02,62405.19,"700920"
"1285",2014-02-06,64549.87,62734.33,64549.87,62700.84,"776870"
"1286",2014-02-07,64614.34,64616.2,64924.31,64042.76,"751330"
"1287",2014-02-10,64050.16,64350.89,64368.06,63572.24,"538480"
"1288",2014-02-11,64280.69,64383.67,64822.09,64055.51,"614750"
"1289",2014-02-12,64513.72,64818.07,65048.25,64469.97,"556820"
"1290",2014-02-13,63764.95,64206.03,64206.03,63698.06,"474410"
"1291",2014-02-14,64882.91,64109.97,64997.09,64025.64,"601050"
"1292",2014-02-17,65599.17,65437.15,65915.73,65437.15,"466030"
"1293",2014-02-18,64125.72,65632.86,65632.86,64125.72,"613780"
"1294",2014-02-19,63382.13,63988.3,64144.94,63049.85,"568680"
"1295",2014-02-20,63681.01,63020.51,63791.91,62705.15,"538140"
"1296",2014-02-21,63885.62,63899.88,64113.73,63440.68,"438210"
"1297",2014-02-24,64185.96,64036.67,64377.31,63664.41,"379220"
"1298",2014-02-25,62123.84,62478.75,62639.68,61894.53,"591680"
"1299",2014-02-26,61503.04,62335.58,62677.24,61465.77,"491520"
"1300",2014-02-27,61779.24,61178.33,62007.01,61141.72,"431880"
"1301",2014-02-28,62553.32,62020.77,62949.78,62020.77,"518030"
"1302",2014-03-03,61189.15,61654.54,61706.17,61166.36,"313360"
"1303",2014-03-04,63030.66,62034.95,63097.01,62034.95,"426970"
"1304",2014-03-05,63444.72,63150.56,63909.36,63129.03,"436460"
"1305",2014-03-06,64004.2,63824.89,64174.18,63494.34,"581930"
"1306",2014-03-07,63095.99,64077.95,64145.36,62902.42,"460110"
"1307",2014-03-10,62731.5,62791.03,63280.98,62401.13,"471880"
"1308",2014-03-11,63065.64,62943.95,63329.33,62571.72,"425290"
"1309",2014-03-12,63258.61,62296.97,63331.85,62139.6,"534710"
"1310",2014-03-13,63345.36,63452.84,64126.72,63338.7,"486610"
"1311",2014-03-14,63278.93,63015.65,63558.32,62825.47,"528550"
"1312",2014-03-17,64197.78,63761.05,64311.15,63761.05,"357730"
"1313",2014-03-18,65573.5,64313.4,65727.72,64137.35,"612620"
"1314",2014-03-19,65487.07,65566.77,66023.08,65406.86,"591100"
"1315",2014-03-20,65261.35,65312.01,65835.9,65142.28,"506780"
"1316",2014-03-21,64579.37,64901.18,65045.32,64579.37,"423580"
"1317",2014-03-24,63710.45,64755.35,65000.53,63710.45,"352830"
"1318",2014-03-25,64696.47,63958.51,65001.02,63836.05,"431780"
"1319",2014-03-26,67730.78,65215.53,67857.05,65215.53,"827430"
"1320",2014-03-27,67048.36,67540.96,68149.68,67025.78,"963030"
"1321",2014-03-28,69117.32,67331.15,69318.49,67331.15,"969670"
"1322",2014-03-31,69736.34,70464.73,70464.73,68721.04,"1030000"
"1323",2014-04-01,70857.41,69848.67,71070.44,69551.34,"834600"
"1324",2014-04-02,70648.03,70811.38,71468.58,70388.02,"954300"
"1325",2014-04-03,71544.81,70836.12,72095.88,70836.12,"909280"
"1326",2014-04-04,72582.86,71915.41,72683.23,71342.51,"701030"
"1327",2014-04-07,72489.07,72140.47,72864.35,72032.77,"549130"
"1328",2014-04-08,73946.51,73149.1,73946.51,73098.21,"696850"
"1329",2014-04-09,72428.55,73793.74,73961.93,72420.82,"664030"
"1330",2014-04-10,73150.23,72930.76,73567.78,72673.11,"580980"
"1331",2014-04-11,72736.33,72144.03,72858.71,72091.7,"511030"
"1332",2014-04-14,73774.9,72578.21,73930.33,72388.49,"588080"
"1333",2014-04-15,72438.04,74032.89,74441.8,72438.04,"950450"
"1334",2014-04-16,72399.37,73232.1,73274.9,71989.74,"646120"
"1335",2014-04-17,73561.79,72766.31,73626.37,72676.99,"582380"
"1336",2014-04-18,73476.01,73659.28,73912.03,73321.78,"288340"
"1337",2014-04-21,73446.69,73562.2,73635.54,73134.36,"439220"
"1338",2014-04-22,73170.03,73532.88,73702.59,73170.03,"480330"
"1339",2014-04-24,72391.27,73268.25,73402.08,72342.58,"571360"
"1340",2014-04-25,71388.74,72582.67,72742.34,71286.02,"535090"
"1341",2014-04-28,72398.54,71615.84,72534.63,71166.64,"573750"
"1342",2014-04-29,72314.97,72752.42,73123.91,72314.97,"509930"
"1343",2014-04-30,73871.54,72494.77,74241.14,72374.47,"755060"
"1344",2014-05-02,75159.06,74480.83,75430.77,74480.83,"742360"
"1345",2014-05-05,74760.79,75343.71,75494.76,74416.11,"585800"
"1346",2014-05-06,75190.31,75096.54,75512.73,75042.26,"548130"
"1347",2014-05-07,74967.2,75123.51,75388.68,74492.58,"606350"
"1348",2014-05-08,75781.68,75348.72,76106.31,75333.57,"697760"
"1349",2014-05-09,75562.95,75986.16,76089.3,75376.21,"527250"
"1350",2014-05-12,75935.59,76051.19,76519.64,75655.73,"542920"
"1351",2014-05-13,75776.49,76330.62,76425.61,75519.75,"536270"
"1352",2014-05-14,76047.8,75961.51,76285.44,75791.03,"546660"
"1353",2014-05-15,75228.44,76183.56,76768.63,75228.44,"536900"
"1354",2014-05-16,75009.31,75241.25,75325.66,74570.48,"465750"
"1355",2014-05-20,75255.28,75310.8,75431.38,74655.43,"403190"
"1356",2014-05-21,76454.56,75291.43,76454.56,75272.1,"534870"
"1357",2014-05-22,78043.18,76804.36,78376.86,76477.35,"882870"
"1358",2014-05-23,78060.64,78206.58,78452.69,77667.15,"562580"
"1359",2014-05-26,78603.16,77946.65,78691.02,77833.14,"433890"
"1360",2014-05-27,77533.21,78633.03,78882.55,77448.11,"586000"
"1361",2014-05-28,77995.44,77603.62,78937.2,77269.8,"806160"
"1362",2014-05-29,79299.97,78422.54,79393.04,78422.54,"617320"
"1363",2014-05-30,79289.8,79484.12,79999.34,79137.83,"620750"
"1364",2014-06-02,78648.83,79648.43,79895.12,78539.14,"530160"
"1365",2014-06-03,78818.28,78964.68,79569.28,78477.97,"584780"
"1366",2014-06-04,78384.74,78344.57,79130.3,78217.72,"476680"
"1367",2014-06-05,79802.96,78785.49,80308.95,78662.88,"735050"
"1368",2014-06-06,80397.55,80059.36,80637.03,79970.66,"613320"
"1369",2014-06-09,80753.75,80860.88,81472.12,80667.22,"622690"
"1370",2014-06-10,81672.04,80832.9,81672.04,80765.22,"569790"
"1371",2014-06-11,79020.57,81863.27,81915.44,78592.2,"961170"
"1372",2014-06-12,79834.33,78328.92,80011.91,77855.06,"827840"
"1373",2014-06-13,79011.62,79406.59,79722.24,78596.33,"551330"
"1374",2014-06-16,77645.72,78202.76,78619.56,77443.76,"515420"
