"","Karachi 100 (KSE)_history.csv Date","Karachi 100 (KSE)_history.csv Price","Karachi 100 (KSE)_history.csv Open","Karachi 100 (KSE)_history.csv High","Karachi 100 (KSE)_history.csv Low","Karachi 100 (KSE)_history.csv Volume"
"868",2012-06-25,13642.19,13754.52,13776.37,13629.18,"-"
"869",2012-06-26,13656.04,13643.87,13707.09,13588.15,"-"
"870",2012-06-27,13799.12,13658.38,13824.99,13652.25,"-"
"871",2012-06-28,13805.42,13810.84,13880.8,13784.18,"-"
"872",2012-06-29,13801.41,13805.87,13885.57,13767.01,"-"
"873",2012-07-02,14142.92,13812.75,14171.61,13812.75,"-"
"874",2012-07-03,14200.79,14172.33,14247.88,14117.43,"-"
"875",2012-07-04,14178.1,14271.68,14322,14168.4,"-"
"876",2012-07-05,14170.91,14191.89,14215.77,14150.85,"-"
"877",2012-07-06,14310.18,14171.93,14323.02,14170.7,"-"
"878",2012-07-09,14379.54,14316.76,14399.09,14253.39,"-"
"879",2012-07-10,14374.33,14392.49,14435.73,14355.08,"-"
"880",2012-07-11,14380.46,14378.06,14405.49,14333.37,"-"
"881",2012-07-12,14401.74,14383.12,14500.6,14363.24,"-"
"882",2012-07-13,14332.29,14418.02,14481.9,14313.87,"-"
"883",2012-07-16,14384.58,14350.7,14417.35,14350.7,"-"
"884",2012-07-17,14445.28,14428.86,14484.4,14373.3,"-"
"885",2012-07-18,14596.59,14450.92,14596.59,14442.75,"-"
"886",2012-07-19,14568.21,14612.98,14634.33,14544.17,"-"
"887",2012-07-20,14564.48,14571.96,14633.89,14545.04,"-"
"888",2012-07-23,14527.25,14569.12,14579.05,14507.6,"-"
"889",2012-07-24,14512.07,14524.1,14545.02,14483.56,"-"
"890",2012-07-25,14564.68,14512.56,14616.86,14507.3,"-"
"891",2012-07-26,14553.29,14574.96,14617.47,14547.75,"-"
"892",2012-07-27,14526.41,14555.33,14568.92,14488.02,"-"
"893",2012-07-30,14511.54,14532.59,14560.51,14492.3,"-"
"894",2012-07-31,14577,14516.79,14598.1,14516.79,"-"
"895",2012-08-01,14716.86,14587.11,14731.23,14555.92,"-"
"896",2012-08-02,14730.67,14725.52,14795.44,14713.8,"-"
"897",2012-08-03,14676.43,14730.44,14730.44,14658.45,"-"
"898",2012-08-06,14673.77,14679.98,14788.14,14643.66,"-"
"899",2012-08-07,14672.24,14673.9,14751.91,14649.65,"-"
"900",2012-08-08,14744.14,14679.19,14762,14679.19,"-"
"901",2012-08-09,14759.59,14757.37,14814.42,14692.78,"-"
"902",2012-08-10,14761.49,14779.24,14793.51,14719.94,"-"
"903",2012-08-13,14911.97,14845.11,14937.15,14829.78,"-"
"904",2012-08-15,14970.92,14943.99,14998.84,14919.19,"-"
"905",2012-08-16,15000.08,14985.48,15040.93,14951.74,"-"
"906",2012-08-23,15080.55,15016.49,15101.09,15016.49,"-"
"907",2012-08-24,15039.18,15090.41,15161.58,15009.7,"-"
"908",2012-08-27,15171.66,15059.72,15184.46,15057.16,"-"
"909",2012-08-28,15234.48,15188.25,15304.43,15183.51,"-"
"910",2012-08-29,15151.31,15239.93,15255.95,15127.3,"-"
"911",2012-08-30,15253.71,15154.64,15292.3,15154.64,"-"
"912",2012-08-31,15391.58,15274.55,15421.45,15274.55,"-"
"913",2012-09-03,15428.49,15394.31,15481.21,15394.31,"-"
"914",2012-09-04,15388.13,15447.68,15465.88,15373.59,"-"
"915",2012-09-05,15293.39,15390.3,15467.24,15280.53,"-"
"916",2012-09-06,15188.53,15393.68,15418.52,15139.53,"-"
"917",2012-09-07,15253.95,15237.84,15310.79,15225.94,"-"
"918",2012-09-10,15240.19,15260.44,15323.05,15224.44,"-"
"919",2012-09-11,15214.02,15239.3,15288.81,15200.56,"-"
"920",2012-09-12,15278.48,15224.93,15309.51,15224.93,"-"
"921",2012-09-13,15306.51,15279.28,15341.95,15269.39,"-"
"922",2012-09-14,15449.6,15359.73,15456.52,15359.73,"-"
"923",2012-09-17,15398.68,15457.19,15537.22,15386.03,"-"
"924",2012-09-18,15517.19,15406.97,15525.12,15406.12,"-"
"925",2012-09-19,15588.66,15553.33,15616.45,15511.62,"-"
"926",2012-09-20,15452.64,15605.64,15630.2,15438.49,"-"
"927",2012-09-24,15375.52,15482.42,15514.44,15354.38,"-"
"928",2012-09-25,15373.46,15386.21,15444.27,15360.81,"-"
"929",2012-09-26,15399.42,15422.77,15432.93,15360.36,"-"
"930",2012-09-27,15357.59,15404.8,15448.22,15323.39,"-"
"931",2012-09-28,15444.82,15357.59,15534.83,15333.14,"-"
"932",2012-10-01,15559.94,15450.75,15569.97,15407.4,"-"
"933",2012-10-02,15648.29,15569.29,15725.82,15569.29,"-"
"934",2012-10-03,15712.21,15653.98,15747.39,15605.89,"-"
"935",2012-10-04,15788.96,15733.18,15815.02,15726.06,"-"
"936",2012-10-05,15754.39,15790.61,15844.6,15739.16,"-"
"937",2012-10-08,15652.01,15767.57,15854.61,15629.62,"-"
"938",2012-10-09,15688.24,15642.92,15706.42,15587.83,"-"
"939",2012-10-10,15753.82,15697.48,15829.99,15688.84,"-"
"940",2012-10-11,15845.3,15760.45,15917.09,15757.5,"-"
"941",2012-10-12,15698.36,15854.2,15981.35,15685.56,"-"
"942",2012-10-15,15746.9,15697.81,15787.66,15697.81,"-"
"943",2012-10-16,15674.3,15749.24,15795.74,15662.35,"-"
"944",2012-10-17,15654.62,15681.3,15697.71,15624.23,"-"
"945",2012-10-18,15679.19,15673.24,15753.59,15658.02,"-"
"946",2012-10-19,15792.75,15696.29,15818.15,15694.7,"-"
"947",2012-10-22,15848.63,15819.41,15879.06,15801.25,"-"
"948",2012-10-23,15853.84,15867.4,15937.1,15840.97,"-"
"949",2012-10-24,15865.53,15867.1,15908.93,15839.41,"-"
"950",2012-10-25,15812.72,15862.17,15869.82,15774.49,"-"
"951",2012-10-30,15795.93,15818.51,15827.62,15779.18,"-"
"952",2012-10-31,15910.11,15791.89,15924.96,15791.89,"-"
"953",2012-11-01,15962.37,15917.02,16005.32,15910.76,"-"
"954",2012-11-02,16101.55,15967.35,16108.1,15965.55,"-"
"955",2012-11-05,16156.36,16128.65,16220.52,16128.65,"-"
"956",2012-11-06,16051.14,16150.35,16150.35,16036.27,"-"
"957",2012-11-07,16218.01,16064.58,16243.86,16064.58,"-"
"958",2012-11-08,16243.27,16228.24,16277.07,16146.27,"-"
"959",2012-11-12,16213.68,16250.85,16292.45,16197.78,"-"
"960",2012-11-13,16129.72,16218.57,16235.85,16109.76,"-"
"961",2012-11-14,16120.52,16134.28,16173.97,16082.7,"-"
"962",2012-11-15,16143.07,16132.81,16201.89,16127.76,"-"
"963",2012-11-16,16197.74,16154.31,16236.73,16150.53,"-"
"964",2012-11-19,16251.38,16190.76,16266.23,16181.09,"-"
"965",2012-11-20,16251.79,16264.27,16339.16,16241.08,"-"
"966",2012-11-21,16256.97,16263.62,16299.95,16199.08,"-"
"967",2012-11-22,16251,16230.29,16282.61,16222.68,"-"
"968",2012-11-23,16237.59,16258,16302.83,16231.55,"-"
"969",2012-11-26,16270.48,16276.74,16310.71,16251.64,"-"
"970",2012-11-27,16364.77,16281.34,16375.36,16279.75,"-"
"971",2012-11-28,16424.03,16386.01,16504.38,16386,"-"
"972",2012-11-29,16527.08,16453.42,16556.27,16453.18,"-"
"973",2012-11-30,16573.86,16550.57,16651.1,16528.6,"-"
"974",2012-12-03,16537.98,16586.56,16633.83,16529.5,"-"
"975",2012-12-04,16650.15,16537.98,16675.94,16537.98,"-"
"976",2012-12-05,16675.7,16653.42,16699.54,16619.27,"-"
"977",2012-12-06,16824.55,16687.04,16844.21,16687.04,"-"
"978",2012-12-07,16807.91,16848.12,16903.46,16788.03,"-"
"979",2012-12-10,16787.54,16809.85,16888.25,16778.05,"-"
"980",2012-12-11,16701.69,16801.21,16848.85,16691.48,"-"
"981",2012-12-12,16744.6,16726.59,16811.07,16724.77,"-"
"982",2012-12-13,16806.58,16757.74,16816.17,16757.74,"-"
"983",2012-12-14,16845.09,16809.06,16875.21,16808.24,"-"
"984",2012-12-17,16801.02,16847.77,16913.84,16785.03,"-"
"985",2012-12-18,16858.68,16811.23,16912.57,16811.23,"-"
"986",2012-12-19,16869.83,16860.57,16913.25,16853.13,"-"
"987",2012-12-20,16908.02,16886.18,16916.99,16867.6,"-"
"988",2012-12-21,16865.34,16917.02,16967.82,16853.43,"-"
"989",2012-12-24,16891.94,16867.94,16904.65,16815.64,"-"
"990",2012-12-26,16927.34,16893.01,16962.33,16888.06,"-"
"991",2012-12-27,16892.32,16940.16,16957.81,16877.35,"-"
"992",2012-12-28,16943.19,16892.88,16953.43,16873.78,"-"
"993",2012-12-31,16905.33,16939.53,17031.77,16889.96,"-"
"994",2013-01-01,16794.87,16910.3,16935.52,16787.49,"-"
"995",2013-01-02,16489.99,16798.55,16809.86,16379.47,"-"
"996",2013-01-03,16588.54,16495.49,16602.64,16451.68,"-"
