"","OMX Copenhagen 20 (OMXC20)_history.csv Date","OMX Copenhagen 20 (OMXC20)_history.csv Price","OMX Copenhagen 20 (OMXC20)_history.csv Open","OMX Copenhagen 20 (OMXC20)_history.csv High","OMX Copenhagen 20 (OMXC20)_history.csv Low","OMX Copenhagen 20 (OMXC20)_history.csv Volume"
"808",2012-03-19,458.08,459.1,460.4,457.26,
"809",2012-03-20,456.98,457.56,457.82,454.42,
"810",2012-03-21,456.62,456.92,458.2,455.45,
"811",2012-03-22,449.85,452.66,453.47,449.18,
"812",2012-03-23,447.66,450.07,450.96,445.91,
"813",2012-03-26,453.21,448.2,453.21,446.85,
"814",2012-03-27,446.3,454.65,455.76,446.3,
"815",2012-03-28,449.64,446.17,452.24,444.99,
"816",2012-03-29,438.87,449.46,450.46,438.7,
"817",2012-03-30,444.71,443.69,446.32,440.18,
"818",2012-04-02,459.26,447.56,459.26,447.24,
"819",2012-04-03,465.15,459.92,471.5,459.32,
"820",2012-04-04,453.71,463.27,463.56,453.41,
"821",2012-04-10,449.12,452.38,455.01,449.11,
"822",2012-04-11,448.12,449.87,450.4,445.03,
"823",2012-04-12,454.36,450.59,454.36,450.59,
"824",2012-04-13,451.04,453.92,454.43,449.93,
"825",2012-04-16,455.97,452.51,458.98,451.23,
"826",2012-04-17,461,455.12,461,454.78,
"827",2012-04-18,460.74,462.69,465.58,459.83,
"828",2012-04-19,463.76,461.4,466.89,461.39,
"829",2012-04-20,462.98,460.7,462.98,456.73,
"830",2012-04-23,454.98,459.67,460.49,453.39,
"831",2012-04-24,456.19,458.09,458.97,453.08,
"832",2012-04-25,457.43,455.46,458.02,454.53,
"833",2012-04-26,456.98,459.14,460.61,453.36,
"834",2012-04-27,454.59,451.64,457.55,446.73,
"835",2012-04-30,458.75,456.78,462.03,456.21,
"836",2012-05-01,459.52,459.75,460.47,457.86,
"837",2012-05-02,459.38,460.83,462.28,456.37,
"838",2012-05-03,465.55,460.76,465.87,460.36,
"839",2012-05-07,459.54,455.55,460.51,454.06,
"840",2012-05-08,457.38,460.19,462.07,456.27,
"841",2012-05-09,449.25,457.18,458.44,448.17,
"842",2012-05-10,451.57,453.68,455.01,451.07,
"843",2012-05-11,453.61,452.29,454.64,450.67,
"844",2012-05-14,443.62,452.8,453.79,443.62,
"845",2012-05-15,439.41,444.99,445.44,438.85,
"846",2012-05-16,440.45,437.03,443.28,434,
"847",2012-05-21,442.21,439.76,442.39,435.51,
"848",2012-05-22,447.2,443.56,447.4,441.67,
"849",2012-05-23,437.87,445.24,445.6,437.87,
"850",2012-05-24,439.67,441.14,441.55,437.28,
"851",2012-05-25,443.94,439.94,444.89,438.94,
"852",2012-05-29,444.09,444.39,445.88,440.53,
"853",2012-05-30,435.72,441.92,442.31,435.71,
"854",2012-05-31,432.26,437.9,438.88,430.68,
"855",2012-06-01,419.65,435.47,435.61,419.26,
"856",2012-06-04,415.45,417.59,420.17,415.15,
"857",2012-06-06,426.63,418.89,430.69,418.56,
"858",2012-06-07,433.51,429.4,435.02,426.1,
"859",2012-06-08,426.59,424.07,427.48,422.59,
"860",2012-06-11,432.37,434.05,438.74,431.81,
"861",2012-06-12,431.21,431.43,433.8,430.02,
"862",2012-06-13,431.24,433.71,434.43,429.18,
"863",2012-06-14,428.73,430.88,430.88,425.91,
"864",2012-06-15,431.19,429.22,432.58,428.91,
"865",2012-06-18,432.98,435.08,436.04,431.27,
"866",2012-06-19,439.89,432.83,439.89,432.56,
"867",2012-06-20,440.85,440.5,440.85,436.39,
"868",2012-06-21,439.99,440.58,441.88,438.4,
"869",2012-06-22,438.64,437.83,439.38,436.47,
"870",2012-06-25,432.08,438.08,438.43,431.78,
"871",2012-06-26,428.68,432.63,434.83,427.43,
"872",2012-06-27,433.63,430.87,434.87,430.32,
"873",2012-06-28,434.32,437.34,441.17,433.91,
"874",2012-06-29,446.04,440.91,446.24,440.14,
"875",2012-07-02,451.39,447.44,451.41,445.87,
"876",2012-07-03,458.25,453.86,458.82,453.86,
"877",2012-07-04,459.61,460.09,461.25,456.77,
"878",2012-07-05,462.5,459.14,465.09,458.92,
"879",2012-07-06,460.2,461.74,464.43,459.7,
"880",2012-07-09,458.03,459.16,460.6,454.62,
"881",2012-07-10,464.19,459.11,464.79,458.2,
"882",2012-07-11,460.4,464.33,465.1,459.85,
"883",2012-07-12,459.11,459.52,460.8,457.28,
"884",2012-07-13,461.1,459.54,461.66,458.23,
"885",2012-07-16,466.25,461.8,466.36,461.69,
"886",2012-07-17,467.55,467.78,469.75,466.72,
"887",2012-07-18,470.23,466.47,470.23,465.49,
"888",2012-07-19,477.04,472.81,477.05,471.7,
"889",2012-07-20,473.19,475.66,477.09,473.19,
"890",2012-07-23,463.21,469.73,471.72,462.56,
"891",2012-07-24,464.37,464.09,466.84,463.19,
"892",2012-07-25,466.58,463.57,469.53,463.46,
"893",2012-07-26,472.48,466.56,474.06,465.96,
"894",2012-07-27,482.98,474.59,483.01,473.95,
"895",2012-07-30,485.01,484.67,487.39,483.55,
"896",2012-07-31,484.14,483.22,486.41,482.21,
"897",2012-08-01,481.6,484.33,484.54,480.78,
"898",2012-08-02,479.38,482.48,484.95,477.76,
"899",2012-08-03,486.23,480.38,486.67,479.65,
"900",2012-08-06,488.3,488.02,491.58,487.32,
"901",2012-08-07,488.85,490.99,492.58,488.23,
"902",2012-08-08,487.71,487.12,488.25,483.88,
"903",2012-08-09,492.22,499.24,501.21,491.33,
"904",2012-08-10,489.16,491.4,492.24,486.02,
"905",2012-08-13,489.03,489.02,491,487.82,
"906",2012-08-14,497.59,491.11,497.59,490.93,
"907",2012-08-15,500.37,496.75,501.67,494.87,
"908",2012-08-16,496.85,500.44,500.6,495.2,
"909",2012-08-17,493.87,498.05,498.24,493.42,
"910",2012-08-20,494.49,494.53,498.33,493.58,
"911",2012-08-21,494.14,494.6,496.88,493.69,
"912",2012-08-22,490.54,493.19,493.2,488.85,
"913",2012-08-23,491.09,491.53,495.73,490.23,
"914",2012-08-24,487.55,489.99,491.34,486.25,
"915",2012-08-27,489.87,487.83,490.95,487.76,
"916",2012-08-28,487.29,490.54,490.72,486.95,
"917",2012-08-29,489.53,487.3,491.34,486.65,
