"","KOSPI (KS11)_history.csv Date","KOSPI (KS11)_history.csv Price","KOSPI (KS11)_history.csv Open","KOSPI (KS11)_history.csv High","KOSPI (KS11)_history.csv Low","KOSPI (KS11)_history.csv Volume"
"418",2010-08-27,1729.56,1724,1732.84,1719.2,"244660000"
"419",2010-08-30,1760.13,1749.02,1760.35,1746.21,"246480000"
"420",2010-08-31,1742.75,1746.85,1752.07,1736.23,"287980000"
"421",2010-09-01,1764.69,1751.96,1767.21,1748.3,"302390000"
"422",2010-09-02,1775.73,1783.22,1783.85,1767.67,"291040000"
"423",2010-09-03,1780.02,1780.8,1786.04,1774.95,"310300000"
"424",2010-09-06,1792.42,1791.76,1794.07,1784.49,"327050000"
"425",2010-09-07,1787.74,1792.07,1796.5,1786.37,"315150000"
"426",2010-09-08,1779.22,1780.48,1785.48,1770.78,"321040000"
"427",2010-09-09,1784.36,1786.83,1790.47,1775.07,"3.66e+08"
"428",2010-09-10,1802.58,1792.75,1808.18,1791.95,"339150000"
"429",2010-09-13,1818.86,1812.03,1819.12,1807.59,"385410000"
"430",2010-09-14,1815.25,1824.78,1827.03,1810.78,"385850000"
"431",2010-09-15,1823.88,1817.3,1827,1813.09,"338150000"
"432",2010-09-16,1811.85,1822.35,1824.61,1811.85,"335570000"
"433",2010-09-17,1827.35,1823.64,1828.54,1812.05,"316490000"
"434",2010-09-20,1832.63,1821.52,1833.78,1818.6,"242230000"
"435",2010-09-24,1846.6,1830.22,1846.6,1825.8,"273660000"
"436",2010-09-27,1860.83,1856.42,1862.03,1851.97,"383130000"
"437",2010-09-28,1855.97,1859.04,1862.72,1852.52,"355900000"
"438",2010-09-29,1866.45,1865.27,1873.79,1864.43,"358910000"
"439",2010-09-30,1872.81,1870.21,1872.81,1861.18,"352020000"
"440",2010-10-01,1876.73,1872.39,1884,1868.9,"363710000"
"441",2010-10-04,1879.29,1884.49,1889.5,1875.93,"390570000"
"442",2010-10-05,1878.94,1874.1,1885,1868.89,"339860000"
"443",2010-10-06,1903.95,1897.07,1905.73,1894.02,"390670000"
"444",2010-10-07,1900.85,1901.2,1906.02,1893.14,"397620000"
"445",2010-10-08,1897.07,1900.86,1900.86,1887.98,"372880000"
"446",2010-10-11,1889.91,1908.55,1909.01,1885.08,"340220000"
"447",2010-10-12,1868.04,1892.27,1893.13,1857.93,"314700000"
"448",2010-10-13,1876.15,1878.58,1881.2,1866.41,"317800000"
"449",2010-10-14,1899.76,1886.68,1899.76,1884.45,"374220000"
"450",2010-10-15,1902.29,1898.85,1903.25,1893.76,"368520000"
"451",2010-10-18,1875.42,1904.57,1904.79,1875.42,"371460000"
"452",2010-10-19,1857.32,1878.98,1885.23,1857.32,"426030000"
"453",2010-10-20,1870.44,1844.41,1875.76,1837.08,"364660000"
"454",2010-10-21,1874.69,1878.51,1879.08,1858.38,"412020000"
"455",2010-10-22,1897.31,1882.08,1897.31,1880.25,"346310000"
"456",2010-10-25,1915.71,1902.51,1918.87,1899.08,"405400"
"457",2010-10-26,1919.41,1913.25,1919.56,1909.27,"349940"
"458",2010-10-27,1909.54,1919.48,1924.61,1902.18,"391530"
"459",2010-10-28,1907.87,1909.38,1914.89,1901.8,"347510"
"460",2010-10-29,1882.95,1913.61,1913.95,1875.31,"374510"
"461",2010-11-01,1914.74,1889.57,1914.74,1880.25,"339910"
"462",2010-11-02,1918.04,1912.28,1920.29,1907.18,"338430"
"463",2010-11-03,1935.97,1931.13,1943.23,1930.11,"356830"
"464",2010-11-04,1942.5,1941.56,1945.58,1936.04,"318910"
"465",2010-11-05,1938.96,1962.34,1966.99,1938.57,"398150"
"466",2010-11-08,1942.41,1946.76,1948.44,1930.29,"306770"
"467",2010-11-09,1947.46,1943.56,1947.66,1935.38,"290760"
"468",2010-11-10,1967.85,1945.73,1967.85,1945.28,"339360"
"469",2010-11-11,1914.73,1966.5,1976.46,1914.73,"364330"
"470",2010-11-12,1913.12,1951.35,1958.22,1899.49,"447410"
"471",2010-11-15,1913.81,1918.69,1925.43,1900.25,"293610"
"472",2010-11-16,1899.13,1912.11,1916.07,1890,"330420"
"473",2010-11-17,1897.11,1877.23,1908.17,1875.34,"285840"
"474",2010-11-18,1927.86,1908.38,1929.24,1904.37,"268650"
"475",2010-11-19,1940.96,1936.74,1940.96,1927.81,"289200"
"476",2010-11-22,1944.34,1947.01,1954.78,1939.51,"325940"
"477",2010-11-23,1928.94,1938.91,1943.48,1919.15,"374870"
"478",2010-11-24,1925.98,1883.92,1928.45,1882.52,"448980"
"479",2010-11-25,1927.68,1934.97,1935.59,1916.16,"321730"
"480",2010-11-26,1901.8,1932.78,1936.72,1893.94,"459020"
"481",2010-11-29,1895.54,1904.95,1912.53,1880.58,"297510"
"482",2010-11-30,1904.63,1889.89,1917.57,1889.86,"428360"
"483",2010-12-01,1929.32,1907.7,1929.32,1904.71,"331450"
"484",2010-12-02,1950.26,1943.71,1950.26,1940.23,"431650"
"485",2010-12-03,1957.26,1960.61,1960.61,1948.51,"434480"
"486",2010-12-06,1953.64,1961.23,1961.47,1946.35,"456180"
"487",2010-12-07,1962.52,1955.63,1964.64,1952.56,"635500"
"488",2010-12-08,1955.72,1960.3,1970.91,1953.97,"491200"
"489",2010-12-09,1988.96,1963.88,1988.96,1961.68,"446360"
"490",2010-12-10,1986.14,1984.11,1991.96,1979.73,"371570"
"491",2010-12-13,1996.59,1993.42,1997.36,1983.93,"382600"
"492",2010-12-14,2009.05,2000.6,2009.05,1996.82,"394470"
"493",2010-12-15,2017.48,2009.2,2017.48,2004.06,"488520"
"494",2010-12-16,2009.24,2009.86,2019.49,2002.33,"360730"
"495",2010-12-17,2026.3,2018.28,2027.55,2010.75,"501410"
"496",2010-12-20,2020.28,2008.14,2021.7,1996.44,"407280"
"497",2010-12-21,2037.09,2035.11,2043.81,2032.66,"368670"
"498",2010-12-22,2038.11,2039.35,2045.39,2035.25,"332360"
"499",2010-12-23,2037.53,2042.41,2043.62,2028.78,"339010"
"500",2010-12-24,2029.6,2040.64,2042.89,2027.96,"316160"
"501",2010-12-27,2022.19,2024.56,2034.62,2018.75,"279130"
"502",2010-12-28,2033.32,2028.41,2041.83,2026.57,"357320"
"503",2010-12-29,2043.49,2028.57,2043.49,2027.52,"281230"
"504",2010-12-30,2051,2047.82,2052.97,2041.66,"304340"
"505",2011-01-03,2070.08,2063.69,2070.09,2054.83,"348190"
"506",2011-01-04,2085.14,2074.56,2085.14,2069.12,"410970"
"507",2011-01-05,2082.55,2083.1,2087.14,2076.92,"383000"
"508",2011-01-06,2077.61,2094.35,2096.65,2066.1,"405400"
"509",2011-01-07,2086.2,2073.68,2086.2,2068.66,"333810"
"510",2011-01-10,2080.81,2082.29,2088.64,2069.3,"340790"
"511",2011-01-11,2088.32,2079.85,2088.32,2059.67,"408180"
"512",2011-01-12,2094.95,2091.7,2098,2085.99,"427290"
"513",2011-01-13,2089.48,2097.04,2109.34,2083.8,"421890"
"514",2011-01-14,2108.17,2089.7,2108.17,2076.44,"422590"
"515",2011-01-17,2099.85,2112.37,2118.86,2099.84,"426690"
"516",2011-01-18,2096.48,2095.85,2111.4,2093.32,"450900"
