"","PSI 20 (PSI20)_history.csv Date","PSI 20 (PSI20)_history.csv Price","PSI 20 (PSI20)_history.csv Open","PSI 20 (PSI20)_history.csv High","PSI 20 (PSI20)_history.csv Low","PSI 20 (PSI20)_history.csv Volume"
"412",2011-12-23,5401.4,5401.7,5429.16,5385.95,"133970000"
"413",2011-12-26,5401.4,5401.4,5401.4,5401.4,"-"
"414",2011-12-27,5461.77,5418.21,5465.6,5415.18,"97210000"
"415",2011-12-28,5482.86,5463.43,5536.77,5439.85,"99120000"
"416",2011-12-29,5488.64,5477,5512.37,5454.82,"103170000"
"417",2011-12-30,5494.27,5495.21,5510.93,5459.01,"188340000"
"418",2012-01-01,5494.27,5494.27,5494.27,5494.27,"-"
"419",2012-01-02,5611.37,5518.05,5619.93,5507.74,"77110000"
"420",2012-01-03,5700.94,5625.86,5709.65,5591.43,"152880000"
"421",2012-01-04,5592.76,5691.14,5720.92,5583.06,"176190000"
"422",2012-01-05,5505.65,5602.18,5608.32,5490.59,"136880000"
"423",2012-01-06,5599.2,5516.47,5601.44,5516.05,"140600000"
"424",2012-01-09,5569.19,5626.07,5661.4,5535.44,"148440000"
"425",2012-01-10,5555.3,5561.93,5614,5555.3,"83810000"
"426",2012-01-11,5509.08,5557.2,5557.2,5467.98,"130410000"
"427",2012-01-12,5521.11,5539.85,5578.09,5510.12,"125710000"
"428",2012-01-13,5479.55,5573.06,5585.25,5427.65,"98250000"
"429",2012-01-16,5429.1,5404.21,5450.67,5401.68,"103250000"
"430",2012-01-17,5452.58,5478.9,5492.79,5419.72,"98230000"
"431",2012-01-18,5406.61,5427.29,5445.14,5389.44,"120570000"
"432",2012-01-19,5477.83,5426.42,5477.83,5403.72,"113170000"
"433",2012-01-20,5485.92,5497.99,5498.63,5423.01,"75790000"
"434",2012-01-23,5467.04,5465.02,5489.58,5451.34,"70390000"
"435",2012-01-24,5466.89,5440.06,5470.61,5434.48,"67550000"
"436",2012-01-25,5428.92,5474.63,5505.13,5401.48,"102870000"
"437",2012-01-26,5481.25,5437.95,5500.44,5430.61,"120420000"
"438",2012-01-27,5434.89,5476.01,5496.05,5434.89,"69790000"
"439",2012-01-30,5301.85,5399.79,5415.28,5301.85,"123840000"
"440",2012-01-31,5325.05,5360.52,5368.73,5306.54,"81560000"
"441",2012-02-01,5360.18,5324.52,5380.21,5324.25,"98590000"
"442",2012-02-02,5393.16,5365.54,5396.9,5350.83,"98350000"
"443",2012-02-03,5490.65,5382.33,5490.65,5370.38,"9.9e+07"
"444",2012-02-06,5481.31,5467.49,5488.79,5436.15,"176540000"
"445",2012-02-07,5588.46,5497.16,5588.46,5479.73,"352290000"
"446",2012-02-08,5696.33,5657.71,5770.88,5641.75,"561700000"
"447",2012-02-09,5667.94,5724.54,5764.83,5631.26,"407720000"
"448",2012-02-10,5620.43,5644.72,5666.18,5581.14,"138500000"
"449",2012-02-13,5690.75,5658.62,5706.07,5653.63,"216440000"
"450",2012-02-14,5678.12,5656.32,5712.06,5654.4,"144440000"
"451",2012-02-15,5657.44,5720.44,5750.67,5647.38,"168280000"
"452",2012-02-16,5605,5632.59,5636.18,5562.63,"135120000"
"453",2012-02-17,5616.02,5643.72,5656.06,5609.88,"136800000"
"454",2012-02-20,5641.29,5648.38,5659.36,5610.32,"56860000"
"455",2012-02-21,5601.69,5635.46,5640.42,5564.67,"68500000"
"456",2012-02-22,5597.98,5621.13,5623.98,5579.37,"76090000"
"457",2012-02-23,5496.08,5572.71,5602,5483.89,"155150000"
"458",2012-02-24,5557.74,5529.84,5566.05,5517.09,"96200000"
"459",2012-02-27,5532.97,5534.42,5540.22,5489.85,"74040000"
"460",2012-02-28,5578.24,5556.04,5583.2,5539.4,"132940000"
"461",2012-02-29,5580.52,5602.65,5622.91,5553.31,"163810000"
"462",2012-03-01,5633.67,5573.77,5633.97,5562.53,"88200000"
"463",2012-03-02,5664.96,5647.61,5678.38,5631.96,"79370000"
"464",2012-03-05,5640.5,5640.2,5667.23,5610.83,"76640000"
"465",2012-03-06,5490.71,5641.06,5643.92,5490.71,"85550000"
"466",2012-03-07,5538.73,5481.84,5565.35,5440.7,"88290000"
"467",2012-03-08,5596.32,5579.02,5608.96,5542.19,"125220000"
"468",2012-03-09,5653.5,5632.4,5672.3,5602.22,"65580000"
"469",2012-03-12,5570.12,5647.67,5655.02,5565.61,"113510000"
"470",2012-03-13,5659.38,5623.81,5659.38,5604.34,"82620000"
"471",2012-03-14,5617.56,5643.09,5667.42,5595.26,"103990000"
"472",2012-03-15,5592.83,5620.55,5620.55,5548.87,"87820000"
"473",2012-03-16,5572.17,5601.65,5607.78,5556.86,"144360000"
"474",2012-03-19,5609.5,5581.29,5623.4,5537.39,"53080000"
"475",2012-03-20,5643.47,5609.31,5646.34,5585.56,"64770000"
"476",2012-03-21,5659.6,5672.84,5688.59,5643.04,"79450000"
"477",2012-03-22,5604.95,5653.56,5653.56,5568.83,"68420000"
"478",2012-03-23,5610.45,5614.52,5636.86,5572.79,"77600000"
"479",2012-03-26,5645.41,5637.57,5668.61,5586.83,"95450000"
"480",2012-03-27,5654.42,5670.73,5698.9,5625.47,"154640000"
"481",2012-03-28,5603.07,5656.12,5661.64,5599.46,"53960000"
"482",2012-03-29,5532.03,5596.17,5596.84,5520.03,"51890000"
"483",2012-03-30,5556.81,5498.72,5589.67,5498.72,"69050000"
"484",2012-04-02,5544.97,5599.15,5606.31,5485.84,"61080000"
"485",2012-04-03,5490.99,5544.36,5581.9,5490.99,"58280000"
"486",2012-04-04,5361.3,5492.43,5492.43,5334.33,"156220000"
"487",2012-04-05,5356.89,5366.23,5376.75,5286.3,"73110000"
"488",2012-04-10,5266.32,5307.4,5342.41,5266.32,"60980000"
"489",2012-04-11,5308.47,5183.46,5351.89,5181.37,"69390000"
"490",2012-04-12,5257.21,5307.4,5307.41,5174.35,"172480000"
"491",2012-04-13,5217.68,5265.63,5273.8,5201.29,"124050000"
"492",2012-04-16,5174.14,5194.12,5257.36,5160.97,"8.4e+07"
"493",2012-04-17,5237.51,5152.11,5243.17,5150.86,"65730000"
"494",2012-04-18,5188.44,5251.22,5269.05,5167.82,"58440000"
"495",2012-04-19,5177.12,5197.6,5215.53,5162.5,"70020000"
"496",2012-04-20,5190.97,5179.07,5209.89,5158.67,"85900000"
"497",2012-04-23,5104.04,5176.46,5176.75,5078.08,"74630000"
"498",2012-04-24,5140.31,5127.52,5159.93,5115.78,"8.1e+07"
"499",2012-04-25,5192.55,5164.37,5247.51,5160.32,"101150000"
"500",2012-04-26,5115.06,5177.38,5184.66,5087.59,"62610000"
"501",2012-04-27,5169.71,5082.06,5183.28,5069.5,"84410000"
"502",2012-04-30,5233.86,5198.02,5236,5183.21,"49580000"
"503",2012-05-02,5183.59,5285.06,5285.11,5159.8,"77060000"
"504",2012-05-03,5179.33,5193.63,5207.62,5158.29,"64250000"
"505",2012-05-04,5166.21,5174.56,5215.14,5158.48,"66260000"
"506",2012-05-07,5215.15,5119.95,5230.55,5119.95,"61560000"
"507",2012-05-08,5261.07,5228.1,5302.76,5220.67,"137630000"
"508",2012-05-09,5218.34,5259.24,5269.95,5182.25,"98260000"
"509",2012-05-10,5237.85,5227.25,5261.81,5187.05,"58400000"
"510",2012-05-11,5179.01,5167.29,5179.12,5134.08,"58650000"
"511",2012-05-14,5078.6,5159.68,5165.67,5065.95,"48560000"
"512",2012-05-15,4983.93,5087.13,5103.13,4969.7,"177110000"
"513",2012-05-16,4890.13,4943.02,4943.02,4863.72,"109640000"
"514",2012-05-17,4759.94,4885.01,4894.9,4759.94,"69850000"
"515",2012-05-18,4761.18,4714.45,4798.73,4682.81,"71970000"
"516",2012-05-21,4742.05,4756.83,4816.56,4735.92,"43090000"
"517",2012-05-22,4718.54,4695.8,4718.54,4657.83,"76240000"
"518",2012-05-23,4587.34,4675.52,4681.2,4550.08,"45070000"
"519",2012-05-24,4596.52,4616.23,4639.21,4566.36,"57750000"
"520",2012-05-25,4642.35,4618.99,4659.08,4578.92,"42010000"
"521",2012-05-28,4616.1,4671.71,4671.71,4605.46,"27180000"
"522",2012-05-29,4567.18,4631.24,4646.95,4536.48,"42110000"
"523",2012-05-30,4517.69,4544.22,4582.61,4512.11,"37710000"
"524",2012-05-31,4513.38,4529.66,4559.43,4443.97,"69790000"
"525",2012-06-01,4453.01,4512.71,4516.19,4420.33,"48660000"
"526",2012-06-04,4471.98,4443.8,4488.16,4439.96,"127940000"
"527",2012-06-05,4492.7,4502.64,4505.05,4465.08,"111160000"
"528",2012-06-06,4537.59,4508.32,4539.63,4461.33,"248930000"
"529",2012-06-07,4512.27,4544.49,4553.31,4491.39,"38630000"
"530",2012-06-08,4529.36,4480.45,4537.89,4437.93,"70130000"
"531",2012-06-11,4514.82,4608.63,4616.54,4503.06,"96800000"
"532",2012-06-12,4482.24,4512.31,4528.32,4454.21,"56580000"
"533",2012-06-13,4408.73,4498.05,4500.43,4399.14,"46730000"
"534",2012-06-14,4447.57,4393.38,4447.57,4371.74,"62680000"
"535",2012-06-15,4563.15,4459.3,4563.15,4459.3,"122690000"
"536",2012-06-18,4575.53,4607.72,4611.18,4554.74,"135400000"
"537",2012-06-19,4615.36,4575.89,4615.36,4538.53,"61370000"
"538",2012-06-20,4678.13,4619.43,4678.13,4607.59,"44190000"
