"","S&P ASX 200 (AXJO)_history.csv Date","S&P ASX 200 (AXJO)_history.csv Price","S&P ASX 200 (AXJO)_history.csv Open","S&P ASX 200 (AXJO)_history.csv High","S&P ASX 200 (AXJO)_history.csv Low","S&P ASX 200 (AXJO)_history.csv Volume"
"1403",2014-07-14,5511.4,5486.8,5518.6,5486.8,"416040000"
"1404",2014-07-15,5511.3,5511.4,5536.2,5493.9,"492940000"
"1405",2014-07-16,5518.86,5511.3,5527.3,5499.7,"520190000"
"1406",2014-07-17,5522.43,5518.9,5561.1,5518.9,"671120000"
"1407",2014-07-18,5531.66,5522.4,5531.7,5484.1,"561310000"
"1408",2014-07-21,5539.94,5531.7,5552.9,5530.1,"425990000"
"1409",2014-07-22,5543.29,5539.9,5545.5,5530.4,"505890000"
"1410",2014-07-23,5576.74,5543.3,5598.2,5543.3,"5.73e+08"
"1411",2014-07-24,5587.8,5576.7,5592.9,5572.7,"550310000"
"1412",2014-07-25,5583.51,5587.8,5588.7,5568.6,"573630000"
"1413",2014-07-28,5577.39,5583.5,5587.5,5558.9,"477880000"
"1414",2014-07-29,5588.44,5577.4,5594.2,5565.6,"489980000"
"1415",2014-07-30,5622.89,5588.4,5631.1,5588.4,"571090000"
"1416",2014-07-31,5632.91,5622.9,5644.2,5618,"567310000"
"1417",2014-08-01,5556.37,5632.9,5632.9,5544,"630730000"
"1418",2014-08-04,5540.88,5556.4,5556.4,5524.6,"362980000"
"1419",2014-08-05,5518.56,5540.9,5548.7,5509.9,"545350000"
"1420",2014-08-06,5511.99,5518.7,5518.7,5495.1,"527830000"
"1421",2014-08-07,5509.01,5512,5522,5490.1,"628010000"
"1422",2014-08-08,5435.31,5509,5509,5425.2,"690350000"
"1423",2014-08-11,5457.03,5435.3,5475.9,5435.3,"435700000"
"1424",2014-08-12,5530.32,5457,5533.6,5457,"557250000"
"1425",2014-08-13,5514.72,5530.3,5530.3,5503.3,"527650000"
"1426",2014-08-14,5548.47,5514.7,5558.4,5514.7,"659990000"
"1427",2014-08-15,5566.52,5548.5,5578.5,5545,"489600000"
"1428",2014-08-18,5587.1,5566.5,5587.1,5566.5,"404130000"
"1429",2014-08-19,5623.78,5587.1,5626.6,5582.5,"652270000"
"1430",2014-08-20,5634.6,5623.8,5639.4,5604.2,"602850000"
"1431",2014-08-21,5638.86,5634.6,5679.5,5634.6,"761010000"
"1432",2014-08-22,5645.61,5638.9,5662.7,5638.9,"569740000"
"1433",2014-08-25,5634.89,5645.6,5650.2,5625,"534550000"
"1434",2014-08-26,5637.62,5634.9,5646.6,5625.9,"622230000"
"1435",2014-08-27,5651.18,5637.7,5652.3,5637.5,"666080000"
"1436",2014-08-28,5624.41,5651.2,5651.3,5619.9,"871790000"
"1437",2014-08-29,5625.9,5624.4,5630.6,5614.3,"886320000"
"1438",2014-09-01,5629.83,5625.9,5654,5625.9,"459820000"
"1439",2014-09-02,5658.51,5629.8,5658.51,5617.9,"491520000"
"1440",2014-09-03,5656.1,5658.5,5672.7,5643.6,"606650000"
"1441",2014-09-04,5631.26,5656.1,5657.5,5618.8,"513660000"
"1442",2014-09-05,5598.69,5631.3,5631.3,5592.9,"486210000"
"1443",2014-09-08,5576.97,5598.7,5601.9,5569,"409450000"
"1444",2014-09-09,5607.9,5577,5607.9,5575.2,"489490000"
"1445",2014-09-10,5574.28,5607.9,5607.9,5557.4,"561740000"
"1446",2014-09-11,5546.12,5574.3,5597.4,5543.5,"540840000"
"1447",2014-09-12,5531.14,5546.1,5548.7,5509.8,"544600000"
"1448",2014-09-15,5473.45,5531.1,5531.1,5473.45,"596340000"
"1449",2014-09-16,5445.36,5468.2,5484.5,5440.5,"627040000"
"1450",2014-09-17,5407.25,5445.4,5462.1,5400.2,"705710000"
"1451",2014-09-18,5415.83,5407.3,5431.7,5373.4,"830240000"
"1452",2014-09-19,5433.06,5415.8,5443.2,5415.5,"974440000"
"1453",2014-09-22,5362.95,5433.2,5434,5351.1,"628230000"
"1454",2014-09-23,5415.73,5363,5423.2,5338,"629950000"
"1455",2014-09-24,5375.77,5415.7,5415.7,5356.9,"571810000"
"1456",2014-09-25,5382.17,5375.8,5412.9,5373.3,"535410000"
"1457",2014-09-26,5313.41,5382.2,5382.2,5309.8,"624440000"
"1458",2014-09-29,5264.22,5313.4,5313.4,5259.9,"545040000"
"1459",2014-09-30,5292.81,5264.2,5292.81,5253.1,"647250000"
"1460",2014-10-01,5334.13,5292.8,5337.2,5244,"606400000"
"1461",2014-10-02,5297.7,5334.1,5334.1,5283,"541550000"
"1462",2014-10-03,5318.21,5297.7,5318.6,5281.2,"488430000"
"1463",2014-10-05,5302.4,5318.2,5320.9,5301.3,"51860000"
"1464",2014-10-06,5292.91,5318.2,5320.9,5277.9,"327020000"
"1465",2014-10-07,5284.2,5292.9,5319.6,5208.3,"678520000"
"1466",2014-10-08,5241.27,5284.2,5284.2,5209.7,"528200000"
"1467",2014-10-09,5296.68,5241.3,5324.6,5241.3,"626020000"
"1468",2014-10-10,5188.25,5295.7,5295.7,5187.6,"710520000"
"1469",2014-10-12,5153.5,5188.3,5188.3,5122,"136270000"
"1470",2014-10-13,5155.5,5188.3,5188.3,5122,"638880000"
"1471",2014-10-14,5207.43,5155.5,5217.7,5130.7,"817870000"
"1472",2014-10-15,5245.61,5207.4,5252.8,5206.1,"649120000"
"1473",2014-10-16,5254.89,5245.6,5258.6,5162.4,"8.35e+08"
"1474",2014-10-17,5271.72,5254.9,5308.5,5254.9,"736390000"
"1475",2014-10-19,5319,5271.7,5342,5271.7,"102400000"
"1476",2014-10-20,5319.44,5271.7,5342,5271.7,"462720000"
"1477",2014-10-21,5325.03,5319.4,5344.5,5312.1,"745620000"
"1478",2014-10-22,5385.87,5325,5388,5325,"575530000"
"1479",2014-10-23,5383.14,5385.9,5389.2,5364.5,"593530000"
"1480",2014-10-24,5412.25,5383.1,5425.7,5383.1,"600460000"
"1481",2014-10-26,5441.4,5412.2,5451.1,5412.2,"105710000"
"1482",2014-10-27,5458.95,5412.2,5462.3,5412.2,"566300000"
"1483",2014-10-28,5452.6,5459,5459,5433.1,"609640000"
"1484",2014-10-29,5447.68,5452.6,5481.6,5441.3,"688820000"
"1485",2014-10-30,5476.2,5447.6,5476.9,5447.6,"658930000"
"1486",2014-10-31,5526.6,5476.2,5526.6,5476.2,"726030000"
"1487",2014-11-02,5525.3,5526.6,5535.7,5521.3,"98910000"
"1488",2014-11-03,5506.89,5526.6,5535.7,5499.1,"514870000"
"1489",2014-11-04,5519.92,5506.9,5530.9,5503.8,"445340000"
"1490",2014-11-05,5517.88,5519.9,5519.9,5481,"577620000"
"1491",2014-11-06,5506.11,5517.9,5547.5,5493,"610610000"
"1492",2014-11-07,5549.13,5506.1,5549.13,5500.3,"729590000"
"1493",2014-11-09,5520.5,5549.1,5550.3,5519.9,"128180000"
"1494",2014-11-10,5523.96,5549.1,5550.3,5501.4,"583270000"
"1495",2014-11-11,5517.1,5524,5533.8,5508.4,"612620000"
"1496",2014-11-12,5463.05,5517.1,5517.1,5459.5,"563220000"
"1497",2014-11-13,5442.7,5463.1,5470.6,5433.6,"554020000"
"1498",2014-11-14,5454.34,5442.7,5457.4,5419.3,"447170000"
"1499",2014-11-16,5444.1,5454.3,5460.3,5440.6,"9.4e+07"
"1500",2014-11-17,5412.55,5454.3,5460.3,5406.2,"471440000"
"1501",2014-11-18,5399.69,5412.5,5431.5,5388.2,"470010000"
"1502",2014-11-19,5368.84,5399.7,5399.7,5366.8,"566450000"
"1503",2014-11-20,5316.24,5368.8,5368.8,5315.8,"632220000"
"1504",2014-11-21,5304.31,5316.2,5327.2,5292.9,"569500000"
"1505",2014-11-23,5372.3,5304.3,5372.3,5304.3,"108080000"
"1506",2014-11-24,5361.8,5304.3,5378,5304.3,"501490000"
"1507",2014-11-25,5334.78,5361.8,5361.8,5296.8,"883550000"
"1508",2014-11-26,5396.21,5334.8,5396.21,5334.8,"537500000"
"1509",2014-11-27,5400.92,5396.2,5411.9,5391.5,"518200000"
"1510",2014-11-28,5313,5400.9,5400.9,5313,"660920000"
"1511",2014-11-30,5269,5313,5314.3,5268.7,"119730000"
"1512",2014-12-01,5207.72,5313,5317.4,5207.7,"694460000"
