"","FTSE 100 (FTSE)_history.csv Date","FTSE 100 (FTSE)_history.csv Price","FTSE 100 (FTSE)_history.csv Open","FTSE 100 (FTSE)_history.csv High","FTSE 100 (FTSE)_history.csv Low","FTSE 100 (FTSE)_history.csv Volume"
"642",2011-07-20,5853.82,5821.1,5855.8,5804,
"643",2011-07-21,5899.89,5858.7,5934.5,5796.3,
"644",2011-07-22,5935.02,5941.6,5967.5,5903.5,
"645",2011-07-25,5925.26,5895.8,5938.5,5891.3,
"646",2011-07-26,5929.73,5935.3,5949.5,5894.3,
"647",2011-07-27,5856.58,5908.8,5932.5,5840,
"648",2011-07-28,5873.21,5803.3,5883,5799.3,
"649",2011-07-29,5815.19,5818,5852,5771.8,
"650",2011-08-01,5774.43,5878,5914.8,5764.8,
"651",2011-08-02,5718.39,5763,5780.5,5704.8,
"652",2011-08-03,5584.51,5638.3,5678,5555.8,
"653",2011-08-04,5393.14,5636.3,5636.8,5388.1,
"654",2011-08-05,5068.95,5236,5387.5,5202.5,
"655",2011-08-08,5077.5,5167.5,5295.3,5060.5,
"656",2011-08-09,5164.92,5013.4,5193.8,4788.3,
"657",2011-08-10,5007.16,5263.8,5266.8,4987.3,
"658",2011-08-11,5168.24,5129.3,5173.3,4939.8,
"659",2011-08-12,5320.03,5162.83,5320.03,5099.31,"1.02e+09"
"660",2011-08-15,5350.58,5320.03,5377.23,5319.38,"695640000"
"661",2011-08-16,5357.63,5350.58,5362.15,5265.83,"716380000"
"662",2011-08-17,5331.6,5357.63,5371.08,5279.93,"671940000"
"663",2011-08-18,5092.23,5331.6,5331.6,5041.59,"1.18e+09"
"664",2011-08-19,5040.76,5092.23,5107.91,4929.55,"1.55e+09"
"665",2011-08-22,5095.3,5040.76,5182.98,4993.34,"857260000"
"666",2011-08-23,5129.42,5095.3,5193.17,5076.74,"904650000"
"667",2011-08-24,5205.85,5129.42,5250.59,5098.14,"908820000"
"668",2011-08-25,5131.1,5205.85,5254.17,5102.06,"1.13e+09"
"669",2011-08-26,5129.92,5131.1,5149.51,5014.79,"1.04e+09"
"670",2011-08-30,5268.66,5129.92,5283.6,5129.92,"910280000"
"671",2011-08-31,5394.53,5268.66,5411.6,5258.62,"1.18e+09"
"672",2011-09-01,5418.65,5394.53,5449.67,5346.7,"975360000"
"673",2011-09-02,5292.03,5418.65,5418.65,5258.5,"823930000"
"674",2011-09-05,5102.58,5292.03,5292.03,5097.71,"788820000"
"675",2011-09-06,5156.84,5102.58,5190.27,5086.79,"946080000"
"676",2011-09-07,5318.59,5156.84,5322.21,5156.84,"837910000"
"677",2011-09-08,5340.38,5318.59,5369.82,5269.7,"922650000"
"678",2011-09-09,5214.65,5340.38,5352.03,5202.24,"1.05e+09"
"679",2011-09-12,5129.62,5214.65,5214.65,5059.22,"1.01e+09"
"680",2011-09-13,5174.25,5129.62,5203.07,5069.52,"885950000"
"681",2011-09-14,5227.02,5174.25,5270.42,5146.39,"1.12e+09"
"682",2011-09-15,5337.54,5227.02,5366.74,5227.02,"1.12e+09"
"683",2011-09-16,5368.41,5337.54,5406.1,5337.54,"1.46e+09"
"684",2011-09-19,5259.56,5368.41,5368.41,5231.62,"721390000"
"685",2011-09-20,5363.71,5259.56,5377.39,5219.09,"708690000"
"686",2011-09-21,5288.41,5363.71,5366.09,5268.82,"770540000"
"687",2011-09-22,5041.61,5288.41,5288.41,5013.55,"1.19e+09"
"688",2011-09-23,5066.81,5041.61,5105.38,4928.14,"1.01e+09"
"689",2011-09-26,5089.37,5066.81,5148.81,4974.03,"1.04e+09"
"690",2011-09-27,5294.05,5089.37,5294.05,5089.37,"960710000"
"691",2011-09-28,5217.63,5294.05,5314.29,5191.36,"726670000"
"692",2011-09-29,5196.84,5217.63,5250.18,5160.77,"736900000"
"693",2011-09-30,5128.48,5196.84,5197.33,5068.63,"889500000"
"694",2011-10-03,5075.5,5128.48,5128.48,4983.28,"774950000"
"695",2011-10-04,4944.44,5075.5,5075.5,4868.6,"1.17e+09"
"696",2011-10-05,5102.17,4944.44,5121.4,4944.44,"932390000"
"697",2011-10-06,5291.26,5102.17,5291.26,5102.17,"1.15e+09"
"698",2011-10-07,5303.4,5291.26,5370.89,5261.43,"864880000"
"699",2011-10-10,5399,5303.4,5413.43,5303.4,"611580000"
"700",2011-10-11,5395.7,5399,5399,5330.42,"6.36e+08"
"701",2011-10-12,5441.8,5395.7,5458.02,5348.16,"833340000"
"702",2011-10-13,5403.38,5441.8,5456.09,5368.37,"895900000"
"703",2011-10-14,5466.36,5403.38,5501.39,5395.57,"673340000"
"704",2011-10-17,5436.7,5466.36,5543.72,5405.2,"720600000"
"705",2011-10-18,5410.35,5436.7,5436.7,5348.64,"754540000"
"706",2011-10-19,5450.49,5410.35,5483.79,5410.35,"723010000"
"707",2011-10-20,5384.68,5450.49,5450.49,5363.16,"796890000"
"708",2011-10-21,5488.65,5384.68,5500.54,5384.68,"730200000"
"709",2011-10-24,5548.06,5488.65,5552.79,5487.21,"677460000"
"710",2011-10-25,5525.54,5548.06,5574.13,5465.52,"777720000"
"711",2011-10-26,5553.24,5525.54,5576.63,5498.51,"705180000"
"712",2011-10-27,5713.82,5553.24,5747.33,5553.24,"1.45e+09"
"713",2011-10-28,5702.24,5713.82,5746.88,5684.95,"9.97e+08"
"714",2011-10-31,5544.22,5702.24,5702.24,5544.22,"1.08e+09"
"715",2011-11-01,5421.57,5544.22,5544.22,5338.36,"1.33e+09"
"716",2011-11-02,5484.1,5421.57,5493.29,5383.37,"1.36e+09"
"717",2011-11-03,5545.64,5484.1,5564.54,5402.63,"1.22e+09"
"718",2011-11-04,5527.16,5545.64,5599.46,5495.38,"873170000"
"719",2011-11-07,5510.82,5527.16,5557.76,5432.16,"730610000"
"720",2011-11-08,5567.34,5510.82,5616,5509.57,"8.85e+08"
"721",2011-11-09,5460.38,5567.34,5615.84,5426.25,"1.07e+09"
"722",2011-11-10,5444.82,5460.38,5497.2,5360.19,"799970000"
"723",2011-11-11,5545.38,5444.82,5548.75,5439.81,"715720000"
"724",2011-11-14,5519.04,5545.38,5575.19,5489.25,"687680000"
"725",2011-11-15,5517.44,5519.04,5551.38,5428.6,"841520000"
"726",2011-11-16,5509.02,5517.44,5562.91,5450.24,"941320000"
"727",2011-11-17,5423.14,5509.02,5509.02,5366.12,"1.06e+09"
"728",2011-11-18,5362.94,5423.14,5423.14,5347.89,"826010000"
"729",2011-11-21,5222.6,5362.94,5362.94,5221.69,"952410000"
"730",2011-11-22,5206.82,5222.6,5281.95,5206.82,"914560000"
"731",2011-11-23,5139.78,5206.82,5206.82,5139.78,"1.01e+09"
"732",2011-11-24,5127.57,5139.78,5184.26,5098.99,"856420000"
"733",2011-11-25,5164.65,5127.57,5200.31,5075.22,"733870000"
"734",2011-11-28,5312.76,5164.65,5327.76,5164.65,"897910000"
"735",2011-11-29,5337,5312.76,5344.18,5272.44,"794450000"
"736",2011-11-30,5505.42,5337,5538.96,5274.95,"1.65e+09"
