"","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Date","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Price","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Open","Jakarta Stock Exchange Composite Index (JKSE)_history.csv High","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Low","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Volume"
"458",2010-11-18,3677.9,3673.55,3682.37,3641.17,"1.378e+10"
"459",2010-11-19,3725.05,3678.47,3725.05,3678.47,"8.39e+09"
"460",2010-11-22,3741.23,3725.33,3742.94,3707.89,"5.46e+09"
"461",2010-11-23,3678.19,3741.04,3741.04,3658.58,"6.74e+09"
"462",2010-11-24,3658.78,3677.62,3684.15,3619.88,"5.43e+09"
"463",2010-11-25,3702.01,3659.16,3710.94,3659.16,"8.58e+09"
"464",2010-11-26,3642.5,3701.92,3710.46,3632.09,"9.06e+09"
"465",2010-11-29,3630.64,3642.88,3642.88,3573.22,"5.04e+09"
"466",2010-11-30,3531.21,3631.54,3633.99,3529.85,"7.97e+09"
"467",2010-12-01,3619.09,3530.93,3619.09,3530.93,"6.65e+09"
"468",2010-12-02,3694.58,3619.85,3706.4,3619.85,"6.52e+09"
"469",2010-12-03,3696.26,3694.67,3728.09,3679.84,"3.98e+09"
"470",2010-12-06,3722.35,3696.73,3728.97,3696.73,"3.98e+09"
"471",2010-12-08,3769.99,3722.91,3771.79,3722.91,"4.31e+09"
"472",2010-12-09,3786.1,3771.49,3788.57,3764.29,"4.78e+09"
"473",2010-12-10,3747.71,3784.66,3784.66,3728.98,"4.95e+09"
"474",2010-12-13,3692.23,3747.81,3751.93,3681.32,"3.8e+09"
"475",2010-12-14,3689.67,3692.42,3712.34,3676.73,"3.58e+09"
"476",2010-12-15,3658.31,3691.11,3691.11,3613.67,"4.15e+09"
"477",2010-12-16,3571.74,3657.47,3657.47,3554.85,"4.01e+09"
"478",2010-12-17,3581.57,3571.46,3601.85,3536.66,"3.13e+09"
"479",2010-12-20,3568.81,3589.15,3591.29,3537.67,"3.58e+09"
"480",2010-12-21,3637.45,3569.46,3642.1,3569.46,"2.55e+09"
"481",2010-12-22,3620.68,3637.69,3649.98,3610.57,"2.24e+09"
"482",2010-12-23,3611.53,3621.63,3626.12,3587.99,"1.98e+09"
"483",2010-12-27,3625.27,3612,3626.25,3601.48,"1.87e+09"
"484",2010-12-28,3659.99,3625.73,3672.18,3623.83,"2.01e+09"
"485",2010-12-29,3699.22,3660.09,3704.01,3660.09,"1.89e+09"
"486",2010-12-30,3703.51,3698.94,3718.98,3689.03,"2.05e+09"
"487",2011-01-03,3727.52,3704.44,3738.59,3704.44,"3.52e+09"
"488",2011-01-04,3760.06,3727.8,3763.38,3724.47,"5.31e+09"
"489",2011-01-05,3783.71,3759.97,3786.05,3728.91,"3.36e+09"
"490",2011-01-06,3736.26,3782.99,3789.47,3720.57,"2.88e+09"
"491",2011-01-07,3631.45,3734.37,3734.37,3607.33,"3.64e+09"
"492",2011-01-10,3478.55,3631.27,3631.27,3449.58,"4.55e+09"
"493",2011-01-11,3455.13,3478.08,3550.36,3434.27,"3.84e+09"
"494",2011-01-12,3554.77,3455.41,3555.39,3455.41,"5.04e+09"
"495",2011-01-13,3564.94,3555.33,3630.68,3549.01,"4.33e+09"
"496",2011-01-14,3569.14,3564.65,3569.64,3518.56,"2.53e+09"
"497",2011-01-17,3535.73,3568.77,3569.97,3506.87,"2.02e+09"
"498",2011-01-18,3548.65,3536.2,3548.69,3507.97,"2.76e+09"
"499",2011-01-19,3534.28,3548.65,3558.67,3511.64,"3.33e+09"
"500",2011-01-20,3454.12,3534,3534,3441.63,"3.01e+09"
"501",2011-01-21,3379.54,3453.27,3453.27,3309.62,"3.37e+09"
"502",2011-01-24,3346.06,3380.5,3396.85,3321.68,"2.26e+09"
"503",2011-01-25,3433.91,3347.02,3445.98,3347.02,"2.77e+09"
"504",2011-01-26,3501.72,3434.15,3501.72,3414.69,"3.13e+09"
"505",2011-01-27,3514.62,3500.75,3549.48,3495.95,"3.2e+09"
"506",2011-01-28,3487.61,3514.15,3514.15,3462.37,"2.1e+09"
"507",2011-01-31,3409.17,3487.14,3487.14,3383.16,"2.63e+09"
"508",2011-02-01,3442.5,3411.08,3452.02,3411.08,"2.66e+09"
"509",2011-02-02,3480.83,3443.16,3490.25,3443.16,"2.27e+09"
"510",2011-02-04,3496.17,3480.92,3500.55,3462.94,"1.9e+09"
"511",2011-02-07,3487.71,3497.11,3521.63,3476.35,"1.74e+09"
"512",2011-02-08,3459.93,3487.99,3500.46,3450.05,"2.26e+09"
"513",2011-02-09,3417.47,3458.25,3458.25,3384.88,"2.41e+09"
"514",2011-02-10,3373.64,3417.19,3417.19,3336.83,"2.22e+09"
"515",2011-02-11,3391.77,3372.7,3393.52,3338.53,"2.44e+09"
"516",2011-02-14,3416.77,3392.6,3430.04,3392.6,"1.99e+09"
"517",2011-02-16,3416.78,3416.58,3417.35,3387.25,"1.79e+09"
"518",2011-02-17,3434.38,3416.97,3440.73,3414.66,"2.32e+09"
"519",2011-02-18,3501.5,3435.31,3507.95,3435.31,"3.53e+09"
"520",2011-02-21,3497.64,3500.95,3520.64,3488.61,"2.57e+09"
"521",2011-02-22,3451.1,3497.36,3497.36,3437.29,"2.15e+09"
"522",2011-02-23,3474.12,3451.47,3486.9,3435.19,"2.54e+09"
"523",2011-02-24,3439.13,3473.84,3473.84,3422.58,"3.95e+09"
"524",2011-02-25,3443.53,3439.69,3454.88,3429.02,"2.88e+09"
"525",2011-02-28,3470.35,3443.62,3471.43,3436.1,"2.37e+09"
"526",2011-03-01,3512.62,3470.63,3513.47,3470.63,"2.96e+09"
"527",2011-03-02,3486.2,3512.15,3512.15,3469.57,"2.76e+09"
"528",2011-03-03,3494.54,3484.52,3512.89,3483.8,"2.9e+09"
"529",2011-03-04,3542.9,3495.1,3543.55,3495.1,"2.86e+09"
"530",2011-03-07,3561.72,3541.96,3563.05,3526.03,"2.03e+09"
"531",2011-03-08,3580.31,3561.44,3580.31,3551.72,"2.85e+09"
"532",2011-03-09,3598.68,3579.85,3609.21,3577.37,"3e+09"
"533",2011-03-10,3587.65,3598.49,3598.49,3564.77,"2.63e+09"
"534",2011-03-11,3542.23,3587.28,3587.28,3513.09,"3.12e+09"
"535",2011-03-14,3569.84,3542.14,3583.5,3524.79,"3.33e+09"
"536",2011-03-15,3524.48,3569.28,3569.28,3476.69,"3.6e+09"
"537",2011-03-16,3531.48,3524.67,3535.23,3493.61,"2.8e+09"
