"","S&P 500 (SPX)_history.csv Date","S&P 500 (SPX)_history.csv Price","S&P 500 (SPX)_history.csv Open","S&P 500 (SPX)_history.csv High","S&P 500 (SPX)_history.csv Low","S&P 500 (SPX)_history.csv Volume"
"1304",2014-03-11,1867.63,1878.26,1882.35,1863.88,"-"
"1305",2014-03-12,1868.2,1866.15,1868.38,1854.38,"-"
"1306",2014-03-13,1846.34,1869.06,1874.4,1841.86,"-"
"1307",2014-03-14,1841.13,1845.07,1852.44,1839.57,"-"
"1308",2014-03-17,1858.83,1842.81,1862.3,1842.81,"-"
"1309",2014-03-18,1872.25,1858.92,1873.76,1858.92,"-"
"1310",2014-03-19,1860.77,1872.25,1874.14,1850.35,"-"
"1311",2014-03-20,1872.01,1860.09,1873.49,1854.63,"-"
"1312",2014-03-21,1866.52,1874.53,1883.97,1863.46,"-"
"1313",2014-03-24,1857.44,1867.67,1873.34,1849.69,"-"
"1314",2014-03-25,1865.62,1859.48,1871.87,1855.96,"-"
"1315",2014-03-26,1852.56,1867.09,1875.92,1852.56,"-"
"1316",2014-03-27,1849.04,1852.11,1855.55,1842.11,"-"
"1317",2014-03-28,1857.62,1850.07,1866.63,1850.07,"-"
"1318",2014-03-31,1872.34,1859.16,1875.18,1859.16,"-"
"1319",2014-04-01,1885.52,1873.96,1885.84,1873.96,"-"
"1320",2014-04-02,1890.9,1886.61,1893.17,1883.79,"-"
"1321",2014-04-03,1888.77,1891.43,1893.8,1882.65,"-"
"1322",2014-04-04,1865.09,1890.25,1897.28,1863.26,"-"
"1323",2014-04-07,1845.04,1863.92,1864.04,1841.48,"-"
"1324",2014-04-08,1851.96,1845.48,1854.95,1837.49,"-"
"1325",2014-04-09,1872.18,1852.64,1872.43,1852.38,"-"
"1326",2014-04-10,1833.08,1872.28,1872.53,1830.87,"-"
"1327",2014-04-11,1815.69,1830.65,1835.07,1814.36,"-"
"1328",2014-04-14,1830.61,1818.18,1834.19,1815.8,"-"
"1329",2014-04-15,1842.98,1831.45,1844.02,1816.29,"-"
"1330",2014-04-16,1862.31,1846.01,1862.31,1846.01,"-"
"1331",2014-04-17,1864.85,1861.73,1869.63,1856.72,"-"
"1332",2014-04-21,1871.89,1865.79,1871.89,1863.18,"-"
"1333",2014-04-22,1879.55,1872.57,1884.89,1872.57,"-"
"1334",2014-04-23,1875.39,1879.32,1879.75,1873.91,"-"
"1335",2014-04-24,1878.61,1881.97,1884.06,1870.24,"-"
"1336",2014-04-25,1863.4,1877.72,1877.72,1859.7,"-"
"1337",2014-04-28,1869.43,1865,1877.01,1850.61,"-"
"1338",2014-04-29,1878.33,1870.78,1880.6,1870.78,"-"
"1339",2014-04-30,1883.95,1877.1,1885.2,1872.69,"-"
"1340",2014-05-01,1883.68,1884.39,1888.59,1878.04,"-"
"1341",2014-05-02,1881.14,1885.3,1891.33,1878.5,"-"
"1342",2014-05-05,1884.66,1879.45,1885.51,1866.77,"-"
"1343",2014-05-06,1867.72,1883.69,1883.69,1867.72,"-"
"1344",2014-05-07,1878.21,1868.53,1878.83,1859.79,"-"
"1345",2014-05-08,1875.63,1877.39,1889.07,1870.05,"-"
"1346",2014-05-09,1878.48,1875.27,1878.57,1867.02,"-"
"1347",2014-05-12,1896.65,1880.03,1897.13,1880.03,"-"
"1348",2014-05-13,1897.45,1896.75,1902.17,1896.06,"-"
"1349",2014-05-14,1888.53,1897.13,1897.13,1885.77,"-"
"1350",2014-05-15,1870.85,1888.16,1888.16,1862.36,"-"
"1351",2014-05-16,1877.86,1871.19,1878.28,1864.82,"-"
"1352",2014-05-19,1885.08,1876.66,1886,1872.42,"-"
"1353",2014-05-20,1872.83,1884.88,1884.88,1868.14,"-"
"1354",2014-05-21,1888.03,1873.34,1888.8,1873.34,"-"
"1355",2014-05-22,1892.49,1888.19,1896.33,1885.39,"-"
"1356",2014-05-23,1900.53,1893.32,1901.26,1893.32,"-"
"1357",2014-05-27,1911.91,1902.01,1912.28,1902.01,"-"
"1358",2014-05-28,1909.78,1911.77,1914.46,1907.3,"-"
"1359",2014-05-29,1920.03,1910.6,1920.03,1909.82,"-"
"1360",2014-05-30,1923.57,1920.33,1924.03,1916.64,"-"
"1361",2014-06-02,1924.97,1923.87,1925.88,1915.98,"-"
"1362",2014-06-03,1924.24,1923.07,1925.07,1918.79,"-"
"1363",2014-06-04,1927.88,1923.06,1928.63,1918.6,"-"
"1364",2014-06-05,1940.46,1928.52,1941.74,1922.93,"-"
"1365",2014-06-06,1949.44,1942.41,1949.44,1942.41,"-"
"1366",2014-06-09,1951.27,1948.97,1955.55,1947.16,"-"
"1367",2014-06-10,1950.79,1950.34,1950.86,1944.64,"-"
"1368",2014-06-11,1943.89,1949.37,1949.37,1940.08,"-"
"1369",2014-06-12,1930.11,1943.35,1943.35,1925.78,"-"
"1370",2014-06-13,1936.16,1930.8,1937.3,1927.69,"-"
"1371",2014-06-16,1937.78,1934.84,1941.15,1930.91,"-"
"1372",2014-06-17,1941.99,1937.15,1943.69,1933.55,"-"
"1373",2014-06-18,1956.98,1942.73,1957.74,1939.29,"-"
"1374",2014-06-19,1959.48,1957.5,1959.87,1952.26,"-"
"1375",2014-06-20,1962.87,1960.45,1963.91,1959.17,"-"
"1376",2014-06-23,1962.61,1962.92,1963.74,1958.89,"-"
"1377",2014-06-24,1949.98,1961.97,1968.17,1948.34,"-"
"1378",2014-06-25,1959.53,1949.27,1960.83,1947.49,"-"
"1379",2014-06-26,1957.22,1959.89,1959.89,1944.69,"-"
"1380",2014-06-27,1960.96,1956.56,1961.47,1952.18,"-"
"1381",2014-06-30,1960.23,1960.79,1964.24,1958.22,"-"
"1382",2014-07-01,1973.32,1962.29,1978.58,1962.29,"-"
"1383",2014-07-02,1974.62,1973.06,1976.67,1972.58,"-"
"1384",2014-07-03,1985.44,1975.88,1985.59,1975.88,"-"
"1385",2014-07-07,1977.65,1984.22,1984.22,1974.88,"-"
"1386",2014-07-08,1963.71,1976.39,1976.39,1959.46,"-"
"1387",2014-07-09,1972.83,1965.1,1974.15,1965.1,"-"
"1388",2014-07-10,1964.68,1966.67,1969.84,1952.86,"-"
"1389",2014-07-11,1967.57,1965.76,1968.67,1959.63,"-"
"1390",2014-07-14,1977.1,1969.86,1979.85,1969.86,"-"
"1391",2014-07-15,1973.28,1977.36,1982.52,1965.34,"-"
"1392",2014-07-16,1981.57,1976.35,1983.94,1975.67,"-"
"1393",2014-07-17,1958.12,1979.75,1981.8,1955.59,"-"
"1394",2014-07-18,1978.22,1961.54,1979.91,1960.82,"-"
"1395",2014-07-21,1973.63,1976.93,1976.93,1965.77,"-"
"1396",2014-07-22,1983.53,1975.65,1986.24,1975.65,"-"
"1397",2014-07-23,1987.01,1985.32,1989.23,1982.44,"-"
"1398",2014-07-24,1987.98,1988.07,1991.39,1985.79,"-"
"1399",2014-07-25,1978.34,1984.6,1984.6,1974.37,"-"
"1400",2014-07-28,1978.91,1978.25,1981.52,1967.31,"-"
"1401",2014-07-29,1969.95,1980.03,1984.85,1969.95,"-"
"1402",2014-07-30,1970.07,1973.21,1978.9,1962.42,"-"
"1403",2014-07-31,1930.67,1965.14,1965.14,1930.67,"-"
"1404",2014-08-01,1925.15,1929.8,1937.35,1916.37,"-"
"1405",2014-08-04,1938.99,1926.62,1942.92,1921.2,"-"
"1406",2014-08-05,1920.21,1936.34,1936.34,1913.77,"-"
"1407",2014-08-06,1920.24,1917.29,1927.91,1911.45,"-"
"1408",2014-08-07,1909.57,1923.03,1928.89,1904.78,"-"
"1409",2014-08-08,1931.59,1910.35,1932.38,1909.01,"-"
"1410",2014-08-11,1936.92,1933.43,1944.9,1933.43,"-"
"1411",2014-08-12,1933.75,1935.73,1939.65,1928.29,"-"
"1412",2014-08-13,1946.72,1935.6,1948.41,1935.6,"-"
"1413",2014-08-14,1955.18,1947.41,1955.23,1947.41,"-"
"1414",2014-08-15,1955.06,1958.87,1964.04,1941.5,"-"
"1415",2014-08-18,1971.74,1958.36,1971.99,1958.36,"-"
"1416",2014-08-19,1981.6,1972.73,1982.57,1972.73,"-"
"1417",2014-08-20,1986.51,1980.46,1988.57,1977.68,"-"
"1418",2014-08-21,1992.37,1986.82,1994.76,1986.82,"-"
"1419",2014-08-22,1988.4,1992.6,1993.54,1984.76,"-"
"1420",2014-08-25,1997.92,1991.74,2001.95,1991.74,"-"
"1421",2014-08-26,2000.02,1998.59,2005.04,1998.59,"-"
"1422",2014-08-27,2000.12,2000.54,2002.14,1996.2,"-"
"1423",2014-08-28,1996.74,1997.42,1998.55,1990.52,"-"
"1424",2014-08-29,2003.37,1998.45,2003.38,1994.65,"-"
"1425",2014-09-02,2002.28,2004.07,2006.12,1994.85,"-"
"1426",2014-09-03,2000.72,2003.57,2009.28,1998.14,"-"
"1427",2014-09-04,1997.65,2001.67,2011.17,1992.54,"-"
"1428",2014-09-05,2007.71,1998,2007.71,1990.1,"-"
"1429",2014-09-08,2001.54,2007.17,2007.17,1995.6,"-"
"1430",2014-09-09,1988.44,2000.73,2001.01,1984.61,"-"
"1431",2014-09-10,1995.69,1988.41,1996.66,1982.99,"-"
"1432",2014-09-11,1997.45,1992.85,1997.65,1985.93,"-"
"1433",2014-09-12,1985.54,1996.74,1996.74,1980.26,"-"
"1434",2014-09-15,1984.13,1986.04,1987.18,1978.48,"-"
"1435",2014-09-16,1998.98,1981.93,2002.28,1979.06,"-"
"1436",2014-09-17,2001.57,1999.3,2010.74,1993.29,"-"
"1437",2014-09-18,2011.36,2003.07,2012.34,2003.07,"-"
"1438",2014-09-19,2010.4,2012.74,2019.26,2006.59,"-"
"1439",2014-09-22,1994.29,2009.08,2009.08,1991.01,"-"
"1440",2014-09-23,1982.77,1992.78,1995.41,1982.77,"-"
"1441",2014-09-24,1998.3,1983.34,1999.79,1978.63,"-"
"1442",2014-09-25,1965.99,1997.32,1997.32,1965.99,"-"
"1443",2014-09-26,1982.85,1966.22,1986.37,1966.22,"-"
"1444",2014-09-29,1977.8,1978.96,1981.28,1964.04,"-"
"1445",2014-09-30,1972.29,1978.21,1985.17,1968.96,"-"
"1446",2014-10-01,1946.16,1971.44,1971.44,1941.72,"-"
"1447",2014-10-02,1946.17,1945.83,1952.32,1926.03,"-"
"1448",2014-10-03,1967.9,1948.12,1971.19,1948.12,"-"
"1449",2014-10-06,1964.82,1970.01,1977.84,1958.43,"-"
"1450",2014-10-07,1935.1,1962.36,1962.36,1934.87,"-"
"1451",2014-10-08,1968.89,1935.55,1970.36,1925.25,"-"
"1452",2014-10-09,1928.21,1967.68,1967.68,1927.56,"-"
"1453",2014-10-10,1906.13,1925.63,1936.98,1906.05,"-"
"1454",2014-10-13,1874.74,1905.65,1912.09,1874.14,"-"
"1455",2014-10-14,1877.7,1877.11,1898.71,1871.79,"-"
"1456",2014-10-15,1862.49,1874.18,1874.18,1820.66,"-"
"1457",2014-10-16,1862.76,1855.95,1876.01,1835.02,"-"
"1458",2014-10-17,1886.76,1864.91,1898.16,1864.91,"-"
"1459",2014-10-20,1904.01,1885.62,1905.03,1882.3,"-"
"1460",2014-10-21,1941.28,1909.38,1942.45,1909.38,"-"
"1461",2014-10-22,1927.11,1941.29,1949.31,1926.83,"-"
"1462",2014-10-23,1950.82,1931.02,1961.95,1931.02,"-"
"1463",2014-10-24,1964.58,1951.59,1965.27,1946.27,"-"
"1464",2014-10-27,1961.63,1962.97,1964.64,1951.37,"-"
"1465",2014-10-28,1985.05,1964.14,1985.05,1964.14,"-"
"1466",2014-10-29,1982.3,1983.29,1991.4,1969.04,"-"
"1467",2014-10-30,1994.65,1979.49,1999.4,1974.75,"-"
"1468",2014-10-31,2018.05,2001.2,2018.19,2001.2,"-"
"1469",2014-11-03,2017.81,2018.21,2024.46,2013.68,"-"
"1470",2014-11-04,2012.1,2015.81,2015.98,2001.01,"-"
"1471",2014-11-05,2023.57,2015.29,2023.77,2014.42,"-"
"1472",2014-11-06,2031.21,2023.33,2031.61,2015.86,"-"
"1473",2014-11-07,2031.92,2032.36,2034.26,2025.07,"-"
"1474",2014-11-10,2038.26,2032.01,2038.7,2030.17,"-"
"1475",2014-11-11,2039.68,2038.2,2041.28,2035.28,"-"
"1476",2014-11-12,2038.25,2037.75,2040.33,2031.95,"-"
"1477",2014-11-13,2039.33,2039.21,2046.18,2030.44,"-"
"1478",2014-11-14,2039.82,2039.74,2042.22,2035.2,"-"
"1479",2014-11-17,2041.32,2038.29,2043.07,2034.46,"-"
"1480",2014-11-18,2051.8,2041.48,2056.08,2041.48,"-"
"1481",2014-11-19,2048.72,2051.16,2052.14,2040.37,"-"
"1482",2014-11-20,2052.75,2045.87,2053.84,2040.49,"-"
"1483",2014-11-21,2063.5,2057.46,2071.46,2056.75,"-"
"1484",2014-11-24,2069.41,2065.07,2070.17,2065.07,"-"
"1485",2014-11-25,2067.03,2070.15,2074.21,2064.75,"-"
"1486",2014-11-26,2072.83,2067.36,2073.29,2066.62,"-"
"1487",2014-11-28,2067.56,2074.78,2075.76,2065.06,"-"
"1488",2014-12-01,2053.44,2065.78,2065.78,2049.57,"-"
"1489",2014-12-02,2066.55,2053.77,2068.77,2053.77,"-"
"1490",2014-12-03,2074.33,2067.45,2076.28,2066.65,"-"
"1491",2014-12-04,2071.92,2073.64,2077.34,2062.34,"-"
"1492",2014-12-05,2075.37,2072.78,2079.47,2070.81,"-"
