Date;Transactions;;;;
19/09/2010 00:00;339.0;;;;
21/09/2010 00:00;636.0;;;;
23/09/2010 00:00;698.0;;;;
25/09/2010 00:00;451.0;;;;
27/09/2010 00:00;639.0;;;;
29/09/2010 00:00;998.0;;;;
01/10/2010 00:00;563.0;;;;
03/10/2010 00:00;401.0;;;;
05/10/2010 00:00;353.0;;;;
07/10/2010 00:00;370.0;;;;
09/10/2010 00:00;382.0;;;;
11/10/2010 00:00;348.0;;;;
13/10/2010 00:00;350.0;;;;
15/10/2010 00:00;333.0;;;;
17/10/2010 00:00;485.0;;;;
19/10/2010 00:00;964.0;;;;
21/10/2010 00:00;602.0;;;;
23/10/2010 00:00;623.0;;;;
25/10/2010 00:00;479.0;;;;
27/10/2010 00:00;569.0;;;;
29/10/2010 00:00;466.0;;;;
31/10/2010 00:00;311.0;;;;
02/11/2010 00:00;283.0;;;;
04/11/2010 00:00;339.0;;;;
06/11/2010 00:00;389.0;;;;
08/11/2010 00:00;498.0;;;;
10/11/2010 00:00;372.0;;;;
12/11/2010 00:00;296.0;;;;
14/11/2010 00:00;399.0;;;;
16/11/2010 00:00;12087.0;;;;
18/11/2010 00:00;434.0;;;;
20/11/2010 00:00;12322.0;;;;
22/11/2010 00:00;395.0;;;;
24/11/2010 00:00;2749.0;;;;
26/11/2010 00:00;1542.0;;;;
28/11/2010 00:00;457.0;;;;
30/11/2010 00:00;455.0;;;;
02/12/2010 00:00;472.0;;;;
04/12/2010 00:00;402.0;;;;
06/12/2010 00:00;447.0;;;;
08/12/2010 00:00;537.0;;;;
10/12/2010 00:00;382.0;;;;
12/12/2010 00:00;564.0;;;;
14/12/2010 00:00;683.0;;;;
16/12/2010 00:00;523.0;;;;
18/12/2010 00:00;466.0;;;;
20/12/2010 00:00;934.0;;;;
22/12/2010 00:00;634.0;;;;
24/12/2010 00:00;578.0;;;;
26/12/2010 00:00;650.0;;;;
28/12/2010 00:00;584.0;;;;
30/12/2010 00:00;542.0;;;;
01/01/2011 00:00;594.0;;;;
03/01/2011 00:00;853.0;;;;
05/01/2011 00:00;1192.0;;;;
07/01/2011 00:00;880.0;;;;
09/01/2011 00:00;1193.0;;;;
11/01/2011 00:00;1262.0;;;;
13/01/2011 00:00;1271.0;;;;
15/01/2011 00:00;932.0;;;;
17/01/2011 00:00;816.0;;;;
19/01/2011 00:00;967.0;;;;
21/01/2011 00:00;1047.0;;;;
23/01/2011 00:00;1073.0;;;;
25/01/2011 00:00;965.0;;;;
27/01/2011 00:00;900.0;;;;
29/01/2011 00:00;1290.0;;;;
31/01/2011 00:00;1815.0;;;;
02/02/2011 00:00;1004.0;;;;
04/02/2011 00:00;918.0;;;;
06/02/2011 00:00;857.0;;;;
08/02/2011 00:00;842.0;;;;
10/02/2011 00:00;1866.0;;;;
12/02/2011 00:00;1903.0;;;;
14/02/2011 00:00;1978.0;;;;
16/02/2011 00:00;2062.0;;;;
18/02/2011 00:00;2086.0;;;;
20/02/2011 00:00;1698.0;;;;
22/02/2011 00:00;2152.0;;;;
24/02/2011 00:00;1957.0;;;;
26/02/2011 00:00;1964.0;;;;
28/02/2011 00:00;1932.0;;;;
02/03/2011 00:00;2974.0;;;;
04/03/2011 00:00;2119.0;;;;
06/03/2011 00:00;1918.0;;;;
08/03/2011 00:00;2530.0;;;;
10/03/2011 00:00;1491.0;;;;
12/03/2011 00:00;2812.0;;;;
14/03/2011 00:00;2981.0;;;;
16/03/2011 00:00;3237.0;;;;
18/03/2011 00:00;2759.0;;;;
20/03/2011 00:00;2674.0;;;;
22/03/2011 00:00;2301.0;;;;
24/03/2011 00:00;2218.0;;;;
26/03/2011 00:00;2987.0;;;;
28/03/2011 00:00;3420.0;;;;
30/03/2011 00:00;1625.0;;;;
01/04/2011 00:00;1573.0;;;;
03/04/2011 00:00;1603.0;;;;
05/04/2011 00:00;2272.0;;;;
07/04/2011 00:00;1842.0;;;;
09/04/2011 00:00;1749.0;;;;
11/04/2011 00:00;1879.0;;;;
13/04/2011 00:00;2480.0;;;;
15/04/2011 00:00;2001.0;;;;
17/04/2011 00:00;2320.0;;;;
19/04/2011 00:00;3567.0;;;;
21/04/2011 00:00;1912.0;;;;
23/04/2011 00:00;2100.0;;;;
25/04/2011 00:00;2516.0;;;;
27/04/2011 00:00;4550.0;;;;
29/04/2011 00:00;3474.0;;;;
01/05/2011 00:00;4648.0;;;;
03/05/2011 00:00;3235.0;;;;
05/05/2011 00:00;3399.0;;;;
07/05/2011 00:00;3889.0;;;;
09/05/2011 00:00;3560.0;;;;
11/05/2011 00:00;3272.0;;;;
13/05/2011 00:00;4404.0;;;;
15/05/2011 00:00;3990.0;;;;
17/05/2011 00:00;4355.0;;;;
19/05/2011 00:00;5131.0;;;;
21/05/2011 00:00;4822.0;;;;
23/05/2011 00:00;5775.0;;;;
25/05/2011 00:00;6172.0;;;;
27/05/2011 00:00;5491.0;;;;
29/05/2011 00:00;4725.0;;;;
31/05/2011 00:00;6203.0;;;;
02/06/2011 00:00;7157.0;;;;
04/06/2011 00:00;8773.0;;;;
06/06/2011 00:00;9808.0;;;;
08/06/2011 00:00;11394.0;;;;
10/06/2011 00:00;11233.0;;;;
12/06/2011 00:00;11668.0;;;;
14/06/2011 00:00;12602.0;;;;
16/06/2011 00:00;11777.0;;;;
18/06/2011 00:00;12025.0;;;;
20/06/2011 00:00;11278.0;;;;
22/06/2011 00:00;11810.0;;;;
24/06/2011 00:00;11134.0;;;;
26/06/2011 00:00;10298.0;;;;
28/06/2011 00:00;10892.0;;;;
30/06/2011 00:00;9885.0;;;;
02/07/2011 00:00;9454.0;;;;
04/07/2011 00:00;9495.0;;;;
06/07/2011 00:00;11053.0;;;;
08/07/2011 00:00;8211.0;;;;
10/07/2011 00:00;8057.0;;;;
12/07/2011 00:00;8795.0;;;;
14/07/2011 00:00;8419.0;;;;
16/07/2011 00:00;7821.0;;;;
18/07/2011 00:00;8185.0;;;;
20/07/2011 00:00;8545.0;;;;
22/07/2011 00:00;8437.0;;;;
24/07/2011 00:00;7866.0;;;;
26/07/2011 00:00;8401.0;;;;
28/07/2011 00:00;7818.0;;;;
30/07/2011 00:00;6854.0;;;;
01/08/2011 00:00;8032.0;;;;
03/08/2011 00:00;8054.0;;;;
05/08/2011 00:00;7308.0;;;;
07/08/2011 00:00;6725.0;;;;
09/08/2011 00:00;8638.0;;;;
11/08/2011 00:00;8116.0;;;;
13/08/2011 00:00;7386.0;;;;
15/08/2011 00:00;8347.0;;;;
17/08/2011 00:00;8128.0;;;;
19/08/2011 00:00;7787.0;;;;
21/08/2011 00:00;7355.0;;;;
23/08/2011 00:00;7425.0;;;;
25/08/2011 00:00;7082.0;;;;
27/08/2011 00:00;6988.0;;;;
29/08/2011 00:00;7807.0;;;;
31/08/2011 00:00;7280.0;;;;
02/09/2011 00:00;6917.0;;;;
04/09/2011 00:00;6612.0;;;;
06/09/2011 00:00;7705.0;;;;
08/09/2011 00:00;6481.0;;;;
10/09/2011 00:00;6453.0;;;;
12/09/2011 00:00;6422.0;;;;
14/09/2011 00:00;6515.0;;;;
16/09/2011 00:00;6042.0;;;;
18/09/2011 00:00;5775.0;;;;
20/09/2011 00:00;7420.0;;;;
22/09/2011 00:00;6808.0;;;;
24/09/2011 00:00;6231.0;;;;
26/09/2011 00:00;5917.0;;;;
28/09/2011 00:00;5795.0;;;;
30/09/2011 00:00;5762.0;;;;
02/10/2011 00:00;5145.0;;;;
04/10/2011 00:00;5316.0;;;;
06/10/2011 00:00;6004.0;;;;
08/10/2011 00:00;5604.0;;;;
10/10/2011 00:00;5530.0;;;;
12/10/2011 00:00;6498.0;;;;
14/10/2011 00:00;5676.0;;;;
16/10/2011 00:00;4878.0;;;;
18/10/2011 00:00;5562.0;;;;
20/10/2011 00:00;4708.0;;;;
22/10/2011 00:00;4820.0;;;;
24/10/2011 00:00;5919.0;;;;
26/10/2011 00:00;5307.0;;;;
28/10/2011 00:00;5111.0;;;;
30/10/2011 00:00;4888.0;;;;
01/11/2011 00:00;5885.0;;;;
03/11/2011 00:00;5746.0;;;;
05/11/2011 00:00;6575.0;;;;
07/11/2011 00:00;5329.0;;;;
09/11/2011 00:00;6627.0;;;;
11/11/2011 00:00;5439.0;;;;
13/11/2011 00:00;5088.0;;;;
15/11/2011 00:00;6442.0;;;;
17/11/2011 00:00;5596.0;;;;
19/11/2011 00:00;4909.0;;;;
21/11/2011 00:00;5044.0;;;;
23/11/2011 00:00;5620.0;;;;
25/11/2011 00:00;5374.0;;;;
27/11/2011 00:00;4794.0;;;;
29/11/2011 00:00;6529.0;;;;
01/12/2011 00:00;6735.0;;;;
03/12/2011 00:00;5533.0;;;;
05/12/2011 00:00;6347.0;;;;
07/12/2011 00:00;7119.0;;;;
09/12/2011 00:00;5686.0;;;;
11/12/2011 00:00;5240.0;;;;
13/12/2011 00:00;5515.0;;;;
15/12/2011 00:00;5476.0;;;;
17/12/2011 00:00;4819.0;;;;
19/12/2011 00:00;5200.0;;;;
21/12/2011 00:00;5667.0;;;;
23/12/2011 00:00;5740.0;;;;
25/12/2011 00:00;5307.0;;;;
27/12/2011 00:00;5571.0;;;;
29/12/2011 00:00;5023.0;;;;
31/12/2011 00:00;5357.0;;;;
02/01/2012 00:00;5809.0;;;;
