project,article,granularity,timestamp,access,agent,views
en.wikipedia,Bitcoin,daily,2015123100,all-access,all-agents,7727
en.wikipedia,Bitcoin,daily,2016010100,all-access,all-agents,6917
en.wikipedia,Bitcoin,daily,2016010200,all-access,all-agents,8377
en.wikipedia,Bitcoin,daily,2016010300,all-access,all-agents,10766
en.wikipedia,Bitcoin,daily,2016010400,all-access,all-agents,10785
en.wikipedia,Bitcoin,daily,2016010500,all-access,all-agents,10522
en.wikipedia,Bitcoin,daily,2016010600,all-access,all-agents,9285
en.wikipedia,Bitcoin,daily,2016010700,all-access,all-agents,10956
en.wikipedia,Bitcoin,daily,2016010800,all-access,all-agents,9452
en.wikipedia,Bitcoin,daily,2016010900,all-access,all-agents,7980
en.wikipedia,Bitcoin,daily,2016011000,all-access,all-agents,8171
en.wikipedia,Bitcoin,daily,2016011100,all-access,all-agents,9588
en.wikipedia,Bitcoin,daily,2016011200,all-access,all-agents,8934
en.wikipedia,Bitcoin,daily,2016011300,all-access,all-agents,8913
en.wikipedia,Bitcoin,daily,2016011400,all-access,all-agents,8931
en.wikipedia,Bitcoin,daily,2016011500,all-access,all-agents,10703
en.wikipedia,Bitcoin,daily,2016011600,all-access,all-agents,10065
en.wikipedia,Bitcoin,daily,2016011700,all-access,all-agents,10603
en.wikipedia,Bitcoin,daily,2016011800,all-access,all-agents,11649
en.wikipedia,Bitcoin,daily,2016011900,all-access,all-agents,10967
en.wikipedia,Bitcoin,daily,2016012000,all-access,all-agents,10033
en.wikipedia,Bitcoin,daily,2016012100,all-access,all-agents,10319
en.wikipedia,Bitcoin,daily,2016012200,all-access,all-agents,9526
en.wikipedia,Bitcoin,daily,2016012300,all-access,all-agents,7271
en.wikipedia,Bitcoin,daily,2016012400,all-access,all-agents,8098
en.wikipedia,Bitcoin,daily,2016012500,all-access,all-agents,9522
en.wikipedia,Bitcoin,daily,2016012600,all-access,all-agents,9169
en.wikipedia,Bitcoin,daily,2016012700,all-access,all-agents,10703
en.wikipedia,Bitcoin,daily,2016012800,all-access,all-agents,11258
