project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ethereum,daily,2015121300,all-access,all-agents,605
en.wikipedia,Ethereum,daily,2015121400,all-access,all-agents,708
en.wikipedia,Ethereum,daily,2015121500,all-access,all-agents,661
en.wikipedia,Ethereum,daily,2015121600,all-access,all-agents,695
en.wikipedia,Ethereum,daily,2015121700,all-access,all-agents,717
en.wikipedia,Ethereum,daily,2015121800,all-access,all-agents,741
en.wikipedia,Ethereum,daily,2015121900,all-access,all-agents,564
en.wikipedia,Ethereum,daily,2015122000,all-access,all-agents,479
en.wikipedia,Ethereum,daily,2015122100,all-access,all-agents,604
en.wikipedia,Ethereum,daily,2015122200,all-access,all-agents,550
en.wikipedia,Ethereum,daily,2015122300,all-access,all-agents,539
en.wikipedia,Ethereum,daily,2015122400,all-access,all-agents,411
en.wikipedia,Ethereum,daily,2015122500,all-access,all-agents,370
en.wikipedia,Ethereum,daily,2015122600,all-access,all-agents,437
en.wikipedia,Ethereum,daily,2015122700,all-access,all-agents,534
en.wikipedia,Ethereum,daily,2015122800,all-access,all-agents,617
en.wikipedia,Ethereum,daily,2015122900,all-access,all-agents,477
en.wikipedia,Ethereum,daily,2015123000,all-access,all-agents,425
en.wikipedia,Ethereum,daily,2015123100,all-access,all-agents,448
en.wikipedia,Ethereum,daily,2016010100,all-access,all-agents,350
en.wikipedia,Ethereum,daily,2016010200,all-access,all-agents,455
en.wikipedia,Ethereum,daily,2016010300,all-access,all-agents,529
en.wikipedia,Ethereum,daily,2016010400,all-access,all-agents,712
en.wikipedia,Ethereum,daily,2016010500,all-access,all-agents,702
en.wikipedia,Ethereum,daily,2016010600,all-access,all-agents,826
en.wikipedia,Ethereum,daily,2016010700,all-access,all-agents,883
en.wikipedia,Ethereum,daily,2016010800,all-access,all-agents,688
en.wikipedia,Ethereum,daily,2016010900,all-access,all-agents,523
en.wikipedia,Ethereum,daily,2016011000,all-access,all-agents,699
en.wikipedia,Ethereum,daily,2016011100,all-access,all-agents,868
en.wikipedia,Ethereum,daily,2016011200,all-access,all-agents,773
en.wikipedia,Ethereum,daily,2016011300,all-access,all-agents,871
en.wikipedia,Ethereum,daily,2016011400,all-access,all-agents,759
en.wikipedia,Ethereum,daily,2016011500,all-access,all-agents,976
en.wikipedia,Ethereum,daily,2016011600,all-access,all-agents,880
en.wikipedia,Ethereum,daily,2016011700,all-access,all-agents,715
en.wikipedia,Ethereum,daily,2016011800,all-access,all-agents,957
