"","GBP_USD_history.csv Date","GBP_USD_history.csv Price","GBP_USD_history.csv Open","GBP_USD_history.csv High","GBP_USD_history.csv Low"
"1590",2015-02-02,1.504,1.5084,1.5101,1.5003
"1591",2015-02-03,1.5167,1.5038,1.5196,1.4986
"1592",2015-02-04,1.5183,1.5166,1.5252,1.5135
"1593",2015-02-05,1.5328,1.5177,1.5347,1.5161
"1594",2015-02-06,1.5246,1.5328,1.5354,1.5207
"1595",2015-02-09,1.5215,1.5244,1.5272,1.5198
"1596",2015-02-10,1.5254,1.5213,1.5277,1.5195
"1597",2015-02-11,1.5238,1.5249,1.5301,1.5216
"1598",2015-02-12,1.5385,1.5232,1.5416,1.5207
"1599",2015-02-13,1.5399,1.5382,1.5425,1.5369
"1600",2015-02-16,1.5362,1.5397,1.5445,1.5335
"1601",2015-02-17,1.5354,1.536,1.5403,1.5314
"1602",2015-02-18,1.5435,1.5352,1.5483,1.5339
"1603",2015-02-19,1.5413,1.5432,1.5466,1.5401
"1604",2015-02-20,1.54,1.5411,1.5435,1.5341
"1605",2015-02-23,1.5457,1.5393,1.5478,1.5329
"1606",2015-02-24,1.5455,1.5454,1.5475,1.54
"1607",2015-02-25,1.5529,1.5451,1.5539,1.5442
"1608",2015-02-26,1.5406,1.5527,1.5553,1.539
"1609",2015-02-27,1.5434,1.5403,1.546,1.5381
"1610",2015-03-02,1.5364,1.5435,1.5445,1.5347
"1611",2015-03-03,1.5361,1.5361,1.5399,1.5342
"1612",2015-03-04,1.5264,1.536,1.5373,1.5248
"1613",2015-03-05,1.5241,1.5263,1.527,1.5213
"1614",2015-03-06,1.5037,1.5238,1.5257,1.5027
"1615",2015-03-09,1.5129,1.5038,1.5136,1.5023
"1616",2015-03-10,1.507,1.5128,1.5133,1.5027
"1617",2015-03-11,1.4929,1.5065,1.51,1.4892
"1618",2015-03-12,1.4883,1.4926,1.5027,1.4847
"1619",2015-03-13,1.4744,1.4882,1.4897,1.4697
"1620",2015-03-16,1.4829,1.4741,1.4854,1.4728
"1621",2015-03-17,1.4745,1.4826,1.4845,1.4721
"1622",2015-03-18,1.4978,1.4743,1.5149,1.4632
"1623",2015-03-19,1.4752,1.4976,1.5013,1.4685
"1624",2015-03-20,1.4951,1.4751,1.499,1.472
"1625",2015-03-23,1.4952,1.4967,1.499,1.4837
"1626",2015-03-24,1.4851,1.495,1.4986,1.4838
"1627",2015-03-25,1.4881,1.4849,1.4955,1.4826
