Date	Price	Open	High	Low	Change %
Mar 02, 2010	1,5023	1,4972	1,5032	1,4855	0,34%
Mar 03, 2010	1,5102	1,5023	1,5131	1,4977	0,53%
Mar 04, 2010	1,5030	1,5100	1,5136	1,5006	-0,48%
Mar 05, 2010	1,5134	1,5030	1,5167	1,4993	0,69%
Mar 08, 2010	1,5044	1,5143	1,5196	1,5035	-0,59%
Mar 09, 2010	1,5013	1,5043	1,5045	1,4935	-0,21%
Mar 10, 2010	1,4966	1,5014	1,5015	1,4873	-0,31%
Mar 11, 2010	1,5066	1,4966	1,5088	1,4946	0,67%
Mar 12, 2010	1,5205	1,5066	1,5218	1,5028	0,92%
Mar 15, 2010	1,5046	1,5196	1,5208	1,5019	-1,05%
Mar 16, 2010	1,5236	1,5046	1,5259	1,4977	1,26%
Mar 17, 2010	1,5314	1,5236	1,5381	1,5210	0,51%
Mar 18, 2010	1,5252	1,5314	1,5329	1,5217	-0,40%
Mar 19, 2010	1,5014	1,5252	1,5256	1,4990	-1,56%
Mar 22, 2010	1,5110	1,4994	1,5112	1,4932	0,64%
Mar 23, 2010	1,5021	1,5110	1,5112	1,4972	-0,59%
Mar 24, 2010	1,4897	1,5021	1,5036	1,4855	-0,83%
Mar 25, 2010	1,4848	1,4897	1,5008	1,4800	-0,33%
Mar 26, 2010	1,4898	1,4848	1,4924	1,4811	0,34%
Mar 29, 2010	1,4990	1,4913	1,5019	1,4892	0,62%
Mar 30, 2010	1,5086	1,4990	1,5127	1,4975	0,64%
Mar 31, 2010	1,5196	1,5086	1,5205	1,5044	0,73%
Apr 01, 2010	1,5294	1,5196	1,5299	1,5180	0,64%
Apr 02, 2010	1,5209	1,5294	1,5294	1,5183	-0,56%
Apr 05, 2010	1,5283	1,5258	1,5320	1,5224	0,49%
Apr 06, 2010	1,5236	1,5283	1,5283	1,5130	-0,31%
Apr 07, 2010	1,5223	1,5236	1,5287	1,5138	-0,09%
Apr 08, 2010	1,5296	1,5223	1,5305	1,5142	0,48%
Apr 09, 2010	1,5372	1,5296	1,5392	1,5268	0,50%
Apr 12, 2010	1,5368	1,5437	1,5487	1,5352	-0,03%
Apr 13, 2010	1,5379	1,5368	1,5450	1,5336	0,07%
Apr 14, 2010	1,5476	1,5379	1,5491	1,5377	0,63%
Apr 15, 2010	1,5460	1,5476	1,5523	1,5387	-0,10%
Apr 16, 2010	1,5363	1,5460	1,5474	1,5361	-0,63%
Apr 19, 2010	1,5332	1,5286	1,5343	1,5192	-0,20%
Apr 20, 2010	1,5362	1,5332	1,5434	1,5290	0,20%
Apr 21, 2010	1,5414	1,5362	1,5439	1,5332	0,34%
Apr 22, 2010	1,5341	1,5414	1,5474	1,5321	-0,47%
Apr 23, 2010	1,5377	1,5341	1,5398	1,5296	0,23%
Apr 26, 2010	1,5476	1,5386	1,5498	1,5386	0,64%
Apr 27, 2010	1,5260	1,5476	1,5478	1,5226	-1,40%
Apr 28, 2010	1,5192	1,5260	1,5288	1,5126	-0,45%
Apr 29, 2010	1,5344	1,5192	1,5365	1,5144	1,00%
Apr 30, 2010	1,5270	1,5344	1,5390	1,5254	-0,48%
May 03, 2010	1,5243	1,5303	1,5310	1,5212	-0,18%
May 04, 2010	1,5135	1,5243	1,5266	1,5090	-0,71%
May 05, 2010	1,5098	1,5135	1,5174	1,5068	-0,24%
May 06, 2010	1,4898	1,5098	1,5148	1,4712	-1,32%
May 07, 2010	1,4804	1,4898	1,4935	1,4477	-0,63%
May 10, 2010	1,4836	1,4807	1,5054	1,4790	0,22%
May 11, 2010	1,4954	1,4836	1,5005	1,4721	0,80%
